replication	design	base_cv	top5_share	mean_loading_cosine	mean_context_share_tv	q95_context_share_tv	total_conditional_mean_cv	mean_lane_q90_q10_ratio
1	original	0.3154698007	0.1493558803	0.9727696305	0.0091586901	0.0143586681	0.1344229124	1.4393755766
2	original	0.2800802762	0.1485857517	0.9700972887	0.0095124348	0.0148880573	0.1349099907	1.4400994543
3	original	0.2871527821	0.1462018997	0.9706735323	0.0095060368	0.0147495584	0.1336135875	1.4229396156
4	original	0.2856055634	0.1421099050	0.9724027292	0.0092664657	0.0146432807	0.1326688418	1.4260781566
5	original	0.2892337629	0.1432995136	0.9758568999	0.0085475252	0.0130596650	0.1288797004	1.4050217891
6	original	0.2971236979	0.1488384342	0.9709477776	0.0092007486	0.0145874324	0.1323154932	1.4267082166
7	original	0.2884205427	0.1349481437	0.9733972138	0.0090348797	0.0140561750	0.1311564211	1.4192340985
8	original	0.2793572317	0.1418738300	0.9717305878	0.0096341963	0.0148873537	0.1332409556	1.4335393432
9	original	0.3024515525	0.1466802250	0.9736256662	0.0091487610	0.0139400684	0.1342349812	1.4308699054
10	original	0.3120770845	0.1426575443	0.9741973555	0.0089139162	0.0142126798	0.1327026772	1.4229821087
11	original	0.2968773712	0.1478050089	0.9731686213	0.0093687947	0.0145574744	0.1291089931	1.4123542683
12	original	0.2898760055	0.1446087264	0.9731277931	0.0089160915	0.0142539582	0.1324622022	1.4224063211
13	original	0.3203131691	0.1552406827	0.9753358735	0.0087645159	0.0135511540	0.1304233057	1.4152483565
14	original	0.2796405274	0.1369116753	0.9758124810	0.0084009016	0.0133263001	0.1328122804	1.4248946858
15	original	0.3008423411	0.1478384295	0.9741067393	0.0093388437	0.0141542109	0.1359318841	1.4304844773
16	original	0.2754213403	0.1382538794	0.9749156552	0.0088737118	0.0135229822	0.1317175459	1.4241995634
17	original	0.2852695082	0.1464422996	0.9701644379	0.0094991626	0.0145524130	0.1331208562	1.4342858912
18	original	0.2759029184	0.1396738494	0.9755279113	0.0087953005	0.0135572765	0.1309759753	1.4126219068
19	original	0.2915360042	0.1404308979	0.9730668973	0.0090782467	0.0143425556	0.1327098806	1.4258483974
20	original	0.2914940840	0.1414269762	0.9717592704	0.0093829588	0.0140851301	0.1328579771	1.4304805477
21	original	0.2769622675	0.1420706649	0.9752971813	0.0088618516	0.0137496747	0.1315404694	1.4205097757
22	original	0.2684238381	0.1403125912	0.9733274944	0.0092592695	0.0146500211	0.1307677665	1.4173811490
23	original	0.2658522510	0.1411395408	0.9685407169	0.0100802579	0.0153433812	0.1320402199	1.4242166104
24	original	0.2633814209	0.1398705072	0.9765162264	0.0087508700	0.0133212205	0.1330016021	1.4213733615
25	original	0.2985292336	0.1435896632	0.9709386773	0.0093508141	0.0145826882	0.1327759395	1.4265324624
26	original	0.3140632470	0.1497769135	0.9693286700	0.0100572094	0.0156544374	0.1282961784	1.4158669532
27	original	0.2768020211	0.1418479704	0.9733597517	0.0091084207	0.0136994391	0.1295562091	1.4095004025
28	original	0.3002579863	0.1526660473	0.9723585888	0.0094232285	0.0145900335	0.1321154603	1.4299028317
29	original	0.2871777607	0.1465739628	0.9737250643	0.0090402831	0.0137316983	0.1305460821	1.4189365804
30	original	0.2951234419	0.1485704631	0.9733197945	0.0095194366	0.0144106587	0.1318764058	1.4289436760
31	original	0.2628373461	0.1466256203	0.9740678644	0.0090576672	0.0140097220	0.1323187595	1.4194047044
32	original	0.2796497892	0.1432778150	0.9757195822	0.0082012274	0.0128852219	0.1322141539	1.4173590281
33	original	0.2839548260	0.1452676782	0.9764186782	0.0084925792	0.0130977371	0.1306701077	1.4204005171
34	original	0.2695828858	0.1342040615	0.9733860842	0.0092774547	0.0142238733	0.1345499534	1.4337658538
35	original	0.2632620771	0.1424782260	0.9710892468	0.0095380654	0.0148144569	0.1336840516	1.4355993636
36	original	0.2534485035	0.1394173783	0.9740825379	0.0090327838	0.0143685111	0.1314188658	1.4229629299
37	original	0.2968659476	0.1515237870	0.9769874939	0.0085640624	0.0129386285	0.1331400780	1.4372327718
38	original	0.2483887410	0.1341573906	0.9723359732	0.0093699461	0.0145843162	0.1331545794	1.4297081608
39	original	0.3219283530	0.1459808544	0.9727949542	0.0088266613	0.0135591549	0.1302173539	1.4185064601
40	original	0.2863593958	0.1398890295	0.9721750503	0.0091416134	0.0137514281	0.1304323980	1.4111850933
41	original	0.3107215324	0.1528890741	0.9752028974	0.0088147084	0.0137054230	0.1297745136	1.4139358172
42	original	0.2704854760	0.1368581112	0.9714876863	0.0095191557	0.0143699193	0.1316152834	1.4258687530
43	original	0.3097678588	0.1486673839	0.9746176541	0.0089706893	0.0137206894	0.1329213086	1.4303318886
44	original	0.2953587574	0.1461363842	0.9729168176	0.0091923215	0.0142201249	0.1303465338	1.4182702000
45	original	0.2795581265	0.1425146841	0.9799733160	0.0077258126	0.0117271981	0.1297669126	1.4173023112
46	original	0.3223834273	0.1467927942	0.9732869801	0.0088437167	0.0142121434	0.1343730330	1.4279770555
47	original	0.2592076367	0.1408716651	0.9720667816	0.0093022955	0.0143836935	0.1324100601	1.4280122586
48	original	0.2784754037	0.1424316968	0.9701390763	0.0095671327	0.0149644984	0.1328638853	1.4212892949
49	original	0.3199907010	0.1433994573	0.9746597187	0.0085179647	0.0131907718	0.1276766143	1.4054250524
50	original	0.2653966126	0.1322376755	0.9705698739	0.0096482938	0.0151618985	0.1331288627	1.4289032159
51	original	0.3073573373	0.1545533064	0.9745087179	0.0087488111	0.0135756018	0.1347046657	1.4357811251
52	original	0.3098328766	0.1450591034	0.9741122801	0.0092715402	0.0145083983	0.1350673343	1.4475073920
53	original	0.3021890952	0.1527197887	0.9725951263	0.0090652947	0.0138399395	0.1335610972	1.4292965065
54	original	0.2810191060	0.1390738115	0.9743635513	0.0089587387	0.0137536907	0.1318454591	1.4157924011
55	original	0.2808234467	0.1417287902	0.9733389368	0.0093951780	0.0145427829	0.1353918156	1.4282248146
56	original	0.2577295731	0.1354005155	0.9747598034	0.0089207886	0.0137863177	0.1351311826	1.4337673711
57	original	0.2662316529	0.1440908825	0.9730350328	0.0091348688	0.0141217223	0.1321132989	1.4192327789
58	original	0.2615228127	0.1369365119	0.9773523236	0.0085442123	0.0130475914	0.1325279611	1.4250685290
59	original	0.3129334400	0.1468670964	0.9666815193	0.0101781647	0.0155602319	0.1339084877	1.4275162821
60	original	0.2737259277	0.1424679458	0.9741974741	0.0089902307	0.0140779111	0.1291692150	1.4232851878
61	original	0.2692381619	0.1471179982	0.9717383854	0.0093905896	0.0145580286	0.1323127076	1.4177648298
62	original	0.2748765725	0.1435207902	0.9798619971	0.0083871851	0.0126601364	0.1323457475	1.4170619519
63	original	0.3059641015	0.1572612960	0.9744342844	0.0089816310	0.0140216233	0.1320328693	1.4159145814
64	original	0.2709258959	0.1405382371	0.9751255313	0.0092964781	0.0142268951	0.1334290775	1.4238411716
65	original	0.2726939703	0.1397544625	0.9715311026	0.0091987752	0.0142856634	0.1329832356	1.4235351725
66	original	0.2955741960	0.1497789074	0.9740942450	0.0089246901	0.0137602684	0.1328936758	1.4275819547
67	original	0.3097416381	0.1522220862	0.9747989203	0.0089437969	0.0139961161	0.1328537716	1.4229623543
68	original	0.2718625163	0.1453111001	0.9702244802	0.0095763191	0.0144520181	0.1301278462	1.4160289913
69	original	0.2502133385	0.1390551521	0.9738515079	0.0093475609	0.0143164528	0.1302171301	1.4195953143
70	original	0.2687852754	0.1382619918	0.9727474087	0.0091723473	0.0140039712	0.1322707412	1.4218757583
71	original	0.3159244830	0.1545494798	0.9703427680	0.0094142980	0.0145218067	0.1277037685	1.4156290264
72	original	0.2746243521	0.1446301458	0.9736912995	0.0093130591	0.0142706543	0.1306129758	1.4168037098
73	original	0.2900717268	0.1445614112	0.9733527965	0.0087303547	0.0137425373	0.1321481356	1.4210763931
74	original	0.2415459324	0.1415637954	0.9727910701	0.0091285077	0.0138151921	0.1351358651	1.4364505416
75	original	0.2534002858	0.1373388829	0.9750256561	0.0088472414	0.0140076456	0.1320558402	1.4202010270
76	original	0.2379297641	0.1319573212	0.9727593327	0.0092756616	0.0142450237	0.1317761753	1.4285057638
77	original	0.2983961527	0.1574944710	0.9681121594	0.0099694309	0.0156489102	0.1334797218	1.4306609083
78	original	0.2989331545	0.1492417157	0.9750300590	0.0090013277	0.0138094921	0.1310142440	1.4211743647
79	original	0.3023976772	0.1470988658	0.9682088618	0.0096041777	0.0148363603	0.1297072033	1.4229744970
80	original	0.2592382608	0.1366839992	0.9712730777	0.0095617443	0.0147248015	0.1327092035	1.4266158582
81	original	0.2264301808	0.1324319324	0.9682373029	0.0097486985	0.0149811242	0.1314543231	1.4278567431
82	original	0.2878593441	0.1401871725	0.9736952791	0.0087945512	0.0133730750	0.1315073512	1.4226878839
83	original	0.3124475138	0.1457569952	0.9760283473	0.0085820561	0.0130141016	0.1327982990	1.4315766385
84	original	0.3101354428	0.1470096469	0.9732808226	0.0086630292	0.0129661707	0.1301356801	1.4094129894
85	original	0.2933732285	0.1501203577	0.9736139383	0.0092399037	0.0140545865	0.1332423223	1.4345622561
86	original	0.2975881642	0.1434706510	0.9759848448	0.0083709573	0.0128415695	0.1292435174	1.4102952425
87	original	0.2788122537	0.1440694546	0.9722240265	0.0091426165	0.0140776118	0.1311623868	1.4154467310
88	original	0.2636107828	0.1497111668	0.9756091617	0.0089446480	0.0135220925	0.1306838707	1.4172008161
89	original	0.2689799435	0.1377397401	0.9703672206	0.0093452373	0.0149538522	0.1318933817	1.4224383272
90	original	0.2991119740	0.1410997868	0.9787873962	0.0079160138	0.0121278763	0.1315686630	1.4127004851
91	original	0.2753557481	0.1449153501	0.9763357936	0.0084630347	0.0130262990	0.1386278984	1.4474398912
92	original	0.3144979406	0.1517445577	0.9734157529	0.0091435670	0.0138405321	0.1317105011	1.4263357737
93	original	0.3072465175	0.1458731187	0.9700006204	0.0097532420	0.0165303201	0.1341533054	1.4372402768
94	original	0.2994046535	0.1473571263	0.9731711394	0.0088999339	0.0134126323	0.1318831262	1.4176857504
