replication	volatility	capacity_scale	method	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
1	LOW	1.00	D	Optimal	true	74520.7795389670	0.000000000	0.009199	9	1|2|3|4|7|8|9|10|11	66201.6336880126	8004.7226371493	79694.5901964587	85198.4569285793	108232.7090235523	0.0003406469	2671.0035499043	0.4371147137
1	LOW	1.00	SAA	Optimal	true	79021.7780248320	0.000000000	0.768347	9	1|2|3|4|5|8|9|10|11	64405.8745042404	8171.1186048454	78210.2653998429	83521.7820797546	106512.4244554859	0.0026507285	2839.4903632825	0.4115450397
1	LOW	1.00	CSAA	Optimal	true	73370.3918342514	0.000000000	0.829037	9	1|2|3|4|5|8|9|10|11	64405.8745042404	8171.1186048454	78210.2653998429	83521.7820797546	106512.4244554859	0.0026507285	2839.4903632825	0.4115450397
1	LOW	0.75	D	Optimal	true	87480.1474623078	0.000000000	0.005990	9	1|2|3|4|5|8|9|10|11	74321.4466379056	10395.4913215329	91826.3609197083	98874.7282542441	126192.6470292071	0.0084718535	2609.0927044998	0.5455240233
1	LOW	0.75	SAA	Optimal	true	92780.7604886442	0.000000000	1.309005	9	1|2|3|4|5|8|9|10|11	74321.4466379056	10395.4913215329	91826.3609197083	98874.7282542441	126192.6470292071	0.0084718535	2609.0927044998	0.5455240233
1	LOW	0.75	CSAA	Optimal	true	85505.4084803182	0.000000000	1.280187	9	1|2|3|4|5|8|9|10|11	74321.4466379056	10395.4913215329	91826.3609197083	98874.7282542441	126192.6470292071	0.0084718535	2609.0927044998	0.5455240233
1	LOW	0.60	D	Optimal	true	99391.1221300464	0.000000000	0.004995	9	1|2|3|4|5|8|9|10|11	84345.9006857663	12709.9339334500	106304.0147220164	114821.3835439806	144858.6796058405	0.0247007223	2039.1469583977	0.6707439267
1	LOW	0.60	SAA	Optimal	true	107040.4945411995	0.000000000	1.404043	9	1|2|3|4|5|8|9|10|11	84345.9006857663	12709.9339334500	106304.0147220164	114821.3835439806	144858.6796058405	0.0247007223	2039.1469583977	0.6707439267
1	LOW	0.60	CSAA	Optimal	true	98372.8781408793	0.000000000	1.201794	9	1|2|3|4|5|8|9|10|11	84345.9006857663	12709.9339334500	106304.0147220164	114821.3835439806	144858.6796058405	0.0247007223	2039.1469583977	0.6707439267
1	MEDIUM	1.00	D	Optimal	true	75650.0224644936	0.000000000	0.006280	9	1|2|3|4|7|8|9|10|11	72817.6600232416	25045.6996444936	118786.9402697736	144647.7246569694	227530.4371985761	0.0185332259	3277.7928345613	0.4249609788
1	MEDIUM	1.00	SAA	Optimal	true	89908.9643287701	0.000000000	0.655064	9	1|2|3|4|5|8|9|10|11	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414	0.4011309829
1	MEDIUM	1.00	CSAA	Optimal	true	82002.7501018839	0.000000000	0.590249	9	1|2|3|4|5|8|9|10|11	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414	0.4011309829
1	MEDIUM	0.75	D	Optimal	true	88698.9836384435	0.000000000	0.004780	9	1|2|3|4|5|8|9|10|11	82427.4953589061	30466.2547910483	137629.4853041927	167639.8994555583	254707.8873594044	0.0484090502	3259.2918010688	0.5184288915
1	MEDIUM	0.75	SAA	Optimal	true	105826.4288996854	0.000000000	1.227863	9	1|2|3|4|5|8|9|10|11	82427.4953589061	30466.2547910483	137629.4853041927	167639.8994555583	254707.8873594044	0.0484090502	3259.2918010688	0.5184288915
1	MEDIUM	0.75	CSAA	Optimal	true	96746.8442812301	0.000000000	1.202773	9	1|2|3|4|5|8|9|10|11	82427.4953589061	30466.2547910483	137629.4853041927	167639.8994555583	254707.8873594044	0.0484090502	3259.2918010688	0.5184288915
1	MEDIUM	0.60	D	Optimal	true	101009.8761224316	0.000000000	0.005538	9	1|2|3|4|5|8|9|10|11	93781.5045621420	35397.1588120443	157648.6374241330	190762.2642232103	281509.0225107783	0.0934871941	3416.3654469780	0.6173377716
1	MEDIUM	0.60	SAA	Optimal	true	120622.3305063655	0.000000000	1.209228	9	1|2|3|4|5|8|9|10|11	93781.5045621420	35397.1588120443	157648.6374241330	190762.2642232103	281509.0225107783	0.0934871941	3416.3654469780	0.6173377716
1	MEDIUM	0.60	CSAA	Optimal	true	110606.8834595763	0.000000000	1.282847	9	1|2|3|4|5|8|9|10|11	93781.5045621420	35397.1588120443	157648.6374241330	190762.2642232103	281509.0225107783	0.0934871941	3416.3654469780	0.6173377716
1	HIGH	1.00	D	Optimal	true	76762.0316242706	2.028881834e-05	0.010202	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	SAA	Optimal	true	103184.9942066197	0.000000000	0.649576	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	CSAA	Optimal	true	92953.1412438654	0.000000000	0.899419	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	0.75	D	Optimal	true	89617.3176269048	1.083749651e-05	0.003533	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	SAA	Optimal	true	119880.8802911752	0.000000000	0.895289	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	CSAA	Optimal	true	108810.9420399604	0.000000000	0.989498	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.60	D	Optimal	true	102237.7334430623	0.000000000	0.006447	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
1	HIGH	0.60	SAA	Optimal	true	134111.1251746371	0.000000000	1.183263	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
1	HIGH	0.60	CSAA	Optimal	true	122165.1605555909	8.695579221e-05	1.084214	9	1|2|3|4|5|8|9|10|11	104596.6251853262	58461.1574802097	212288.0109660489	276082.9783729205	454205.4579052042	0.1741254522	4865.2514999631	0.5580685914
2	LOW	1.00	D	Optimal	true	63923.9405391529	0.000000000	0.014815	9	2|3|4|6|7|8|9|10|11	89024.1140924264	14835.8989451731	115471.7499481545	123591.1546726401	142237.8425342706	0.0047145332	193.4522619921	0.5590974259
2	LOW	1.00	SAA	Optimal	true	68052.3363016472	0.000000000	2.049336	9	2|3|4|6|7|8|9|10|11	89024.1140924264	14835.8989451731	115471.7499481545	123591.1546726401	142237.8425342706	0.0047145332	193.4522619921	0.5590974259
2	LOW	1.00	CSAA	Optimal	true	70957.3380199960	5.652594551e-05	1.333303	9	2|3|4|6|7|8|9|10|11	89024.1140924264	14835.8989451731	115471.7499481545	123591.1546726401	142237.8425342706	0.0047145332	193.4522619921	0.5590974259
2	LOW	0.75	D	Optimal	true	75247.5648177237	0.000000000	0.004785	9	0|1|4|6|7|8|9|10|11	108789.9397006143	18838.7595029288	142431.8849681060	151242.3432488979	172546.0699543953	0.0567708219	94.4250945143	0.7359120817
2	LOW	0.75	SAA	Optimal	true	80698.5503786645	0.000000000	3.357790	9	0|3|4|6|7|8|9|10|11	109196.8025612789	18726.2250452989	142012.8716057793	151306.5281412996	172289.8607734135	0.0601825455	46.3989685740	0.7297509257
2	LOW	0.75	CSAA	Optimal	true	84845.9866203665	0.000000000	3.291388	9	0|3|4|5|6|8|9|10|11	107940.8922529829	18108.2091125346	140130.9126212116	149247.7765658431	171037.9189822488	0.0622663262	178.0535125382	0.7176185635
2	LOW	0.60	D	Optimal	true	87373.1507700590	3.436123443e-05	0.011217	9	0|1|4|5|6|8|9|10|11	125578.3866122404	20971.0631871218	162189.7783292114	172442.9025742995	195338.5507907529	0.1190253315	202.4623912500	0.8467107503
2	LOW	0.60	SAA	Optimal	true	93274.7020795831	9.201601525e-05	2.330164	9	0|3|4|5|6|8|9|10|11	125563.6180356328	20852.4802480086	162240.4154304648	172119.1797663477	194650.8031471754	0.1283477576	249.3818037763	0.8338106111
2	LOW	0.60	CSAA	Optimal	true	98162.1372208508	0.000000000	2.463070	9	0|3|4|5|6|8|9|10|11	125563.6180356328	20852.4802480086	162240.4154304648	172119.1797663477	194650.8031471754	0.1283477576	249.3818037763	0.8338106111
