replication	volatility	capacity_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
1	LOW	1.00	C_CHI2	0.50	PrimalFeasible	true	83608.4592534966	0.000000000	6.404820	9	1|2|3|4|5|8|9|10|11	64405.8745042404	8171.1186048454	78210.2653998429	83521.7820797546	106512.4244554859	0.0026507285	2839.4903632825	0.4115450397
1	LOW	1.00	C_CHI2	5.00	PrimalFeasible	true	125320.5873486470	0.000000000	4.837079	9	1|2|3|4|5|8|9|10|11	64405.8745042404	8171.1186048454	78210.2653998429	83521.7820797546	106512.4244554859	0.0026507285	2839.4903632825	0.4115450397
1	LOW	0.75	C_CHI2	0.50	PrimalFeasible	true	98584.0857159201	0.000000000	5.320976	9	1|2|3|4|5|8|9|10|11	74321.4466379056	10395.4913215329	91826.3609197083	98874.7282542441	126192.6470292071	0.0084718535	2609.0927044998	0.5455240233
1	LOW	0.75	C_CHI2	5.00	PrimalFeasible	true	152991.0396964828	0.000000000	3.507260	9	1|2|3|4|5|8|9|10|11	74321.4466379056	10395.4913215329	91826.3609197083	98874.7282542441	126192.6470292071	0.0084718535	2609.0927044998	0.5455240233
1	LOW	0.60	C_CHI2	0.50	PrimalFeasible	true	114518.6133171724	0.000000000	4.909028	9	1|2|3|4|5|8|9|10|11	84345.9006857663	12709.9339334500	106304.0147220164	114821.3835439806	144858.6796058405	0.0247007223	2039.1469583977	0.6707439267
1	LOW	0.60	C_CHI2	5.00	PrimalFeasible	true	180426.7880854007	0.000000000	5.768277	9	1|2|3|4|5|8|9|10|11	84345.9006857663	12709.9339334500	106304.0147220164	114821.3835439806	144858.6796058405	0.0247007223	2039.1469583977	0.6707439267
1	MEDIUM	1.00	C_CHI2	0.50	PrimalFeasible	true	100473.2486806805	0.000000000	5.712107	9	1|2|3|4|5|8|9|10|11	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414	0.4011309829
1	MEDIUM	1.00	C_CHI2	5.00	PrimalFeasible	true	191530.2056164160	0.000000000	5.583873	9	1|2|3|4|5|8|9|10|11	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414	0.4011309829
1	MEDIUM	0.75	C_CHI2	0.50	PrimalFeasible	true	120105.2043853960	0.000000000	5.789157	9	1|2|3|4|5|8|9|10|11	82427.4953589061	30466.2547910483	137629.4853041927	167639.8994555583	254707.8873594044	0.0484090502	3259.2918010688	0.5184288915
1	MEDIUM	0.75	C_CHI2	5.00	PrimalFeasible	true	232400.1383179834	0.000000000	5.994201	9	0|1|2|3|5|8|9|10|11	84549.7352470683	30901.6838609253	140565.4438846796	170188.9997427275	259544.8951987821	0.0537973730	3225.6096038212	0.5200728568
1	MEDIUM	0.60	C_CHI2	0.50	PrimalFeasible	true	137616.8685475583	0.000000000	5.256498	9	1|2|3|4|5|8|9|10|11	93781.5045621420	35397.1588120443	157648.6374241330	190762.2642232103	281509.0225107783	0.0934871941	3416.3654469780	0.6173377716
1	MEDIUM	0.60	C_CHI2	5.00	PrimalFeasible	true	262963.8828890550	4.182605434e-05	2.452716	9	0|1|2|3|5|8|9|10|11	95548.5232627561	35376.1002667793	160584.2644447467	191580.0637423678	282020.1349844736	0.0987553518	3327.6891277062	0.6192025702
1	HIGH	1.00	C_CHI2	0.50	PrimalFeasible	true	120961.4143547921	0.000000000	3.797401	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	C_CHI2	5.00	PrimalFeasible	true	263643.5223752807	0.000000000	4.121058	9	0|1|2|3|5|8|9|10|11	83015.0599729978	46092.0662412705	168424.1827962950	225025.5991952125	394236.5945527908	0.0686643229	4097.1307185513	0.3809536458
1	HIGH	0.75	C_CHI2	0.50	PrimalFeasible	true	142179.4010307585	0.000000000	7.121143	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	C_CHI2	5.00	PrimalFeasible	true	308214.2406902202	0.000000000	5.702172	9	0|1|2|3|5|8|9|10|11	95075.2387167929	53116.8239358941	194900.1902169019	253451.3475452873	427962.2962977704	0.1222217943	4459.8740723523	0.4787286559
1	HIGH	0.60	C_CHI2	0.50	PrimalFeasible	true	159078.8622746737	0.000000000	4.829841	9	0|1|2|4|5|8|9|10|11	104931.9853426937	58281.3267802991	210859.2167730342	275941.1486934962	453268.1271450268	0.1707807783	4812.3490735131	0.5664333933
1	HIGH	0.60	C_CHI2	5.00	PrimalFeasible	true	338638.7213596377	0.000000000	1.405859	9	0|1|2|3|5|8|9|10|11	105971.3360567469	58292.8365858826	212798.7101876533	276368.8873340343	454048.3760970714	0.1775049225	4910.3314867416	0.5607224587
2	LOW	1.00	C_CHI2	0.50	PrimalFeasible	true	78304.7585125113	0.000000000	11.388916	9	0|1|4|6|7|8|9|10|11	88843.7022117944	14813.6811806480	115426.8942798656	123882.4253651454	146155.9292228087	0.0102432639	151.3489839225	0.5791598349
2	LOW	1.00	C_CHI2	5.00	PrimalFeasible	true	108008.1246368722	4.955517139e-06	8.875101	9	0|1|4|5|6|8|9|10|11	90021.4390664093	14034.7260756269	114692.5797286934	123021.6278793678	143056.7605671055	0.0115998759	265.2423371514	0.5699748521
2	LOW	0.75	C_CHI2	0.50	PrimalFeasible	true	94280.1548996541	0.000000000	7.946700	9	0|1|4|5|6|8|9|10|11	107603.8989818735	18063.6372666715	139495.9533046971	148994.1748673496	171271.6298986813	0.0479396368	135.6698088139	0.7320253562
