replication	volatility	capacity_scale	penalty_scale	method	lambda	status	certified	objective	gap	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty	capacity_utilization
1	HIGH	1.00	1.00	D	0.00	Optimal	true	76762.0316242706	2.028881834e-05	0.016080	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	1.00	SAA	0.00	Optimal	true	103184.9942066197	0.000000000	0.747194	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	1.00	CSAA	0.00	Optimal	true	92953.1412438654	0.000000000	1.197401	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	1.00	C_CHI2	0.50	PrimalFeasible	true	120961.4143547921	0.000000000	7.072688	9	1|2|3|4|5|8|9|10|11	81023.7759195172	45560.6629564066	165875.5818446596	221388.1387957680	386347.8611337844	0.0651250306	3932.9811015496	0.3790340981
1	HIGH	1.00	2.00	D	0.00	Optimal	true	76764.6123926255	0.000000000	0.011057	9	1|2|3|4|7|8|9|10|11	86969.5350468125	44165.2123250676	170475.3310006983	226273.7879771370	391050.2994536294	0.0709325047	6697.7804373032	0.3991584339
1	HIGH	1.00	2.00	SAA	0.00	Optimal	true	105747.4593954081	0.000000000	1.380388	9	1|2|3|4|5|8|9|10|11	84614.6863059959	43523.9720599614	166489.0902592278	221575.2010888117	386347.8611337844	0.0650040883	6668.3820521694	0.3790831327
1	HIGH	1.00	2.00	CSAA	0.00	Optimal	true	96255.7783551574	0.000000000	1.272373	9	1|2|3|4|5|8|9|10|11	84614.6863059959	43523.9720599614	166489.0902592278	221575.2010888117	386347.8611337844	0.0650040883	6668.3820521694	0.3790831327
1	HIGH	1.00	2.00	C_CHI2	0.50	PrimalFeasible	true	123017.5757061411	0.000000000	10.986937	9	1|2|3|4|5|8|9|10|11	84614.6863059959	43523.9720599614	166489.0902592278	221575.2010888117	386347.8611337844	0.0650040883	6668.3820521694	0.3790831327
1	HIGH	1.00	5.00	D	0.00	Optimal	true	76764.6123926255	0.000000000	0.012077	9	1|2|3|4|7|8|9|10|11	95653.1777810052	39724.6648240061	170475.3310006983	226275.4746341676	391050.2994536294	0.0708286420	13514.4157112183	0.3992030568
1	HIGH	1.00	5.00	SAA	0.00	Optimal	true	112259.0481640595	0.000000000	2.741205	9	1|2|3|4|5|8|9|10|11	93761.5211807421	38850.7305225489	167555.9585796658	221688.0214896936	386347.8611337844	0.0649208856	14559.5259969710	0.3791168663
1	HIGH	1.00	5.00	CSAA	0.00	Optimal	true	104030.2212808586	0.000000000	2.074786	8	1|2|4|5|8|9|10|11	90750.1059821666	43187.8259787127	173037.1359315704	228937.3248477527	394661.1899206432	0.0799081742	8993.0496390274	0.4142941321
1	HIGH	1.00	5.00	C_CHI2	0.50	PrimalFeasible	true	128847.8892786803	0.000000000	7.412453	9	1|2|3|4|5|8|9|10|11	93761.5211807421	38850.7305225489	167555.9585796658	221688.0214896936	386347.8611337844	0.0649208856	14559.5259969710	0.3791168663
1	HIGH	0.75	1.00	D	0.00	Optimal	true	89617.3176269048	1.083749651e-05	0.004805	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	1.00	SAA	0.00	Optimal	true	119880.8802911752	0.000000000	0.923720	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	1.00	CSAA	0.00	Optimal	true	108810.9420399604	0.000000000	0.987244	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	1.00	C_CHI2	0.50	PrimalFeasible	true	142179.4010307585	0.000000000	7.301374	9	1|2|3|4|5|8|9|10|11	93403.9096640053	53026.3597970668	192877.8570026323	251954.6081606726	426425.4430562892	0.1180535444	4359.4527145155	0.4767664701
1	HIGH	0.75	2.00	D	0.00	Optimal	true	89670.3846516448	4.325483081e-05	0.004278	9	1|2|3|4|5|8|9|10|11	97359.5680023505	50781.5115857442	193535.6609083447	252261.8616459022	426425.4430562892	0.1177758647	7409.6193698601	0.4769165794
1	HIGH	0.75	2.00	SAA	0.00	Optimal	true	122766.9971205937	0.000000000	1.115485	9	1|2|3|4|5|8|9|10|11	97359.5680023505	50781.5115857442	193535.6609083447	252261.8616459022	426425.4430562892	0.1177758647	7409.6193698601	0.4769165794
1	HIGH	0.75	2.00	CSAA	0.00	Optimal	true	112419.4705570883	0.000000000	1.012458	9	1|2|3|4|5|8|9|10|11	97359.5680023505	50781.5115857442	193535.6609083447	252261.8616459022	426425.4430562892	0.1177758647	7409.6193698601	0.4769165794
1	HIGH	0.75	2.00	C_CHI2	0.50	PrimalFeasible	true	144459.2172213488	0.000000000	5.556931	9	1|2|3|4|5|8|9|10|11	97359.5680023505	50781.5115857442	193535.6609083447	252261.8616459022	426425.4430562892	0.1177758647	7409.6193698601	0.4769165794
1	HIGH	0.75	5.00	D	0.00	Optimal	true	89670.3846516448	4.325483081e-05	0.004042	9	1|2|3|4|5|8|9|10|11	107649.5670881101	45184.5408233189	193540.2554881395	252561.4315602896	426425.4430562892	0.1174500578	16297.9750405687	0.4770927056
1	HIGH	0.75	5.00	SAA	0.00	Optimal	true	130116.2103054888	9.678591244e-05	2.123302	9	0|1|2|4|5|8|9|10|11	107243.2776750560	45287.1521589692	193180.0818689523	252404.7870516851	424655.4969401544	0.1139047487	14632.3356306374	0.4842279840
