design	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	context_market	context_trend	context_promotion	context_attention	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
DENSE_WIDE_POSITIVE	1	0	D	Optimal	true	75650.0224644936	0.000000000	0.008358	1.0000000000	9	1|2|3|4|7|8|9|10|11	1621.7690711333	0.0117830644	1.0000000000	0.4099187016	0.2152695371	72817.6600232416	25045.6996444936	118786.9402697736	144647.7246569694	227530.4371985761	0.0185332259	3277.7928345613
DENSE_WIDE_POSITIVE	1	0	SAA	Optimal	true	89908.9643287701	0.000000000	0.686335	60.0000000000	9	1|2|3|4|5|8|9|10|11	1621.7690711333	0.0117830644	1.0000000000	0.4099187016	0.2152695371	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414
DENSE_WIDE_POSITIVE	1	0	CSAA	Optimal	true	82002.7501018839	0.000000000	0.603710	34.3302953514	9	1|2|3|4|5|8|9|10|11	1621.7690711333	0.0117830644	1.0000000000	0.4099187016	0.2152695371	70963.4294241909	24486.3857364032	117698.9825106466	140847.2275161523	223236.8642007434	0.0182835892	3004.3111220414
DENSE_WIDE_POSITIVE	1	1	D	Optimal	true	75650.0224644936	0.000000000	0.008358	1.0000000000	9	1|2|3|4|7|8|9|10|11	2202.9809813335	0.9327572915	1.0000000000	0.5068553511	0.5826278452	117117.0106715285	43895.3069659012	203785.7273855686	238333.5003202795	333896.8570901502	0.0621481311	740.9622544612
DENSE_WIDE_POSITIVE	1	1	SAA	Optimal	true	89908.9643287701	0.000000000	0.686335	60.0000000000	9	1|2|3|4|5|8|9|10|11	2202.9809813335	0.9327572915	1.0000000000	0.5068553511	0.5826278452	114696.6848042682	42996.3000228573	200065.6949737873	234076.8707910231	323465.0108406685	0.0530595908	732.0540865954
DENSE_WIDE_POSITIVE	1	1	CSAA	Optimal	true	103913.1530348821	0.000000000	1.631347	24.2754171110	9	1|2|3|4|5|8|9|10|11	2202.9809813335	0.9327572915	1.0000000000	0.5068553511	0.5826278452	114696.6848042682	42996.3000228573	200065.6949737873	234076.8707910231	323465.0108406685	0.0530595908	732.0540865954
DENSE_WIDE_POSITIVE	1	2	D	Optimal	true	75650.0224644936	0.000000000	0.008358	1.0000000000	9	1|2|3|4|7|8|9|10|11	2192.1203946211	0.6391145154	1.0000000000	0.4554782002	0.8691791090	113395.7906401752	46228.0326191215	194282.0090770213	245297.1998701072	317396.5933162246	0.0608563222	953.8140743901
DENSE_WIDE_POSITIVE	1	2	SAA	Optimal	true	89908.9643287701	0.000000000	0.686335	60.0000000000	9	1|2|3|4|5|8|9|10|11	2192.1203946211	0.6391145154	1.0000000000	0.4554782002	0.8691791090	111288.4798488424	45309.8562216605	191606.0511454473	240951.6266702515	311507.3552777030	0.0537866977	927.6494624204
DENSE_WIDE_POSITIVE	1	2	CSAA	Optimal	true	101269.1639485362	0.000000000	0.740469	29.1668069982	9	1|2|3|4|5|8|9|10|11	2192.1203946211	0.6391145154	1.0000000000	0.4554782002	0.8691791090	111288.4798488424	45309.8562216605	191606.0511454473	240951.6266702515	311507.3552777030	0.0537866977	927.6494624204
DENSE_WIDE_POSITIVE	1	3	D	Optimal	true	75650.0224644936	0.000000000	0.008358	1.0000000000	9	1|2|3|4|7|8|9|10|11	2287.7592602750	0.9338887211	1.0000000000	0.6676985897	0.5775792839	120081.2022497480	46462.1057949105	210712.8682254482	248954.1495874828	322113.8844090018	0.0633863556	735.4465501281
