replication	query	nominal_total	truth_selected	saa_selected	csaa_selected	truth_count	saa_count	csaa_count	saa_regret_pct	csaa_regret_pct	ess	saa_demand_l1_pct	csaa_demand_l1_pct	saa_share_tv_pct	csaa_share_tv_pct	context_market	context_trend	context_promotion	context_attention
1	0	1648.7388812261	1|2|3|4|6|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	1.2603765791	1.2603765791	34.3302953514	15.6581267121	10.0486251906	6.2609936920	4.1313137128	0.0117830644	1.0000000000	0.4099187016	0.2152695371
1	1	2300.9623591147	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	24.2754171110	18.1163983489	9.1200266288	2.5459082657	3.5360054991	0.9327572915	1.0000000000	0.5068553511	0.5826278452
1	2	2268.8901838555	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	29.1668069982	17.2452054222	8.3795257450	3.7198329314	2.9113678929	0.6391145154	1.0000000000	0.4554782002	0.8691791090
1	3	2363.7216334882	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	26.1502666904	20.2904933650	9.9624897889	2.6739940208	3.2911641217	0.9338887211	1.0000000000	0.6676985897	0.5775792839
1	4	2243.7028874603	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	28.6967042454	16.0267224859	10.5764882529	3.2784873835	3.6677408980	0.8552303291	1.0000000000	0.8364458383	0.2494764427
1	5	2071.3716274867	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	34.1726657489	11.4177380489	8.2832705400	4.4162827589	2.8943753413	0.3878213983	1.0000000000	0.8382892096	0.3661045312
1	6	1960.4427674730	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	31.9301976983	8.4672807252	7.8505559678	4.1974948654	3.7438230449	0.5819183827	1.0000000000	0.7401627344	0.0031371652
1	7	1782.4527030897	1|2|3|5|6|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.4585478119	0.4585478119	35.0437253125	12.4148678218	8.9674597716	5.9762424956	4.3632957169	0.1068752478	1.0000000000	0.2583581505	0.5408428997
1	8	2063.1189800858	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	29.5449409550	8.7330513915	6.3271138452	3.0288956874	2.7762583695	0.8624520772	1.0000000000	0.2817908352	0.3336611818
1	9	2236.6910560438	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	1|2|3|4|5|8|9|10|11	9	9	9	0.0000000000	0.0000000000	32.0856135631	15.7634735836	10.1216185309	3.5622861035	2.9588942247	0.6917826113	1.0000000000	0.8548199477	0.3914343270
