replication	sample	demand_type	total_demand	selected_count	selected	context_market	context_trend	context_promotion	context_attention
1	0	REALIZED	2078.9794962855	9	1|2|3|4|5|8|9|10|11	0.8518566377	0.0000000000	0.9261209333	0.9100070495
1	0	CONDITIONAL_MEAN	2098.6574007167	9	1|2|3|4|7|8|9|10|11	0.8518566377	0.0000000000	0.9261209333	0.9100070495
1	1	REALIZED	836.5966190984	5	1|2|3|6|10	0.3948231035	0.0166666667	0.0882716879	0.0355412803
1	1	CONDITIONAL_MEAN	1150.5841896183	7	1|2|4|8|9|10|11	0.3948231035	0.0166666667	0.0882716879	0.0355412803
1	2	REALIZED	1814.1844504475	9	1|2|3|4|7|8|9|10|11	0.9035557870	0.0333333333	0.6908438358	0.8970891843
1	2	CONDITIONAL_MEAN	2039.4432865443	9	1|2|3|4|7|8|9|10|11	0.9035557870	0.0333333333	0.6908438358	0.8970891843
1	3	REALIZED	1603.1422428363	9	1|2|4|5|7|8|9|10|11	0.7186942468	0.0500000000	0.8076086906	0.8494282084
1	3	CONDITIONAL_MEAN	1983.0669926734	9	1|2|3|4|7|8|9|10|11	0.7186942468	0.0500000000	0.8076086906	0.8494282084
1	4	REALIZED	1715.0489256032	9	1|2|4|5|6|8|9|10|11	0.6639980581	0.0666666667	0.1166987459	0.4701493478
1	4	CONDITIONAL_MEAN	1514.5126697514	8	1|2|4|6|8|9|10|11	0.6639980581	0.0666666667	0.1166987459	0.4701493478
1	5	REALIZED	1404.8584989593	8	1|2|3|4|8|9|10|11	0.2760744419	0.0833333333	0.4553336267	0.0258756089
1	5	CONDITIONAL_MEAN	1267.9622779278	7	1|2|4|8|9|10|11	0.2760744419	0.0833333333	0.4553336267	0.0258756089
1	6	REALIZED	1643.1266756919	9	1|2|3|4|5|8|9|10|11	0.7564864998	0.1000000000	0.4989646028	0.1628393919
1	6	CONDITIONAL_MEAN	1588.4849662446	9	1|2|3|4|6|8|9|10|11	0.7564864998	0.1000000000	0.4989646028	0.1628393919
1	7	REALIZED	1750.6106805784	9	1|2|3|4|7|8|9|10|11	0.6252082718	0.1166666667	0.6697108850	0.1239553327
1	7	CONDITIONAL_MEAN	1583.7010428217	9	1|2|3|4|6|8|9|10|11	0.6252082718	0.1166666667	0.6697108850	0.1239553327
1	8	REALIZED	3378.2107223932	9	1|2|3|4|5|8|9|10|11	0.9915807778	0.1333333333	0.7040067923	0.5125004929
1	8	CONDITIONAL_MEAN	1960.0070305748	9	1|2|3|4|7|8|9|10|11	0.9915807778	0.1333333333	0.7040067923	0.5125004929
1	9	REALIZED	1044.4457582444	7	1|2|4|8|9|10|11	0.9832074276	0.1500000000	0.9952650694	0.2270855868
1	9	CONDITIONAL_MEAN	1950.6273027170	9	1|2|3|4|7|8|9|10|11	0.9832074276	0.1500000000	0.9952650694	0.2270855868
1	10	REALIZED	1590.1075041719	9	1|2|3|4|6|8|9|10|11	0.5235324561	0.1666666667	0.1101751950	0.8602920264
1	10	CONDITIONAL_MEAN	1669.8814650222	9	1|2|3|4|6|8|9|10|11	0.5235324561	0.1666666667	0.1101751950	0.8602920264
1	11	REALIZED	2737.6377322239	9	1|2|4|5|6|8|9|10|11	0.7671488353	0.1833333333	0.6219547076	0.6941842547
1	11	CONDITIONAL_MEAN	1925.3408061732	9	1|2|3|4|7|8|9|10|11	0.7671488353	0.1833333333	0.6219547076	0.6941842547
1	12	REALIZED	1683.0724645308	9	1|2|4|5|7|8|9|10|11	0.2931799516	0.2000000000	0.9327097151	0.2498162357
1	12	CONDITIONAL_MEAN	1625.9131615354	9	1|2|3|4|6|8|9|10|11	0.2931799516	0.2000000000	0.9327097151	0.2498162357
