replication	distribution	capacity_scale	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_0_5_0_5	1.0000	0	D	Optimal	true	104982.2456962146	0.007902	9	1|2|4|5|6|7|9|10|11	109768.4390864013	11661.3328196583	129768.5394035535	134023.6740631993	148261.3887969109	0.0124865533	0.0000000000
1	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	106284.2496887521	0.052048	9	1|2|4|5|6|7|9|10|11	109768.4390864013	11661.3328196583	129768.5394035535	134023.6740631993	148261.3887969109	0.0124865533	0.0000000000
1	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	110058.2906595132	2.252663	9	1|2|4|5|6|7|9|10|11	109768.4390864013	11661.3328196583	129768.5394035535	134023.6740631993	148261.3887969109	0.0124865533	0.0000000000
2	BETA_0_5_0_5	1.0000	0	D	Optimal	true	92813.2804335270	0.007562	9	1|2|3|4|6|7|8|9|11	96149.9254971819	9849.0328397588	112676.0081050907	116401.8368227511	129404.9838264121	0.0142231421	0.0000000000
2	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	94007.8427988543	0.081917	9	1|2|3|4|6|7|8|9|11	96149.9254971819	9849.0328397588	112676.0081050907	116401.8368227511	129404.9838264121	0.0142231421	0.0000000000
2	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	96270.6363333980	2.407780	9	1|2|3|4|6|7|8|9|11	96149.9254971819	9849.0328397588	112676.0081050907	116401.8368227511	129404.9838264121	0.0142231421	0.0000000000
3	BETA_0_5_0_5	1.0000	0	D	Optimal	true	102745.6012187479	0.006169	9	1|2|3|5|6|7|8|9|11	107644.0858462144	10920.7922510205	125654.6597173854	130502.1297195165	146911.4010913643	0.0145658063	0.0000000000
3	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	109645.7856949202	0.094406	9	1|2|3|5|6|7|8|9|11	107644.0858462144	10920.7922510205	125654.6597173854	130502.1297195165	146911.4010913643	0.0145658063	0.0000000000
3	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	108798.0456136653	2.867097	9	1|2|3|5|6|7|8|9|11	107644.0858462144	10920.7922510205	125654.6597173854	130502.1297195165	146911.4010913643	0.0145658063	0.0000000000
4	BETA_0_5_0_5	1.0000	0	D	Optimal	true	94760.2837367225	0.005341	9	1|2|3|5|6|7|8|10|11	98655.2753730255	10268.2116735852	115414.6645219941	120141.9833578544	135791.0121994920	0.0166314401	0.0000000000
4	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	99987.4179100693	0.102566	9	0|1|2|3|6|7|8|10|11	99129.9984060216	10356.3678989225	116055.1329713843	120656.0908174495	133685.4855811790	0.0187383648	0.0000000000
4	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	96969.6481382863	2.373047	9	1|2|3|5|6|7|8|10|11	98655.2753730255	10268.2116735852	115414.6645219941	120141.9833578544	135791.0121994920	0.0166314401	0.0000000000
5	BETA_0_5_0_5	1.0000	0	D	Optimal	true	119791.9694652768	0.006636	9	0|1|4|5|7|8|9|10|11	126485.2035544088	12767.3757936251	147769.6624628653	152335.7550344391	174397.5591854702	0.0350230385	0.0000000000
5	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	121768.5788988867	0.078412	9	0|3|4|5|7|8|9|10|11	126614.7472260108	12610.4047461541	147272.1409639083	152215.8102037405	174271.7776474646	0.0217241205	0.0000000000
5	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	124552.2106629017	2.320243	9	0|1|4|5|7|8|9|10|11	126485.2035544088	12767.3757936251	147769.6624628653	152335.7550344391	174397.5591854702	0.0350230385	0.0000000000
