replication	distribution	capacity_scale	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_1_5	1.0000	0	D	Optimal	true	47374.2017757433	0.023327	9	0|2|3|5|6|7|8|9|11	49800.9606953541	11297.2865940398	74726.9148952192	86265.2711658918	116378.6932676556	0.0000000000	2846.7945849632
1	BETA_1_5	1.0000	10	SAA	Optimal	true	56703.2336115768	0.076489	9	0|2|3|5|6|7|8|9|11	49800.9606953541	11297.2865940398	74726.9148952192	86265.2711658918	116378.6932676556	0.0000000000	2846.7945849632
1	BETA_1_5	1.0000	60	SAA	Optimal	true	51305.5385731899	1.351923	9	0|2|3|5|6|7|8|9|11	49800.9606953541	11297.2865940398	74726.9148952192	86265.2711658918	116378.6932676556	0.0000000000	2846.7945849632
2	BETA_1_5	1.0000	0	D	Optimal	true	46012.5609361323	0.012010	8	1|3|4|6|7|8|9|11	48156.3510743651	12979.5984894719	78076.7080219685	87753.9322116654	122316.2465845905	0.0006482432	874.2333280360
2	BETA_1_5	1.0000	10	SAA	Optimal	true	55179.8509436075	0.084370	9	1|2|3|4|6|7|8|9|11	48416.4247517022	11670.8823793077	75659.7918269199	84360.4240197206	114634.6340713538	0.0000052036	1690.3208936890
2	BETA_1_5	1.0000	60	SAA	Optimal	true	47960.8772485519	1.074457	8	1|3|4|6|7|8|9|11	48156.3510743651	12979.5984894719	78076.7080219685	87753.9322116654	122316.2465845905	0.0006482432	874.2333280360
3	BETA_1_5	1.0000	0	D	Optimal	true	39415.6754563092	0.010750	7	0|2|4|5|6|8|9	41129.8237436577	10881.5633280568	65139.5623773817	72896.6280499739	98326.6506275383	0.0017505678	866.4676617723
3	BETA_1_5	1.0000	10	SAA	Optimal	true	43481.1617005194	0.048086	8	0|2|4|5|6|7|8|9	41063.3407176400	8777.6025787383	60173.9835031669	66815.5862419185	89608.7649743346	0.0001067331	2385.5308057744
3	BETA_1_5	1.0000	60	SAA	Optimal	true	40752.6411274399	1.446090	7	0|2|4|5|6|8|9	41129.8237436577	10881.5633280568	65139.5623773817	72896.6280499739	98326.6506275383	0.0017505678	866.4676617723
4	BETA_1_5	1.0000	0	D	Optimal	true	45500.0622473888	0.021216	7	3|4|6|8|9|10|11	47728.8637514774	12066.2696324071	73984.7343060022	86630.9517096050	113406.1928808180	0.0001357967	2407.1680167025
4	BETA_1_5	1.0000	10	SAA	Optimal	true	44970.5501096331	0.229258	7	3|4|6|8|9|10|11	47728.8637514774	12066.2696324071	73984.7343060022	86630.9517096050	113406.1928808180	0.0001357967	2407.1680167025
4	BETA_1_5	1.0000	60	SAA	Optimal	true	46999.0393377700	3.868911	8	0|3|4|7|8|9|10|11	47509.8912243304	11383.5136091938	71921.6534325960	83245.2543162845	107979.2495262108	0.0009230897	2390.2211024445
5	BETA_1_5	1.0000	0	D	Optimal	true	46299.3850075800	0.013182	8	1|2|4|6|8|9|10|11	47613.4609304457	12483.2159449820	74155.6207382024	84559.4453106678	128029.3109759053	0.0000419346	791.3898803538
5	BETA_1_5	1.0000	10	SAA	Optimal	true	45318.6794658458	0.047242	8	1|2|4|6|8|9|10|11	47613.4609304457	12483.2159449820	74155.6207382024	84559.4453106678	128029.3109759053	0.0000419346	791.3898803538
5	BETA_1_5	1.0000	60	SAA	Optimal	true	47460.5625661102	1.229719	8	1|2|4|6|8|9|10|11	47613.4609304457	12483.2159449820	74155.6207382024	84559.4453106678	128029.3109759053	0.0000419346	791.3898803538
