replication	distribution	capacity_scale	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_0_5_0_5	0.7500	0	D	Optimal	true	93508.7601196309	0.009597	9	0|2|3|5|6|7|8|10|11	101430.9587543515	51384.6432314252	183718.5205240388	184616.1089506084	184998.4966699131	0.0144103229	1827.7429507164
1	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	83231.5111398701	0.066886	9	0|2|3|5|6|7|8|10|11	101430.9587543515	51384.6432314252	183718.5205240388	184616.1089506084	184998.4966699131	0.0144103229	1827.7429507164
1	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	109314.2557901542	1.832486	9	0|1|2|3|5|6|7|8|10	101720.9448376297	49719.4551148824	180444.4237937212	181290.6515268330	181652.1998043565	0.0184975511	1779.1291619278
2	BETA_0_5_0_5	0.7500	0	D	Optimal	true	88087.9600123146	0.005570	9	0|1|2|3|4|6|7|9|11	98059.2111092467	47220.2276407733	171129.4971125193	171746.3971364643	172095.6976483596	0.0293138821	1494.8723819621
2	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	72952.3492564460	0.047826	9	0|1|2|3|4|6|7|9|11	98059.2111092467	47220.2276407733	171129.4971125193	171746.3971364643	172095.6976483596	0.0293138821	1494.8723819621
2	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	96533.0728064668	1.125852	9	0|1|2|3|4|6|7|9|11	98059.2111092467	47220.2276407733	171129.4971125193	171746.3971364643	172095.6976483596	0.0293138821	1494.8723819621
3	BETA_0_5_0_5	0.7500	0	D	Optimal	true	72265.3475251218	0.006284	9	0|2|3|4|5|6|7|8|9	83179.3819782541	39603.8321579802	144992.3053543244	145694.7795880124	146006.2960680932	0.0347883492	2778.1224491092
3	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	88174.1707150765	0.086433	9	0|2|3|4|5|6|7|8|9	83179.3819782541	39603.8321579802	144992.3053543244	145694.7795880124	146006.2960680932	0.0347883492	2778.1224491092
3	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	86181.8352423266	1.845299	9	0|2|3|4|5|6|7|8|9	83179.3819782541	39603.8321579802	144992.3053543244	145694.7795880124	146006.2960680932	0.0347883492	2778.1224491092
4	BETA_0_5_0_5	0.7500	0	D	Optimal	true	82462.8450813921	0.005517	9	0|3|4|6|7|8|9|10|11	92431.0195468043	43509.2763834230	161543.0157674987	162154.5751129122	162558.8858286703	0.0250636462	3004.7948267941
4	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	117679.7627516431	0.070019	9	0|3|4|6|7|8|9|10|11	92431.0195468043	43509.2763834230	161543.0157674987	162154.5751129122	162558.8858286703	0.0250636462	3004.7948267941
4	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	89352.4840175598	1.470389	9	0|3|4|6|7|8|9|10|11	92431.0195468043	43509.2763834230	161543.0157674987	162154.5751129122	162558.8858286703	0.0250636462	3004.7948267941
5	BETA_0_5_0_5	0.7500	0	D	Optimal	true	88896.0802397526	0.019576	9	1|2|3|4|6|8|9|10|11	100115.0730261755	49517.3213563745	175782.6535290188	176889.0084544242	177430.7315205319	0.0279261529	1297.5212264181
5	BETA_0_5_0_5	0.7500	10	SAA	Optimal	true	98662.9014705406	0.102425	9	2|3|4|6|7|8|9|10|11	99839.6903738886	48182.2183837339	173091.4570767842	174146.3193261042	174664.3644876318	0.0315990634	1754.5415907763
5	BETA_0_5_0_5	0.7500	60	SAA	Optimal	true	95415.4323376790	1.900312	9	2|3|4|6|7|8|9|10|11	99839.6903738886	48182.2183837339	173091.4570767842	174146.3193261042	174664.3644876318	0.0315990634	1754.5415907763
