replication	distribution	capacity_scale	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_0_5_0_5	1.0000	0	D	Optimal	true	79560.9280464406	0.020522	9	0|2|4|5|6|7|8|10|11	88162.5650610955	41676.4137115885	155642.1659591626	156356.5766362493	156660.9275629898	0.0045814351	2423.3479395439
1	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	71514.8609530214	0.070861	9	0|2|3|5|6|7|8|10|11	86133.1247601597	40028.2381639613	149604.6594381139	150248.8406154361	150523.2725977607	0.0000000000	1643.6272953437
1	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	92346.7635084767	1.424812	9	0|2|3|5|6|7|8|10|11	86133.1247601597	40028.2381639613	149604.6594381139	150248.8406154361	150523.2725977607	0.0000000000	1643.6272953437
2	BETA_0_5_0_5	1.0000	0	D	Optimal	true	75532.4267103956	0.007144	9	0|1|3|4|6|7|8|9|11	84458.7087098496	37279.8999389382	142586.9703036136	143070.5530205801	143344.6482899792	0.0025211683	1703.8030812760
2	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	64793.7050697104	0.045578	9	0|1|2|3|4|6|7|9|11	84073.4145935502	36723.5795405678	141006.2064515183	141492.3303678293	141772.9227294540	0.0020000087	1423.2521485027
2	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	83040.0303278605	1.006370	9	0|1|2|3|4|6|7|9|11	84073.4145935502	36723.5795405678	141006.2064515183	141492.3303678293	141772.9227294540	0.0020000087	1423.2521485027
3	BETA_0_5_0_5	1.0000	0	D	Optimal	true	62153.8946734788	0.006893	9	0|1|2|4|5|6|7|8|9	70280.6391857368	30543.7521427656	118113.2697812261	118657.6685339260	118899.0854785889	0.0055116085	2307.4524497938
3	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	74066.4236474339	0.064230	9	0|1|2|4|5|6|7|8|9	70280.6391857368	30543.7521427656	118113.2697812261	118657.6685339260	118899.0854785889	0.0055116085	2307.4524497938
3	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	72622.2749437065	1.233245	9	0|1|2|4|5|6|7|8|9	70280.6391857368	30543.7521427656	118113.2697812261	118657.6685339260	118899.0854785889	0.0055116085	2307.4524497938
4	BETA_0_5_0_5	1.0000	0	D	Optimal	true	70871.4537544187	0.019208	9	0|3|4|6|7|8|9|10|11	79057.1218023561	33227.3511777016	132727.3558407667	133177.1781261400	133474.5621356023	0.0024441548	2848.2261555312
4	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	98296.8322393399	0.107996	9	3|4|5|6|7|8|9|10|11	79470.9328371978	32612.0517795216	131612.1836503537	132042.1724795284	132326.4443046513	0.0000000000	3643.9400399525
4	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	76736.3768599106	2.039644	9	0|3|4|6|7|8|9|10|11	79057.1218023561	33227.3511777016	132727.3558407667	133177.1781261400	133474.5621356023	0.0024441548	2848.2261555312
5	BETA_0_5_0_5	1.0000	0	D	Optimal	true	76442.0620952357	0.014068	9	2|3|4|6|7|8|9|10|11	85024.4045048068	37897.0432552599	142812.4355689083	143631.3588135475	144032.3418984561	0.0033930273	1623.0919117739
5	BETA_0_5_0_5	1.0000	10	SAA	Optimal	true	83604.9543236909	0.054174	9	1|2|3|4|6|8|9|10|11	84495.4703524631	38441.5427599657	143027.9881123577	143870.6650277915	144283.2790198157	0.0001831406	1175.6490773321
5	BETA_0_5_0_5	1.0000	60	SAA	Optimal	true	81071.7422925547	1.256186	9	1|2|3|4|6|8|9|10|11	84495.4703524631	38441.5427599657	143027.9881123577	143870.6650277915	144283.2790198157	0.0001831406	1175.6490773321
