replication	distribution	training_size	method	status	certified	objective	solve_sec	selected_count	selected	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
1	BETA_5_5	0	D	Optimal	true	79560.9280464406	0.019798	9	0|2|4|5|6|7|8|10|11	80894.1848765887	4664.3389196232	88534.4252211691	90793.8665231968	97668.2064168400	0.0002234428	0.0000000000
1	BETA_5_5	10	SAA	Optimal	true	81267.4185560238	0.133581	9	0|2|4|5|6|7|8|10|11	80894.1848765887	4664.3389196232	88534.4252211691	90793.8665231968	97668.2064168400	0.0002234428	0.0000000000
1	BETA_5_5	60	SAA	Optimal	true	80835.3981726953	3.435738	9	0|2|4|5|6|7|8|10|11	80894.1848765887	4664.3389196232	88534.4252211691	90793.8665231968	97668.2064168400	0.0002234428	0.0000000000
1	BETA_1_1	0	D	Optimal	true	79560.9280464406	0.029067	9	0|2|4|5|6|7|8|10|11	84498.5321436305	8861.9242109924	98900.6751530160	103048.8215327366	116784.0267935415	0.0026362033	1.6804039338
1	BETA_1_1	10	SAA	Optimal	true	84089.7357626518	0.083421	9	0|2|3|5|6|7|8|10|11	83554.4352244918	8356.5846562465	97419.6488078650	101055.8093246170	114138.7552704149	0.0000000000	0.0000000000
1	BETA_1_1	60	SAA	Optimal	true	82467.0658653098	2.040992	9	0|2|3|5|6|7|8|10|11	83554.4352244918	8356.5846562465	97419.6488078650	101055.8093246170	114138.7552704149	0.0000000000	0.0000000000
1	BETA_0_5_0_5	0	D	Optimal	true	79560.9280464406	0.019274	9	0|2|4|5|6|7|8|10|11	86740.7005106285	10703.8139371459	104738.7081625376	108866.5669094059	122230.6186904282	0.0044610975	7.5995571667
1	BETA_0_5_0_5	10	SAA	Optimal	true	80489.8634230399	0.070996	9	0|2|3|5|6|7|8|10|11	85242.2764787275	10039.7570199500	101854.4324194303	105805.9342152956	115814.8682272612	0.0000000000	1.6049265849
1	BETA_0_5_0_5	60	SAA	Optimal	true	84784.7086348124	1.950102	9	0|2|3|5|6|7|8|10|11	85242.2764787275	10039.7570199500	101854.4324194303	105805.9342152956	115814.8682272612	0.0000000000	1.6049265849
1	BETA_2_5	0	D	Optimal	true	55526.7270701803	0.023972	9	0|2|4|5|6|7|8|10|11	58006.1615122394	3533.2122976303	64544.6256046563	66643.6747464679	75312.8857612175	0.0000338362	535.0893047419
1	BETA_2_5	10	SAA	Optimal	true	55120.3877261001	0.216638	9	0|2|3|5|6|7|8|9|11	57744.8139825228	3922.5210124983	64801.2917611047	66850.8001838490	75506.0782492258	0.0000000000	19.1741145032
1	BETA_2_5	60	SAA	Optimal	true	57782.4795475798	4.049713	9	0|2|3|5|6|7|8|9|11	57744.8139825228	3922.5210124983	64801.2917611047	66850.8001838490	75506.0782492258	0.0000000000	19.1741145032
1	BETA_1_5	0	D	Optimal	true	47374.2017757433	0.027623	9	0|2|3|5|6|7|8|9|11	48523.6731851032	2423.7750630215	52842.5570415667	54247.6373196072	60831.4314991366	0.0000000000	1635.0208561543
1	BETA_1_5	10	SAA	Optimal	true	49074.5358941174	0.138415	9	0|1|2|3|5|7|8|9|11	48659.4233913097	2832.1904638624	53805.2498896471	55440.2188098153	62931.7130145522	0.0000015836	1436.9998062618
1	BETA_1_5	60	SAA	Optimal	true	48651.4154045018	3.705734	9	0|2|3|5|6|7|8|9|11	48523.6731851032	2423.7750630215	52842.5570415667	54247.6373196072	60831.4314991366	0.0000000000	1635.0208561543
2	BETA_5_5	0	D	Optimal	true	75532.4267103956	0.006077	9	0|1|3|4|6|7|8|9|11	76354.2945145136	4099.1673828331	83267.0016222438	85007.7460396934	89922.9190625899	0.0000822108	0.9292651196
2	BETA_5_5	10	SAA	Optimal	true	78315.4476872027	0.044710	9	0|1|3|4|6|7|8|9|11	76354.2945145136	4099.1673828331	83267.0016222438	85007.7460396934	89922.9190625899	0.0000822108	0.9292651196
2	BETA_5_5	60	SAA	Optimal	true	77581.3962827879	1.403203	9	0|1|3|4|6|7|8|9|11	76354.2945145136	4099.1673828331	83267.0016222438	85007.7460396934	89922.9190625899	0.0000822108	0.9292651196
2	BETA_1_1	0	D	Optimal	true	75532.4267103956	0.007070	9	0|1|3|4|6|7|8|9|11	79692.0175546428	7450.7211770085	92299.0684508017	95412.6615458300	104014.6020909936	0.0013694102	5.4627159526
2	BETA_1_1	10	SAA	Optimal	true	77185.6057875335	0.044146	9	0|1|3|4|6|7|8|9|11	79692.0175546428	7450.7211770085	92299.0684508017	95412.6615458300	104014.6020909936	0.0013694102	5.4627159526
2	BETA_1_1	60	SAA	Optimal	true	78588.6217497701	1.337954	9	0|1|3|4|6|7|8|9|11	79692.0175546428	7450.7211770085	92299.0684508017	95412.6615458300	104014.6020909936	0.0013694102	5.4627159526
2	BETA_0_5_0_5	0	D	Optimal	true	75532.4267103956	0.006345	9	0|1|3|4|6|7|8|9|11	81259.0704432365	9138.7015407827	96509.7902842654	100260.0592290437	114415.7560412357	0.0024006535	11.5287009664
2	BETA_0_5_0_5	10	SAA	Optimal	true	78771.2880771664	0.047181	9	0|1|2|3|4|6|7|9|11	81217.7787732615	8985.4598613099	96181.3015452250	99916.6728378341	113287.7017925668	0.0018795265	7.0292043899
2	BETA_0_5_0_5	60	SAA	Optimal	true	81169.8947539964	1.040704	9	0|1|3|4|6|7|8|9|11	81259.0704432365	9138.7015407827	96509.7902842654	100260.0592290437	114415.7560412357	0.0024006535	11.5287009664
2	BETA_2_5	0	D	Optimal	true	54008.5347220699	0.008562	9	0|1|3|4|6|7|8|9|11	55724.8482873937	3141.8558421241	61236.4488797508	62808.7210253505	68297.4139403178	0.0000111517	454.2304190647
2	BETA_2_5	10	SAA	Optimal	true	54773.5027885636	0.079967	9	0|1|3|4|6|7|8|9|11	55724.8482873937	3141.8558421241	61236.4488797508	62808.7210253505	68297.4139403178	0.0000111517	454.2304190647
2	BETA_2_5	60	SAA	Optimal	true	55482.2438625427	1.060234	9	0|1|3|4|6|7|8|9|11	55724.8482873937	3141.8558421241	61236.4488797508	62808.7210253505	68297.4139403178	0.0000111517	454.2304190647
2	BETA_1_5	0	D	Optimal	true	46012.5609361323	0.015316	8	1|3|4|6|7|8|9|11	47246.6023382638	3131.9838941257	52851.7325198722	54789.2906473767	61802.7837543221	0.0003438716	53.3066501497
2	BETA_1_5	10	SAA	Optimal	true	46856.1483992598	0.192060	8	1|3|4|6|7|8|9|11	47246.6023382638	3131.9838941257	52851.7325198722	54789.2906473767	61802.7837543221	0.0003438716	53.3066501497
2	BETA_1_5	60	SAA	Optimal	true	47027.6186571105	2.888096	8	1|3|4|6|7|8|9|11	47246.6023382638	3131.9838941257	52851.7325198722	54789.2906473767	61802.7837543221	0.0003438716	53.3066501497
3	BETA_5_5	0	D	Optimal	true	62153.8946734788	0.006623	9	0|1|2|4|5|6|7|8|9	63286.6831440134	3262.5582667096	68676.7466628012	70045.6761927170	76468.5769782209	0.0000311358	495.3006406503
3	BETA_5_5	10	SAA	Optimal	true	64472.5091451229	0.089153	9	0|1|2|4|5|6|7|8|9	63286.6831440134	3262.5582667096	68676.7466628012	70045.6761927170	76468.5769782209	0.0000311358	495.3006406503
3	BETA_5_5	60	SAA	Optimal	true	62895.9077821933	1.479088	9	0|1|2|4|5|6|7|8|9	63286.6831440134	3262.5582667096	68676.7466628012	70045.6761927170	76468.5769782209	0.0000311358	495.3006406503
3	BETA_1_1	0	D	Optimal	true	62153.8946734788	0.006132	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_1_1	10	SAA	Optimal	true	65089.0844061427	0.146725	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_1_1	60	SAA	Optimal	true	65844.4686873419	1.401598	9	0|1|2|4|5|6|7|8|9	66437.7291252834	6190.4829137445	76944.0067738533	79748.8176075531	87137.7256654389	0.0015848954	348.9041795430
3	BETA_0_5_0_5	0	D	Optimal	true	62153.8946734788	0.007032	9	0|1|2|4|5|6|7|8|9	67832.4912731291	7347.5878055337	80028.4180578036	83592.9390702947	92359.9844591892	0.0035083656	340.7591416130
3	BETA_0_5_0_5	10	SAA	Optimal	true	70310.3586446190	0.052271	9	0|2|3|4|5|6|7|8|9	67929.5987963219	6892.5645778816	79715.6530399670	82645.9593316590	89739.3170168482	0.0015494470	372.9458493772
3	BETA_0_5_0_5	60	SAA	Optimal	true	69462.0774670575	1.791434	9	0|2|3|4|5|6|7|8|9	67929.5987963219	6892.5645778816	79715.6530399670	82645.9593316590	89739.3170168482	0.0015494470	372.9458493772
3	BETA_2_5	0	D	Optimal	true	46923.7809555113	0.013381	8	0|2|4|5|6|7|8|9	48033.0493202029	3030.5056907603	53370.9931135378	55069.8243851195	61449.4697950020	0.0007894329	351.1956794585
3	BETA_2_5	10	SAA	Optimal	true	49910.6703302971	0.099782	9	0|1|2|4|5|6|7|8|9	48112.9790935626	2689.4095206764	52965.7382346213	54384.9781762807	59264.2730639048	0.0000006063	2033.5016374818
3	BETA_2_5	60	SAA	Optimal	true	47952.1803968642	2.563406	8	0|2|4|5|6|7|8|9	48033.0493202029	3030.5056907603	53370.9931135378	55069.8243851195	61449.4697950020	0.0007894329	351.1956794585
3	BETA_1_5	0	D	Optimal	true	39415.6754563092	0.011962	7	0|2|4|5|6|8|9	40404.5529494690	2703.8019412807	45355.6614073005	46849.6635753888	52430.5629293277	0.0019028796	175.1706297504
3	BETA_1_5	10	SAA	Optimal	true	40464.1119464433	0.139945	8	0|2|4|5|6|7|8|9	40286.3611255895	2133.0781329910	44085.8250983459	45502.4378039924	51510.2533268614	0.0001891470	1579.6124982177
3	BETA_1_5	60	SAA	Optimal	true	40325.5526522430	2.676199	8	0|2|4|5|6|7|8|9	40286.3611255895	2133.0781329910	44085.8250983459	45502.4378039924	51510.2533268614	0.0001891470	1579.6124982177
4	BETA_5_5	0	D	Optimal	true	70871.4537544187	0.020258	9	0|3|4|6|7|8|9|10|11	71732.8596934710	3790.9199608719	78107.7070476527	79886.0355589626	85879.1965611563	0.0000299172	3.9576305631
4	BETA_5_5	10	SAA	Optimal	true	70227.8683705459	0.123315	9	3|4|5|6|7|8|9|10|11	72181.6643613306	3739.7256639129	78348.3377979322	80083.3312747682	86903.9753512048	0.0000000000	565.3599273464
4	BETA_5_5	60	SAA	Optimal	true	71294.4165244572	3.028656	9	0|3|4|6|7|8|9|10|11	71732.8596934710	3790.9199608719	78107.7070476527	79886.0355589626	85879.1965611563	0.0000299172	3.9576305631
4	BETA_1_1	0	D	Optimal	true	70871.4537544187	0.017584	9	0|3|4|6|7|8|9|10|11	74686.9338288453	7553.5597732089	87750.5338120322	91196.5231146303	100070.3115230607	0.0007755893	76.0463337071
4	BETA_1_1	10	SAA	Optimal	true	77793.4274587756	0.164628	9	0|3|4|5|6|8|9|10|11	75504.6658382663	7505.2980640027	88129.8429359909	91666.4882452521	100397.8292087357	0.0039225532	72.8062091380
4	BETA_1_1	60	SAA	Optimal	true	75542.0860609168	1.768007	9	0|3|4|6|7|8|9|10|11	74686.9338288453	7553.5597732089	87750.5338120322	91196.5231146303	100070.3115230607	0.0007755893	76.0463337071
