market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	99505.9935687989	0.000000000	0.012931	1.0000000000	9	0|3|5|6|7|8|9|10|11	2080.4649666007	91452.4733780052	34719.9005472196	158213.8950362441	191651.8406903758	325059.0629404880	0.0280134150	850.7365927477
CURRENT	1	0	SAA	Optimal	true	120881.7710374727	0.000000000	1.628559	60.0000000000	9	0|1|3|5|7|8|9|10|11	2080.4649666007	91469.4747933493	34917.8256244305	155195.5349260139	191769.4920045353	327859.3952796952	0.0308989200	852.8436684964
CURRENT	1	0	CSAA	Optimal	true	109735.0002638671	0.000000000	2.114633	34.1377934519	9	0|3|5|6|7|8|9|10|11	2080.4649666007	91452.4733780052	34719.9005472196	158213.8950362441	191651.8406903758	325059.0629404880	0.0280134150	850.7365927477
CURRENT	1	1	D	Optimal	true	99505.9935687989	0.000000000	0.012931	1.0000000000	9	0|3|5|6|7|8|9|10|11	1830.2024593875	81297.1603348550	27746.0253251066	138432.0352887922	160748.2913223224	267519.7988855799	0.0219800651	1280.5297068870
CURRENT	1	1	SAA	Optimal	true	120881.7710374727	0.000000000	1.628559	60.0000000000	9	0|1|3|5|7|8|9|10|11	1830.2024593875	81314.7396850460	28068.4892747748	136416.1314216896	161715.0671487378	270469.7472685176	0.0240868673	1271.9112077999
CURRENT	1	1	CSAA	Optimal	true	107198.7923183934	0.000000000	2.504793	40.4430620241	9	0|3|5|6|7|8|9|10|11	1830.2024593875	81297.1603348550	27746.0253251066	138432.0352887922	160748.2913223224	267519.7988855799	0.0219800651	1280.5297068870
CURRENT	1	2	D	Optimal	true	99505.9935687989	0.000000000	0.012931	1.0000000000	9	0|3|5|6|7|8|9|10|11	2591.4973845097	130651.4328521949	52333.8602688434	234084.7072303153	277735.6353691139	369934.0239253890	0.0698454472	121.3688128947
CURRENT	1	2	SAA	Optimal	true	120881.7710374727	0.000000000	1.628559	60.0000000000	9	0|1|3|5|7|8|9|10|11	2591.4973845097	131407.0306898251	52476.4779269381	229322.3653755036	278127.3637604212	372412.7473043865	0.0756616071	122.9738842735
CURRENT	1	2	CSAA	Optimal	true	131581.6234146249	0.000000000	2.431145	36.6161248370	9	0|1|3|5|7|8|9|10|11	2591.4973845097	131407.0306898251	52476.4779269381	229322.3653755036	278127.3637604212	372412.7473043865	0.0756616071	122.9738842735
CURRENT	1	3	D	Optimal	true	99505.9935687989	0.000000000	0.012931	1.0000000000	9	0|3|5|6|7|8|9|10|11	2300.7732378779	108728.4928401884	41072.5886939516	186591.5851148453	220538.3994445211	347126.7667262489	0.0404538285	322.9805386775
