market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	1686.9231131150	84333.7032616053	49803.6926997428	177170.8567318477	236966.5804886377	471132.6337861107	0.0889935773	1749.4411177282
CURRENT	1	0	SAA	Optimal	true	107164.0281068989	0.000000000	1.007698	60.0000000000	9	0|1|3|5|7|8|9|10|11	1686.9231131150	84124.6338893445	49662.3595221246	177256.6903571097	235960.0629378641	472289.6185335383	0.0912406095	1745.2538868184
CURRENT	1	0	CSAA	Optimal	true	80399.2950489733	0.000000000	0.884181	10.9825845860	9	0|1|3|5|6|8|9|10|11	1686.9231131150	83702.7255489629	50507.7290850997	177264.0144555949	237253.1684960714	473205.6523821261	0.1033301947	1308.5095970936
CURRENT	1	1	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	1520.0814416395	79057.2846248479	43499.5690523631	170573.8100917082	209169.9104632787	424303.5008615579	0.0813899059	1799.8660431720
CURRENT	1	1	SAA	Optimal	true	107164.0281068989	0.000000000	1.007698	60.0000000000	9	0|1|3|5|7|8|9|10|11	1520.0814416395	79032.9990671967	43391.0441608863	167973.1143534559	208659.9617145835	423615.3322560763	0.0843969303	1796.1871745207
CURRENT	1	1	CSAA	Optimal	true	94364.2279296816	0.000000000	1.315174	21.1874681958	9	0|1|3|5|7|8|9|10|11	1520.0814416395	79032.9990671967	43391.0441608863	167973.1143534559	208659.9617145835	423615.3322560763	0.0843969303	1796.1871745207
CURRENT	1	2	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	2027.6113917210	114409.2726524886	68270.4014115809	249308.8423948987	321925.3484255069	480070.4545350000	0.1420790685	615.5683371064
CURRENT	1	2	SAA	Optimal	true	107164.0281068989	0.000000000	1.007698	60.0000000000	9	0|1|3|5|7|8|9|10|11	2027.6113917210	114558.9998662892	68029.7862559855	242870.0057904734	321107.6241430010	481743.4914154223	0.1466355476	629.3496389851
CURRENT	1	2	CSAA	Optimal	true	125045.0387629820	0.000000000	1.082727	14.0976467154	9	0|1|3|5|7|8|9|10|11	2027.6113917210	114558.9998662892	68029.7862559855	242870.0057904734	321107.6241430010	481743.4914154223	0.1466355476	629.3496389851
CURRENT	1	3	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	1833.7952939665	97236.7000847046	54567.3744663769	198816.5600378660	254686.1825475303	503065.2675913071	0.1043445137	997.2724668994
CURRENT	1	3	SAA	Optimal	true	107164.0281068989	0.000000000	1.007698	60.0000000000	9	0|1|3|5|7|8|9|10|11	1833.7952939665	97249.8093227599	54331.2486398309	197326.4030850208	253588.9675285379	497512.2055134212	0.1074209737	992.2439523520
CURRENT	1	3	CSAA	Optimal	true	125987.2111875307	0.000000000	0.940618	12.8434042807	9	0|1|3|5|6|7|8|9|11	1833.7952939665	96743.2055077520	53316.9578975560	194568.3138842503	250701.1090217840	494655.7396217001	0.1057967534	1064.1899854188
CURRENT	1	4	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	1491.3174599248	76615.0874966113	42143.0665042574	151147.0376121934	205287.5857935748	383949.1271817214	0.0812801334	2094.1089148278
CURRENT	1	4	SAA	Optimal	true	107164.0281068989	0.000000000	1.007698	60.0000000000	9	0|1|3|5|7|8|9|10|11	1491.3174599248	76790.8773391041	42359.5138754141	152626.4739810979	205836.4083411910	385980.1899741129	0.0856598629	2123.6586283538
CURRENT	1	4	CSAA	Optimal	true	79988.1011210601	0.000000000	0.875359	8.1880727802	9	0|1|3|5|6|7|8|9|11	1491.3174599248	76198.4686633622	41151.0005326420	151418.7902225140	201660.2966355040	379306.3926756209	0.0811286887	2159.8776925788
CURRENT	1	5	D	Optimal	true	79316.8527698734	0.000000000	0.016703	1.0000000000	9	0|3|5|6|7|8|9|10|11	2152.9618437936	124122.1106032425	71516.0999114678	252582.0137011233	329531.9392289441	537883.1470414605	0.1502945966	440.1540544730
