market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	1686.9231131150	125162.2291011402	64017.2174109938	253992.3268129772	320213.2204053700	618642.6845403131	0.1754730341	7990.0233456926
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	145365.7993542657	0.000000000	1.218467	60.0000000000	8	1|2|3|4|5|7|8|9	1686.9231131150	123137.7565043214	55668.1355483953	230760.4767846491	296393.3949131055	582279.6968617837	0.1286211541	13505.7117935147
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	135728.3120946903	0.000000000	1.457606	34.1377934519	8	1|2|3|4|5|7|8|9	1686.9231131150	123137.7565043214	55668.1355483953	230760.4767846491	296393.3949131055	582279.6968617837	0.1286211541	13505.7117935147
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	126446.5246750674	0.000000000	27.289190	200.0000000000	8	1|2|3|4|5|7|8|9	1686.9231131150	123137.7565043214	55668.1355483953	230760.4767846491	296393.3949131055	582279.6968617837	0.1286211541	13505.7117935147
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	1520.0814416395	116605.3489127984	54996.9112563524	228501.9951727805	279427.5575710546	441136.7363849474	0.1568392791	9050.9241528186
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	145365.7993542657	0.000000000	1.218467	60.0000000000	8	1|2|3|4|5|7|8|9	1520.0814416395	115358.6535790106	47270.5552971858	206230.1982893370	258677.3139550883	428070.2887904494	0.1113816333	14790.2975583238
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	136869.1969528707	0.000000000	1.915785	40.4430620241	8	1|2|3|4|5|7|8|9	1520.0814416395	115358.6535790106	47270.5552971858	206230.1982893370	258677.3139550883	428070.2887904494	0.1113816333	14790.2975583238
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	110200.6664231330	0.000000000	27.202373	200.0000000000	7	1|2|3|4|5|8|9	1520.0814416395	114240.2516310931	52695.9345630439	221140.8626567979	271748.4530666476	433310.1102967265	0.1544662742	8629.5465404023
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	2027.6113917210	157552.1452139197	85182.1680474708	308446.8621347302	410781.6028272481	701709.6006943776	0.2299416250	4603.6921560559
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	145365.7993542657	0.000000000	1.218467	60.0000000000	8	1|2|3|4|5|7|8|9	2027.6113917210	151119.3806948556	75140.4512132701	285629.1609821005	380363.9149427239	662773.9786930530	0.1717120665	9072.2478060494
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	154718.9008584099	0.000000000	1.831528	36.6161248370	9	1|2|3|4|5|7|8|9|10	2027.6113917210	151649.3443863190	73027.8563090780	283474.6808913617	375884.3650599369	656951.7945703127	0.1447604534	12295.4102665426
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	149744.8977923293	0.000000000	29.271202	200.0000000000	8	1|2|3|4|5|7|8|9	2027.6113917210	151119.3806948556	75140.4512132701	285629.1609821005	380363.9149427239	662773.9786930530	0.1717120665	9072.2478060494
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	1833.7952939665	146982.2637194409	76426.8112798635	287229.8208196094	369162.2648728059	577353.7896229925	0.2133469856	5930.2849413924
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	145365.7993542657	0.000000000	1.218467	60.0000000000	8	1|2|3|4|5|7|8|9	1833.7952939665	141443.7199865078	66211.2297173677	266120.9837768240	340529.2640316508	536871.4630502585	0.1548035657	10797.6961880244
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	153993.6208245152	0.000000000	1.855074	35.0470314645	8	1|2|3|4|5|7|8|9	1833.7952939665	141443.7199865078	66211.2297173677	266120.9837768240	340529.2640316508	536871.4630502585	0.1548035657	10797.6961880244
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	130348.3520318410	0.000000000	33.851273	200.0000000000	8	1|2|3|4|5|7|8|9	1833.7952939665	141443.7199865078	66211.2297173677	266120.9837768240	340529.2640316508	536871.4630502585	0.1548035657	10797.6961880244
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	1491.3174599248	111464.9657554683	59052.3310708701	207254.0226238997	295930.2625809235	607998.1459112327	0.1529775935	9734.1426366646
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	145365.7993542657	0.000000000	1.218467	60.0000000000	8	1|2|3|4|5|7|8|9	1491.3174599248	111421.8995016015	51211.3932349607	193198.2652343269	273080.5239382358	569824.1336701120	0.1099838149	15633.4638383238
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	130862.5137071708	0.000000000	1.892294	28.1093166181	8	1|2|3|4|5|7|8|9	1491.3174599248	111421.8995016015	51211.3932349607	193198.2652343269	273080.5239382358	569824.1336701120	0.1099838149	15633.4638383238
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	106953.3679095898	0.000000000	26.892649	200.0000000000	7	1|2|3|4|5|8|9	1491.3174599248	109646.5179865430	57001.9631985132	205305.1230096277	287498.1910956792	596097.9512963743	0.1521173809	9382.1858132403
PERSISTENT_WIDE_MQC_1.75	1	5	D	Optimal	true	110259.4519046515	0.000000000	0.017598	1.0000000000	7	2|3|4|5|8|9|10	2152.9618437936	170402.6911563481	86797.7240396373	348358.4218289424	419331.9747443451	559187.6152140655	0.2532131135	4159.9007426435
