market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1438.2770271547	99234.6249260614	47971.5774228783	199620.2710602187	248087.0320379209	482342.8094269632	0.1502330816	7995.8195770846
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1438.2770271547	98762.6618691048	41289.9909699756	184808.5729530938	228643.9756692316	449461.1403924996	0.1097958224	12938.6833575475
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	116475.9142489920	0.000000000	2.647521	34.1377934519	8	1|2|3|4|5|7|8|9	1438.2770271547	98762.6618691048	41289.9909699756	184808.5729530938	228643.9756692316	449461.1403924996	0.1097958224	12938.6833575475
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	105346.1839390443	0.000000000	8.048518	100.0000000000	7	1|2|3|4|5|8|9	1438.2770271547	97470.7721628760	46527.7266876529	190673.5713822180	241900.5160085510	474345.4443958216	0.1542693324	7456.5254542302
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1415.9970124830	105419.2007382161	52156.3643090242	200339.0592824620	263118.0011162998	511468.8579133687	0.1616571193	7106.3488995902
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1415.9970124830	103970.2888587849	45290.5427429034	184718.4122605197	243558.2548467561	475730.2231914863	0.1168189870	11892.9950725411
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	120833.6240353836	0.000000000	2.408828	40.4430620241	8	1|2|3|4|5|7|8|9	1415.9970124830	103970.2888587849	45290.5427429034	184718.4122605197	243558.2548467561	475730.2231914863	0.1168189870	11892.9950725411
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	108437.0564184733	0.000000000	9.009897	100.0000000000	7	1|2|3|4|5|8|9	1415.9970124830	103256.0474881800	50206.0293442515	197130.9180514991	256620.0703866170	490692.5702294501	0.1627186867	6580.2349848153
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1865.9212370041	139283.8956626032	72849.2440745483	282672.6391264342	353336.2332732436	532885.2506800846	0.2337996889	3883.5315975965
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1865.9212370041	133793.1002683865	64077.9556128227	264491.2752687408	327586.2805777977	505812.5908372977	0.1795802151	7654.1488051202
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	135039.4252673349	0.000000000	2.471071	36.6161248370	9	1|2|3|4|5|7|8|9|10	1865.9212370041	133764.7915747566	61791.0344856029	259428.5921339440	322930.9898962050	495971.2391212032	0.1471271921	10490.2037707040
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	134962.6395151521	0.000000000	9.215999	100.0000000000	8	1|2|3|4|5|7|8|9	1865.9212370041	133793.1002683865	64077.9556128227	264491.2752687408	327586.2805777977	505812.5908372977	0.1795802151	7654.1488051202
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1630.6243539099	118671.6818319489	59977.4386559501	225270.8115551446	296010.0167010920	498901.3247451587	0.1934717509	5478.3150957926
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1630.6243539099	115191.0997175214	52045.9210899494	207671.2400844053	273156.4376856433	467269.6335642294	0.1409588633	9797.2888240739
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	131690.0965890889	0.000000000	2.493639	35.0470314645	8	1|2|3|4|5|7|8|9	1630.6243539099	115191.0997175214	52045.9210899494	207671.2400844053	273156.4376856433	467269.6335642294	0.1409588633	9797.2888240739
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	117315.8912389291	0.000000000	7.990937	100.0000000000	8	1|2|3|4|5|7|8|9	1630.6243539099	115191.0997175214	52045.9210899494	207671.2400844053	273156.4376856433	467269.6335642294	0.1409588633	9797.2888240739
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1521.1074338695	110717.5302083036	55371.7876951667	216020.0908550322	272187.5809165449	454389.7132783806	0.1778524355	6651.3071519495
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1521.1074338695	108577.2448058800	47570.6167634295	196170.7053329204	252601.8351919632	421337.8605433577	0.1306856972	11381.0330528690
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	118401.6439015899	0.000000000	2.339484	28.1093166181	8	1|2|3|4|5|7|8|9	1521.1074338695	108577.2448058800	47570.6167634295	196170.7053329204	252601.8351919632	421337.8605433577	0.1306856972	11381.0330528690
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	116047.2413078725	0.000000000	7.374575	100.0000000000	8	1|2|3|4|5|7|8|9	1521.1074338695	108577.2448058800	47570.6167634295	196170.7053329204	252601.8351919632	421337.8605433577	0.1306856972	11381.0330528690
PERSISTENT_WIDE_MQC_1.75	1	5	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1961.7739388943	150783.6826337134	82171.1538527006	298119.5899951001	395772.4351164385	721073.9870205009	0.2580695456	3057.4398003912
PERSISTENT_WIDE_MQC_1.75	1	5	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1961.7739388943	143612.2447683054	73446.3426511254	275005.7688741977	367510.7403402389	684260.9654719331	0.1975446397	6352.1582296972
PERSISTENT_WIDE_MQC_1.75	1	5	CSAA	Optimal	true	146362.2607723358	0.000000000	2.179468	26.5542140972	9	1|2|3|4|5|7|8|9|11	1961.7739388943	143149.6755131357	67149.4070127060	262985.0510761745	351534.3867665795	664316.4407454244	0.1562526265	10991.1064181719
PERSISTENT_WIDE_MQC_1.75	1	5	ORACLE	Optimal	true	147786.3403565681	0.000000000	7.599858	100.0000000000	9	1|2|3|4|5|7|8|9|11	1961.7739388943	143149.6755131357	67149.4070127060	262985.0510761745	351534.3867665795	664316.4407454244	0.1562526265	10991.1064181719
PERSISTENT_WIDE_MQC_1.75	1	6	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1565.4745923527	114288.6997016819	56618.9528082510	244301.8626905390	282770.0411266681	385049.2747446563	0.1869623596	6284.8651135869
PERSISTENT_WIDE_MQC_1.75	1	6	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1565.4745923527	112566.1789543584	49868.0845513859	226365.7257207961	264750.8129355931	362041.2647854529	0.1445319010	11022.4564517396
PERSISTENT_WIDE_MQC_1.75	1	6	CSAA	Optimal	true	127999.0000796777	0.000000000	2.522645	35.3436863114	8	1|2|3|4|5|7|8|9	1565.4745923527	112566.1789543584	49868.0845513859	226365.7257207961	264750.8129355931	362041.2647854529	0.1445319010	11022.4564517396
PERSISTENT_WIDE_MQC_1.75	1	6	ORACLE	Optimal	true	113773.3450168870	0.000000000	9.902963	100.0000000000	7	2|3|4|5|7|8|9	1565.4745923527	112097.9282772820	52523.8509532591	232636.1118349478	271169.4151904919	373217.7212744627	0.1646198777	8045.2181788653
PERSISTENT_WIDE_MQC_1.75	1	7	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1296.1876387974	95338.8694884085	50370.4651506352	174290.4372338920	242952.2815465439	623231.2358224815	0.1338762707	8904.8463493756
PERSISTENT_WIDE_MQC_1.75	1	7	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1296.1876387974	95687.7196254886	44497.0529674416	160651.4191747041	226380.0578116509	581304.9610932635	0.0986806906	14120.4199700315
PERSISTENT_WIDE_MQC_1.75	1	7	CSAA	Optimal	true	115733.6632652814	0.000000000	2.554221	32.9085831240	7	2|3|4|5|7|8|9	1296.1876387974	94213.4235551641	46647.6081108832	161833.7221550127	231484.8308106714	600527.0559308652	0.1149401101	10840.8327689978
PERSISTENT_WIDE_MQC_1.75	1	7	ORACLE	Optimal	true	92608.1778878723	0.000000000	6.433353	100.0000000000	7	1|2|3|4|5|8|9	1296.1876387974	94043.9024518827	49435.9770124118	170799.2635996430	237819.1395766770	612586.4383473570	0.1405382949	8460.8781335510
PERSISTENT_WIDE_MQC_1.75	1	8	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1323.3263532230	94573.7026063161	43966.1140504753	174933.3334240710	232394.4457783609	389200.8378624528	0.1397265990	9030.3018933939
PERSISTENT_WIDE_MQC_1.75	1	8	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1323.3263532230	94026.2222811075	37199.4972124721	155755.6488562850	213933.1374469059	347337.6793675254	0.0958837357	14002.9431081617
PERSISTENT_WIDE_MQC_1.75	1	8	CSAA	Optimal	true	120359.8053456281	0.000000000	2.577071	32.7304166902	7	2|3|4|5|7|8|9	1323.3263532230	93005.7744337849	40004.6587620120	165579.8031598413	220450.9324410117	367083.7918963910	0.1158302751	10803.0679646588
PERSISTENT_WIDE_MQC_1.75	1	8	ORACLE	Optimal	true	99309.9914987196	0.000000000	8.407452	100.0000000000	7	1|2|3|4|5|8|9	1323.3263532230	92449.9262984875	42461.5804868771	172311.5864893309	226894.9970947792	372321.9626491491	0.1400340773	8350.3027375357
PERSISTENT_WIDE_MQC_1.75	1	9	D	Optimal	true	95020.7679425116	0.000000000	0.017648	1.0000000000	7	2|3|4|5|8|9|10	1828.1145845240	138842.6898833848	73452.2788193500	285575.5269516095	353607.9410924909	514947.6265068631	0.2378112895	3935.7869082643
PERSISTENT_WIDE_MQC_1.75	1	9	SAA	Optimal	true	126446.4153117542	0.000000000	1.575974	60.0000000000	8	1|2|3|4|5|7|8|9	1828.1145845240	133394.7401842644	64039.2449755764	264360.9252416217	325177.1120065468	483077.2425810866	0.1823761265	7733.2660374818
PERSISTENT_WIDE_MQC_1.75	1	9	CSAA	Optimal	true	140731.1802395051	0.000000000	2.171061	34.1529209105	9	1|2|3|4|5|7|8|9|11	1828.1145845240	134088.3772159160	57441.8979547045	252393.1786707390	309536.5445650526	464571.3337246789	0.1438391132	13028.1499748552
PERSISTENT_WIDE_MQC_1.75	1	9	ORACLE	Optimal	true	123737.8825722139	0.000000000	8.263684	100.0000000000	8	1|2|3|4|5|7|8|9	1828.1145845240	133394.7401842644	64039.2449755764	264360.9252416217	325177.1120065468	483077.2425810866	0.1823761265	7733.2660374818
