market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1540.1591109202	108094.3763965727	53832.4911887171	219345.5534918872	272948.4398240252	537902.7492359311	0.1737870389	7357.3122753473
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1540.1591109202	106797.0219055314	46581.4039716503	199570.4545771173	252703.0932057906	505587.7222650734	0.1283606474	12313.5762097018
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	121303.6086413091	0.000000000	2.974737	34.1377934519	8	1|2|3|4|5|7|8|9	1540.1591109202	106797.0219055314	46581.4039716503	199570.4545771173	252703.0932057906	505587.7222650734	0.1283606474	12313.5762097018
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	115010.7105318177	0.000000000	7.349255	100.0000000000	7	2|3|4|5|7|8|9	1540.1591109202	106048.1330406128	49770.0084837412	210919.3442117419	260880.7304193790	518163.2017627255	0.1486940921	9087.5165308455
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1423.0169251692	107402.5963814495	53562.8022020300	206018.1137303543	268754.0005692162	529621.0514566302	0.1629628938	7345.4518530001
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1423.0169251692	106135.1487209584	46450.6396792984	189981.7059879814	248708.0709456658	493116.8618751274	0.1178687795	12441.7996031263
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	123896.8487522557	0.000000000	2.045633	40.4430620241	8	1|2|3|4|5|7|8|9	1423.0169251692	106135.1487209584	46450.6396792984	189981.7059879814	248708.0709456658	493116.8618751274	0.1178687795	12441.7996031263
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	110342.1684446384	0.000000000	7.598631	100.0000000000	7	2|3|4|5|7|8|9	1423.0169251692	105428.9180699590	49462.6662608943	196924.4416157462	256950.2861583179	513608.2033107854	0.1385350368	9150.3896284871
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1814.4803663068	137400.9083000704	71973.1248087714	280602.3438132637	349352.6102659057	525378.4958196017	0.2216830428	4432.4461115386
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1814.4803663068	131708.6123608091	62765.4269387718	254214.9703766871	322699.4374947997	496739.9969453058	0.1634092930	8499.5945083319
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	137151.6779303955	0.000000000	2.295924	36.6161248370	9	1|2|3|4|5|7|8|9|10	1814.4803663068	132405.9400627720	60569.2008675753	249242.2917463859	318862.0202053428	487279.8705007386	0.1360492700	11572.7686418722
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	132220.7737191504	0.000000000	7.223614	100.0000000000	8	1|2|3|4|5|7|8|9	1814.4803663068	131708.6123608091	62765.4269387718	254214.9703766871	322699.4374947997	496739.9969453058	0.1634092930	8499.5945083319
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1694.5281105769	126540.2244128492	65485.7707836701	240813.3847674814	321086.8527961725	544642.7523829573	0.2078799241	5280.5736373196
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1694.5281105769	122446.4190568459	57196.6842277055	216146.6690500763	297101.6214208300	511549.5829797344	0.1533388757	9698.7211524858
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	137663.1648180854	0.000000000	2.237204	35.0470314645	8	1|2|3|4|5|7|8|9	1694.5281105769	122446.4190568459	57196.6842277055	216146.6690500763	297101.6214208300	511549.5829797344	0.1533388757	9698.7211524858
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	124467.2230587129	0.000000000	8.142966	100.0000000000	8	1|2|3|4|5|7|8|9	1694.5281105769	122446.4190568459	57196.6842277055	216146.6690500763	297101.6214208300	511549.5829797344	0.1533388757	9698.7211524858
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1439.9308023842	107544.1981610950	53682.0495755332	210797.9756164827	265484.4202616134	424483.4137622489	0.1642460678	7880.5634920948
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1439.9308023842	106104.9324928266	45942.3685245098	190050.7298944722	246507.5065374093	388950.3470808976	0.1187485145	13110.6817926386
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	119389.3899781194	0.000000000	2.008276	28.1093166181	8	1|2|3|4|5|7|8|9	1439.9308023842	106104.9324928266	45942.3685245098	190050.7298944722	246507.5065374093	388950.3470808976	0.1187485145	13110.6817926386
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	112416.5140711065	0.000000000	6.978319	100.0000000000	7	2|3|4|5|7|8|9	1439.9308023842	105523.1698792804	49099.2509154148	196160.1447365189	253611.6390011848	407903.4602603276	0.1414143675	9856.4432173801
PERSISTENT_WIDE_MQC_1.75	1	5	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1986.6967110149	157179.6284163813	86239.9527653501	315643.7749363733	412294.3858227448	769594.6073214815	0.2626381855	3209.6513529594
PERSISTENT_WIDE_MQC_1.75	1	5	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1986.6967110149	149379.5151318227	77262.7077620166	287075.5578083548	382866.1234807650	730258.2755951500	0.2004534053	6653.8811007020
PERSISTENT_WIDE_MQC_1.75	1	5	CSAA	Optimal	true	152398.2259678689	0.000000000	1.879042	26.5542140972	9	1|2|3|4|5|7|8|9|11	1986.6967110149	148541.3983056393	70897.6266611568	277126.1374971125	367190.2001439181	710217.5340855247	0.1590858443	11323.6419178867
PERSISTENT_WIDE_MQC_1.75	1	5	ORACLE	Optimal	true	153222.1412974786	0.000000000	6.660327	100.0000000000	9	1|2|3|4|5|7|8|9|11	1986.6967110149	148541.3983056393	70897.6266611568	277126.1374971125	367190.2001439181	710217.5340855247	0.1590858443	11323.6419178867
PERSISTENT_WIDE_MQC_1.75	1	6	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1542.6301686848	114756.6280260215	57088.8553001912	243867.3404345237	283559.3158630675	381664.6261507672	0.1846416507	6948.5953004787
PERSISTENT_WIDE_MQC_1.75	1	6	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1542.6301686848	112666.7678504035	50126.2942696671	223581.8540080611	264520.3602544273	377312.5682404606	0.1368930460	11868.1473942923
PERSISTENT_WIDE_MQC_1.75	1	6	CSAA	Optimal	true	129605.6441005276	0.000000000	2.024430	35.3436863114	8	1|2|3|4|5|7|8|9	1542.6301686848	112666.7678504035	50126.2942696671	223581.8540080611	264520.3602544273	377312.5682404606	0.1368930460	11868.1473942923
PERSISTENT_WIDE_MQC_1.75	1	6	ORACLE	Optimal	true	114369.2566884129	0.000000000	8.898413	100.0000000000	8	1|2|3|4|5|7|8|9	1542.6301686848	112666.7678504035	50126.2942696671	223581.8540080611	264520.3602544273	377312.5682404606	0.1368930460	11868.1473942923
PERSISTENT_WIDE_MQC_1.75	1	7	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1311.0504319569	96417.4693442936	50127.0859131990	177036.4373840839	244360.5619476179	620508.5897602537	0.1350238715	9085.2408458574
PERSISTENT_WIDE_MQC_1.75	1	7	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1311.0504319569	96645.8345903178	43874.8537551068	160508.0307950692	226494.3605020492	577153.2403768961	0.0955690444	14459.8727759355
PERSISTENT_WIDE_MQC_1.75	1	7	CSAA	Optimal	true	117093.9798673416	0.000000000	2.341673	32.9085831240	7	2|3|4|5|7|8|9	1311.0504319569	95138.9242026590	46251.7351341041	165585.3555821797	232513.5639879106	596790.0728118744	0.1131398632	11023.4425257645
PERSISTENT_WIDE_MQC_1.75	1	7	ORACLE	Optimal	true	93730.2435719762	0.000000000	7.314699	100.0000000000	7	1|2|3|4|5|8|9	1311.0504319569	94837.3617922084	48844.8966647396	171584.3956127460	238083.1932378734	608845.4464586806	0.1363083872	8702.0137838296
PERSISTENT_WIDE_MQC_1.75	1	8	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1318.2054950060	95277.6289621007	44285.3212940646	174131.1957181615	234286.2268363702	396627.1662734698	0.1380522403	9426.9146530247
PERSISTENT_WIDE_MQC_1.75	1	8	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1318.2054950060	95071.6734984915	37334.4530604649	159468.2807017573	215399.9521720117	352559.2880468721	0.0944506878	14721.0180084214
PERSISTENT_WIDE_MQC_1.75	1	8	CSAA	Optimal	true	122173.3297170344	0.000000000	2.427443	32.7304166902	7	2|3|4|5|7|8|9	1318.2054950060	93808.3306962980	40175.6048085477	163863.2906494351	222005.8036360678	374027.0352454934	0.1140220410	11309.9225565550
PERSISTENT_WIDE_MQC_1.75	1	8	ORACLE	Optimal	true	100144.6444746069	0.000000000	6.688253	100.0000000000	7	1|2|3|4|5|8|9	1318.2054950060	93348.6544108515	42603.2180067380	171963.8812768549	228263.7725890744	379404.1478355393	0.1378534206	8936.4011975542
PERSISTENT_WIDE_MQC_1.75	1	9	D	Optimal	true	96811.3124681885	0.000000000	0.017985	1.0000000000	7	2|3|4|5|8|9|10	1835.2557378872	143073.0417439530	76806.9344497494	297396.4229659760	366989.7896430583	564016.6871660578	0.2397924130	4205.5412275506
PERSISTENT_WIDE_MQC_1.75	1	9	SAA	Optimal	true	129165.9060935057	0.000000000	1.477962	60.0000000000	8	1|2|3|4|5|7|8|9	1835.2557378872	137269.6075711291	67216.8011428367	271934.6972712834	337900.4720203198	530285.7948003802	0.1827848191	8211.0121126182
PERSISTENT_WIDE_MQC_1.75	1	9	CSAA	Optimal	true	146133.3657841010	0.000000000	2.223243	34.1529209105	9	1|2|3|4|5|7|8|9|11	1835.2557378872	137841.5542042053	60588.4532191607	255519.5532416572	321608.5641209747	510886.4832327587	0.1445709514	13584.5391420720
PERSISTENT_WIDE_MQC_1.75	1	9	ORACLE	Optimal	true	126884.5699861094	0.000000000	7.519452	100.0000000000	8	1|2|3|4|5|7|8|9	1835.2557378872	137269.6075711291	67216.8011428367	271934.6972712834	337900.4720203198	530285.7948003802	0.1827848191	8211.0121126182
