market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	729.8551892795	51337.8950094536	21929.0621552477	96264.6541059442	120766.8126730195	242930.9268607018	0.1011524112	7126.1675094419
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	729.8551892795	51571.8998342856	20337.1171804544	92004.1297622069	116250.0790081003	233142.3546560469	0.0918161753	8404.9128996922
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	66610.8525251286	0.000000000	1.506933	34.1377934519	8	1|2|3|4|5|7|8|9	729.8551892795	51571.8998342856	20337.1171804544	92004.1297622069	116250.0790081003	233142.3546560469	0.0918161753	8404.9128996922
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	54097.7347517035	0.000000000	6.746266	100.0000000000	7	1|2|3|4|5|8|9	729.8551892795	50228.9930453835	22975.1890162887	97139.6805166614	122399.8113412788	245406.8654446469	0.1305177175	5108.7925357676
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	684.4732297669	51595.0855099724	22324.5784230135	91431.8386144812	121031.6453770078	237630.7403586012	0.1008336073	7148.3000391228
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	684.4732297669	51740.9229309743	20714.0255900489	88100.4760510990	116023.7446655890	228631.8217931339	0.0905368086	8407.9689661811
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	66578.4941580518	0.000000000	1.813675	40.4430620241	8	1|2|3|4|5|7|8|9	684.4732297669	51740.9229309743	20714.0255900489	88100.4760510990	116023.7446655890	228631.8217931339	0.0905368086	8407.9689661811
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	52659.6908758596	0.000000000	6.813710	100.0000000000	7	1|2|3|4|5|8|9	684.4732297669	50402.8649090833	23115.1195357559	93469.8398962504	121865.8609264791	237000.2181983652	0.1290385268	5106.6701861889
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	1096.1390473440	82891.2570462800	42618.3244701097	168315.8043150331	209369.5017359162	313441.0566151197	0.2088452449	2920.2727920969
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	1096.1390473440	81000.9171291371	39936.4841831028	160947.8350464843	201505.5734138732	305014.5600092477	0.1872389874	3820.2009078532
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	81457.7447528424	0.000000000	1.705648	36.6161248370	9	1|2|3|4|5|7|8|9|11	1096.1390473440	80781.1386525754	36251.0284821758	152566.6326183991	192033.9101201189	292292.6675252578	0.1476486725	6460.3564968019
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	80853.1256200926	0.000000000	6.162479	100.0000000000	9	1|2|3|4|5|7|8|9|11	1096.1390473440	80781.1386525754	36251.0284821758	152566.6326183991	192033.9101201189	292292.6675252578	0.1476486725	6460.3564968019
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	879.6963330331	64291.3826693319	30757.9553520337	116760.9251098509	157499.2145638823	266752.6675992702	0.1485825214	4810.0176597223
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	879.6963330331	63631.2172552279	28694.7385891448	115082.3621183548	151683.4828720530	259612.4613422622	0.1324761764	5940.5167765175
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	76254.4997644045	0.000000000	1.755195	35.0470314645	8	1|2|3|4|5|7|8|9	879.6963330331	63631.2172552279	28694.7385891448	115082.3621183548	151683.4828720530	259612.4613422622	0.1324761764	5940.5167765175
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	64567.2316314814	0.000000000	8.176194	100.0000000000	7	2|3|4|5|7|8|9	879.6963330331	63820.2573141763	30896.9524138333	118388.2346305909	157693.1896522626	270973.6184540434	0.1583494093	4270.3335930061
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	746.6247535232	54658.4165198939	24037.6705037159	101149.0171095099	128200.5553812519	208214.1953173413	0.1165696453	6661.1967918279
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	746.6247535232	54485.9683891709	22012.0805851612	95506.0268902289	122752.3606607598	200171.3595474128	0.1032834574	7903.8150524989
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	65443.8225321846	0.000000000	1.619809	28.1093166181	8	1|2|3|4|5|7|8|9	746.6247535232	54485.9683891709	22012.0805851612	95506.0268902289	122752.3606607598	200171.3595474128	0.1032834574	7903.8150524989
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	57487.6605503241	0.000000000	6.184082	100.0000000000	7	2|3|4|5|7|8|9	746.6247535232	53802.8717656057	23620.4867235627	97240.7332365072	126309.1323016060	210612.0944249750	0.1233519192	5988.8446886232
PERSISTENT_WIDE_MQC_1.75	1	5	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	1158.5185011946	90453.9159698227	49026.9550718397	177117.4167002863	235520.7705543296	468589.0245397759	0.2324370126	2342.7244821799
PERSISTENT_WIDE_MQC_1.75	1	5	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	1158.5185011946	88237.0085156624	46603.6377131767	169857.8111758471	227477.7451902773	460953.6958751003	0.2093241534	3118.7646100972
PERSISTENT_WIDE_MQC_1.75	1	5	CSAA	Optimal	true	88567.4836846238	0.000000000	1.427216	26.5542140972	9	1|2|3|4|5|7|8|9|11	1158.5185011946	87382.5602705805	43049.9932168113	164650.8504709433	218129.5781384271	449946.1068881505	0.1676966472	5428.0764360101
PERSISTENT_WIDE_MQC_1.75	1	5	ORACLE	Optimal	true	90001.0995908628	0.000000000	6.132180	100.0000000000	9	1|2|3|4|5|7|8|9|11	1158.5185011946	87382.5602705805	43049.9932168113	164650.8504709433	218129.5781384271	449946.1068881505	0.1676966472	5428.0764360101
PERSISTENT_WIDE_MQC_1.75	1	6	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	840.1387689808	61512.4103690157	28293.0986746495	122979.1465180879	147356.5848453571	202196.5574170078	0.1435926117	5486.7800995000
PERSISTENT_WIDE_MQC_1.75	1	6	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	840.1387689808	60995.9876913446	26284.2098251830	117956.9078847334	142023.6952736575	196185.5338520676	0.1286805494	6658.6374005964
PERSISTENT_WIDE_MQC_1.75	1	6	CSAA	Optimal	true	74414.4120025127	0.000000000	1.810471	35.3436863114	8	1|2|3|4|5|7|8|9	840.1387689808	60995.9876913446	26284.2098251830	117956.9078847334	142023.6952736575	196185.5338520676	0.1286805494	6658.6374005964
PERSISTENT_WIDE_MQC_1.75	1	6	ORACLE	Optimal	true	61385.4706938728	0.000000000	7.895965	100.0000000000	7	2|3|4|5|7|8|9	840.1387689808	60673.8824222618	27887.2708054014	120841.6398249037	145826.8789719860	202442.6221008411	0.1502812237	4884.0293543255
PERSISTENT_WIDE_MQC_1.75	1	7	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	606.1853898876	46313.8252852510	20724.7039933154	76330.0092283596	107929.8121103697	273930.9823117334	0.0784985286	8622.2002733532
PERSISTENT_WIDE_MQC_1.75	1	7	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	606.1853898876	46642.4077413520	19179.2246540850	72851.7385588668	103368.0564447356	260864.5085216340	0.0703563889	9917.4352596918
PERSISTENT_WIDE_MQC_1.75	1	7	CSAA	Optimal	true	63965.9106869077	0.000000000	1.776753	32.9085831240	7	2|3|4|5|7|8|9	606.1853898876	45261.5351714530	20208.6812611241	72969.5721598664	105529.4826637805	271738.0434441911	0.0832396050	7844.0114433836
PERSISTENT_WIDE_MQC_1.75	1	7	ORACLE	Optimal	true	43359.9069997860	0.000000000	6.025439	100.0000000000	6	2|3|4|5|8|9	606.1853898876	43904.1794615339	22813.9227601965	79632.7920983104	111361.1973221863	287835.1436052061	0.1262549261	4540.7063768828
PERSISTENT_WIDE_MQC_1.75	1	8	D	Optimal	true	55394.4353762810	0.000000000	0.013372	1.0000000000	8	1|2|3|4|5|8|9|10	601.8146263474	44644.2901276249	16252.4104674422	70809.1442262544	97399.0159692831	160773.8728697623	0.0733270271	8909.0820694959
PERSISTENT_WIDE_MQC_1.75	1	8	SAA	Optimal	true	73981.3013631854	0.000000000	1.128621	60.0000000000	8	1|2|3|4|5|7|8|9	601.8146263474	45067.9787243530	14824.1994135499	68309.8231690581	93117.4205976748	147758.3797992401	0.0644684034	10185.2076853926
