market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	40405.4067358540	0.000000000	0.008838	1.0000000000	9	0|3|5|6|7|8|9|10|11	729.8551892795	34554.1190692262	19122.6352357621	69442.6731002275	93759.5481401131	188851.4850612272	0.0664407128	1404.1863650570
CURRENT	1	0	SAA	Optimal	true	55006.0119958283	0.000000000	0.877394	60.0000000000	9	0|1|3|5|7|8|9|10|11	729.8551892795	34343.3684752920	19055.9168988603	70145.4951136635	93111.5970630156	190020.7753967813	0.0688307784	1427.8314545127
CURRENT	1	0	CSAA	Optimal	true	48233.4387678919	0.000000000	0.873897	34.1377934519	9	0|1|3|5|7|8|9|10|11	729.8551892795	34343.3684752920	19055.9168988603	70145.4951136635	93111.5970630156	190020.7753967813	0.0688307784	1427.8314545127
CURRENT	1	1	D	Optimal	true	40405.4067358540	0.000000000	0.008838	1.0000000000	9	0|3|5|6|7|8|9|10|11	684.4732297669	34106.6167390345	17974.8046935473	71717.9928978929	88492.5223042470	187174.1122484848	0.0645520776	1283.4651756369
CURRENT	1	1	SAA	Optimal	true	55006.0119958283	0.000000000	0.877394	60.0000000000	9	0|1|3|5|7|8|9|10|11	684.4732297669	34018.1507379694	17881.2424904721	71359.1904756869	87908.5096145509	187125.5485934164	0.0674058641	1299.4375834002
CURRENT	1	1	CSAA	Optimal	true	48159.7446560488	0.000000000	1.683825	40.4430620241	9	0|1|3|5|7|8|9|10|11	684.4732297669	34018.1507379694	17881.2424904721	71359.1904756869	87908.5096145509	187125.5485934164	0.0674058641	1299.4375834002
CURRENT	1	2	D	Optimal	true	40405.4067358540	0.000000000	0.008838	1.0000000000	9	0|3|5|6|7|8|9|10|11	1096.1390473440	63353.2557485013	38132.6415708114	140684.4084266374	178438.0621738556	256197.7420787462	0.1596714877	202.4311825121
CURRENT	1	2	SAA	Optimal	true	55006.0119958283	0.000000000	0.877394	60.0000000000	9	0|1|3|5|7|8|9|10|11	1096.1390473440	63268.4786982818	37876.6764991028	140546.4974574105	177650.9535976965	256342.8488236473	0.1636207196	213.6272442688
CURRENT	1	2	CSAA	Optimal	true	62240.3914298655	0.000000000	1.356997	36.6161248370	9	0|1|3|5|7|8|9|10|11	1096.1390473440	63268.4786982818	37876.6764991028	140546.4974574105	177650.9535976965	256342.8488236473	0.1636207196	213.6272442688
CURRENT	1	3	D	Optimal	true	40405.4067358540	0.000000000	0.008838	1.0000000000	9	0|3|5|6|7|8|9|10|11	879.6963330331	44874.4899524366	24653.5600243362	92589.7628683903	115996.3154891215	215443.3751463584	0.0965067102	578.5280405213
CURRENT	1	3	SAA	Optimal	true	55006.0119958283	0.000000000	0.877394	60.0000000000	9	0|1|3|5|7|8|9|10|11	879.6963330331	44724.7265706792	24471.3532521723	92271.4414651093	115214.0563338167	211970.0827043240	0.0989353337	591.7162841151
CURRENT	1	3	CSAA	Optimal	true	56970.0645729850	0.000000000	1.953719	35.0470314645	9	0|1|3|5|7|8|9|10|11	879.6963330331	44724.7265706792	24471.3532521723	92271.4414651093	115214.0563338167	211970.0827043240	0.0989353337	591.7162841151
CURRENT	1	4	D	Optimal	true	40405.4067358540	0.000000000	0.008838	1.0000000000	9	0|3|5|6|7|8|9|10|11	746.6247535232	37835.6467220090	20452.8275871193	76089.4521090081	100451.2640878188	158365.2721896454	0.0760958943	1005.8870664254
