market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	41844.5974018288	0.000000000	0.012757	1.0000000000	8	2|3|4|5|6|7|8|14	729.8551892795	40478.5615064623	14163.6906243229	68382.0476391582	84160.1372040077	138328.6155993289	0.1013928610	3374.9151075751
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	55321.1197419931	0.000000000	1.608785	60.0000000000	9	2|3|4|5|7|8|9|13|14	729.8551892795	41207.8096872602	13291.8069896898	68369.3089838406	83200.9566572181	134136.5236385436	0.0817326811	4980.1448456646
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	50433.0400251145	0.000000000	2.278859	34.1377934519	9	2|3|4|5|7|8|12|13|14	729.8551892795	40826.0963078472	13681.5862856600	67001.7738947958	83341.3918133708	133441.8315518154	0.0934098378	4402.0813419281
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	41804.3100228479	0.000000000	8.613591	100.0000000000	8	2|3|4|5|7|8|13|14	729.8551892795	40042.5290042668	14485.4590919858	69905.3282035472	84228.6871397540	140021.5805077378	0.1134457000	2921.0067185298
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	41844.5974018288	0.000000000	0.012757	1.0000000000	8	2|3|4|5|6|7|8|14	684.4732297669	39970.9305194732	14634.5420186265	67063.3303303032	86846.3572524353	123128.7311368339	0.1008689521	3467.9023277674
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	55321.1197419931	0.000000000	1.608785	60.0000000000	9	2|3|4|5|7|8|9|13|14	684.4732297669	40692.6827185825	13726.1594776328	67247.3198341081	85394.1728923975	124976.2571917671	0.0805570954	5079.3727100381
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	49534.0834975636	0.000000000	1.984929	40.4430620241	9	2|3|4|5|7|8|12|13|14	684.4732297669	40348.9146725738	14039.0482693454	67167.7055672359	85775.3588613017	123974.4385902726	0.0929915042	4517.4032024809
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	41577.2206961417	0.000000000	8.993220	100.0000000000	8	2|3|4|5|7|8|13|14	684.4732297669	39555.3942306039	14818.2624550992	67416.0067892638	86784.1481339885	122167.5044013753	0.1135308170	3030.4285876269
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	41844.5974018288	0.000000000	0.012757	1.0000000000	8	2|3|4|5|6|7|8|14	1096.1390473440	66006.9202373289	29066.5147018042	118177.0065215307	149291.6312481876	224330.1218430041	0.2029985150	627.0613458117
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	55321.1197419931	0.000000000	1.608785	60.0000000000	9	2|3|4|5|7|8|9|13|14	1096.1390473440	64577.1603150062	27760.8296196593	115985.0996300421	145285.9092447650	215287.2770319152	0.1741372581	1260.3620178946
