market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	729.8551892795	26051.5070555337	11370.0534703758	48928.2671387820	61053.2872019786	103727.8254073616	0.0537404237	1189.1487343089
CURRENT	1	0	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	729.8551892795	26051.5070555337	11370.0534703758	48928.2671387820	61053.2872019786	103727.8254073616	0.0537404237	1189.1487343089
CURRENT	1	0	CSAA	Optimal	true	34444.6388629685	0.000000000	0.768036	34.1377934519	11	0|1|3|4|5|7|8|9|11|12|14	729.8551892795	26051.5070555337	11370.0534703758	48928.2671387820	61053.2872019786	103727.8254073616	0.0537404237	1189.1487343089
CURRENT	1	1	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	684.4732297669	25592.8181637448	11664.9311019199	49672.3818107162	63178.2455915029	105071.3863474063	0.0523983926	1211.0315504790
CURRENT	1	1	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	684.4732297669	25592.8181637448	11664.9311019199	49672.3818107162	63178.2455915029	105071.3863474063	0.0523983926	1211.0315504790
CURRENT	1	1	CSAA	Optimal	true	33768.7311660047	0.000000000	1.302101	40.4430620241	11	0|1|3|4|5|7|8|9|11|12|14	684.4732297669	25592.8181637448	11664.9311019199	49672.3818107162	63178.2455915029	105071.3863474063	0.0523983926	1211.0315504790
CURRENT	1	2	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1096.1390473440	47837.1936917139	24030.1227318991	89561.0630414405	117092.5659490123	164610.8983139625	0.1349791183	175.1837323109
CURRENT	1	2	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1096.1390473440	47837.1936917139	24030.1227318991	89561.0630414405	117092.5659490123	164610.8983139625	0.1349791183	175.1837323109
CURRENT	1	2	CSAA	Optimal	true	43805.7031641482	0.000000000	1.303106	36.6161248370	11	0|1|3|4|5|7|8|9|11|12|14	1096.1390473440	47837.1936917139	24030.1227318991	89561.0630414405	117092.5659490123	164610.8983139625	0.1349791183	175.1837323109
CURRENT	1	3	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	879.6963330331	33866.9679225551	15765.1180020342	62865.1953322834	79922.9199440876	136100.5841771479	0.0825343525	514.9294127151
CURRENT	1	3	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	879.6963330331	33866.9679225551	15765.1180020342	62865.1953322834	79922.9199440876	136100.5841771479	0.0825343525	514.9294127151
CURRENT	1	3	CSAA	Optimal	true	40081.6933877950	0.000000000	1.273353	35.0470314645	11	0|1|3|4|5|7|8|9|11|12|14	879.6963330331	33866.9679225551	15765.1180020342	62865.1953322834	79922.9199440876	136100.5841771479	0.0825343525	514.9294127151
CURRENT	1	4	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	746.6247535232	28358.8884147442	12656.8002465418	55097.5920564957	66750.4834446722	116756.7145558825	0.0614976323	918.9767331882
CURRENT	1	4	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	746.6247535232	28358.8884147442	12656.8002465418	55097.5920564957	66750.4834446722	116756.7145558825	0.0614976323	918.9767331882
CURRENT	1	4	CSAA	Optimal	true	32678.8823140011	0.000000000	1.093724	28.1093166181	11	0|1|3|4|5|7|8|9|11|12|14	746.6247535232	28358.8884147442	12656.8002465418	55097.5920564957	66750.4834446722	116756.7145558825	0.0614976323	918.9767331882
CURRENT	1	5	D	Optimal	true	27161.5703682867	0.000000000	0.007874	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1158.5185011946	51930.4095653649	25012.0489184227	102585.9203423746	120510.3288310671	174620.6006180348	0.1491109643	117.2090406331
CURRENT	1	5	SAA	Optimal	true	38632.7672623482	0.000000000	1.115065	60.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1158.5185011946	51930.4095653649	25012.0489184227	102585.9203423746	120510.3288310671	174620.6006180348	0.1491109643	117.2090406331
CURRENT	1	5	CSAA	Optimal	true	45286.0056471736	0.000000000	1.092479	26.5542140972	11	0|1|3|4|5|7|8|9|11|12|14	1158.5185011946	51930.4095653649	25012.0489184227	102585.9203423746	120510.3288310671	174620.6006180348	0.1491109643	117.2090406331
