market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1017.3571675871	41049.4789377557	19909.0116043561	81652.7922382918	98181.5083157324	172733.7825739104	0.1107978780	290.7590998481
CURRENT	1	0	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1017.3571675871	41049.4789377557	19909.0116043561	81652.7922382918	98181.5083157324	172733.7825739104	0.1107978780	290.7590998481
CURRENT	1	0	CSAA	Optimal	true	39721.7774359486	0.000000000	3.231534	44.6694431089	11	0|1|3|4|5|7|8|9|11|12|14	1017.3571675871	41049.4789377557	19909.0116043561	81652.7922382918	98181.5083157324	172733.7825739104	0.1107978780	290.7590998481
CURRENT	1	1	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	883.3762297725	35957.5293459931	17753.1565200695	72300.8319829164	90608.7801047818	145854.2935684735	0.0924569107	439.2745883863
CURRENT	1	1	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	883.3762297725	35957.5293459931	17753.1565200695	72300.8319829164	90608.7801047818	145854.2935684735	0.0924569107	439.2745883863
CURRENT	1	1	CSAA	Optimal	true	38028.0215275119	0.000000000	2.504820	50.7915804925	11	0|1|3|4|5|7|8|9|11|12|14	883.3762297725	35957.5293459931	17753.1565200695	72300.8319829164	90608.7801047818	145854.2935684735	0.0924569107	439.2745883863
CURRENT	1	2	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	824.8689465212	31756.4091871867	15329.7708030163	58304.3460679920	77678.6201029695	109377.4792176539	0.0770134567	696.5868924946
CURRENT	1	2	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	824.8689465212	31756.4091871867	15329.7708030163	58304.3460679920	77678.6201029695	109377.4792176539	0.0770134567	696.5868924946
CURRENT	1	2	CSAA	Optimal	true	36000.1721625136	0.000000000	2.371083	57.7841051132	11	0|1|3|4|5|7|8|9|11|12|14	824.8689465212	31756.4091871867	15329.7708030163	58304.3460679920	77678.6201029695	109377.4792176539	0.0770134567	696.5868924946
CURRENT	1	3	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1157.5146687296	50555.5394608890	23991.7806397707	95023.9673283583	117806.0513905626	191190.8301726136	0.1398574901	121.0819088165
CURRENT	1	3	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	1157.5146687296	50555.5394608890	23991.7806397707	95023.9673283583	117806.0513905626	191190.8301726136	0.1398574901	121.0819088165
CURRENT	1	3	CSAA	Optimal	true	39231.7558258635	0.000000000	5.162913	51.3070309093	11	0|1|3|4|5|7|8|9|11|12|14	1157.5146687296	50555.5394608890	23991.7806397707	95023.9673283583	117806.0513905626	191190.8301726136	0.1398574901	121.0819088165
CURRENT	1	4	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	970.2986423141	40796.4170362372	19342.8884649787	79430.5317338147	96638.9956696220	161482.6697650373	0.1101135961	288.3513234759
CURRENT	1	4	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	970.2986423141	40796.4170362372	19342.8884649787	79430.5317338147	96638.9956696220	161482.6697650373	0.1101135961	288.3513234759
CURRENT	1	4	CSAA	Optimal	true	36785.9181195607	0.000000000	5.437668	51.1439916226	11	0|1|3|4|5|7|8|9|11|12|14	970.2986423141	40796.4170362372	19342.8884649787	79430.5317338147	96638.9956696220	161482.6697650373	0.1101135961	288.3513234759
CURRENT	1	5	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	945.7263613883	38499.8912088817	18446.9978614311	75419.1213035124	90953.8271075116	132904.1140052850	0.1017134480	364.2356962089
CURRENT	1	5	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	945.7263613883	38499.8912088817	18446.9978614311	75419.1213035124	90953.8271075116	132904.1140052850	0.1017134480	364.2356962089
CURRENT	1	5	CSAA	Optimal	true	39000.3822045957	0.000000000	4.523593	49.0181982664	11	0|1|3|4|5|7|8|9|11|12|14	945.7263613883	38499.8912088817	18446.9978614311	75419.1213035124	90953.8271075116	132904.1140052850	0.1017134480	364.2356962089
CURRENT	1	6	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	905.8451312562	35349.9552691951	17293.5700310200	67082.3592864891	86863.9648764651	173405.9354391953	0.0875477061	468.1373704652
CURRENT	1	6	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	905.8451312562	35349.9552691951	17293.5700310200	67082.3592864891	86863.9648764651	173405.9354391953	0.0875477061	468.1373704652
CURRENT	1	6	CSAA	Optimal	true	35899.0137864655	0.000000000	3.373788	69.8789379025	11	0|1|3|4|5|7|8|9|11|12|14	905.8451312562	35349.9552691951	17293.5700310200	67082.3592864891	86863.9648764651	173405.9354391953	0.0875477061	468.1373704652
CURRENT	1	7	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	952.0860185841	38844.6052538428	18202.3954344244	72619.7811295167	91731.8740264479	147229.6688942671	0.1027347027	335.8955930662
CURRENT	1	7	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	952.0860185841	38844.6052538428	18202.3954344244	72619.7811295167	91731.8740264479	147229.6688942671	0.1027347027	335.8955930662
CURRENT	1	7	CSAA	Optimal	true	38836.2513942725	0.000000000	4.746481	62.6021852735	11	0|1|3|4|5|7|8|9|11|12|14	952.0860185841	38844.6052538428	18202.3954344244	72619.7811295167	91731.8740264479	147229.6688942671	0.1027347027	335.8955930662
CURRENT	1	8	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	838.4317616958	32318.7324707717	15059.1271773728	61211.4013579658	77091.7198301095	155461.9066899216	0.0768165680	614.8532286704
CURRENT	1	8	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	838.4317616958	32318.7324707717	15059.1271773728	61211.4013579658	77091.7198301095	155461.9066899216	0.0768165680	614.8532286704
CURRENT	1	8	CSAA	Optimal	true	34683.1827855021	0.000000000	4.843488	65.5660953259	11	0|1|3|4|5|7|8|9|11|12|14	838.4317616958	32318.7324707717	15059.1271773728	61211.4013579658	77091.7198301095	155461.9066899216	0.0768165680	614.8532286704
CURRENT	1	9	D	Optimal	true	25864.0408905727	0.000000000	0.011256	1.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	674.8411617368	24663.9677145668	11093.9097826734	45120.5725204695	57224.4722505481	141309.7653469656	0.0449342823	1381.0385591809
CURRENT	1	9	SAA	Optimal	true	36541.5846588461	0.000000000	2.700400	100.0000000000	11	0|1|3|4|5|7|8|9|11|12|14	674.8411617368	24663.9677145668	11093.9097826734	45120.5725204695	57224.4722505481	141309.7653469656	0.0449342823	1381.0385591809
CURRENT	1	9	CSAA	Optimal	true	32614.6080840336	0.000000000	3.533687	51.5029262760	11	0|1|3|4|5|7|8|9|11|12|14	674.8411617368	24663.9677145668	11093.9097826734	45120.5725204695	57224.4722505481	141309.7653469656	0.0449342823	1381.0385591809
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	40635.8414065177	0.000000000	0.030231	1.0000000000	8	2|3|4|5|6|7|8|14	1017.3571675871	63299.8082590445	29831.6729096427	123418.5371879106	149924.2082152967	261940.8222797849	0.1792386200	1053.6883417078
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	55847.7283151529	0.000000000	13.640493	100.0000000000	9	2|3|4|5|7|8|9|13|14	1017.3571675871	61602.7379570706	28144.8409273980	118221.7454724075	144906.5069207247	255863.3533244659	0.1515006840	1922.5247369759
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	59880.8909684877	0.000000000	8.597548	44.6694431089	10	1|2|3|4|5|7|8|9|13|14	1017.3571675871	61263.0138606328	25968.7419713443	112702.4446675363	140521.9232428631	246779.8264957201	0.1254085187	3884.3700060975
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	40635.8414065177	0.000000000	0.030231	1.0000000000	8	2|3|4|5|6|7|8|14	883.3762297725	56045.1853438119	26810.9020407030	109278.6627634257	139414.8207761938	218398.3268565579	0.1546672406	1474.2579868165
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	55847.7283151529	0.000000000	13.640493	100.0000000000	9	2|3|4|5|7|8|9|13|14	883.3762297725	55310.1146347758	25639.5969806043	109584.9179905123	136347.4624013718	217710.4925932563	0.1313382056	2608.4103866522
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	58197.2506287776	0.000000000	8.114555	50.7915804925	10	2|3|4|5|7|8|9|12|13|14	883.3762297725	55434.0660466467	24459.3771398865	106006.7340445507	134073.3477001722	212714.6676954617	0.1139450733	4039.3787848961
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	40635.8414065177	0.000000000	0.030231	1.0000000000	8	2|3|4|5|6|7|8|14	824.8689465212	50436.6557594448	23020.9668103143	90450.0281899145	121373.2119746710	177967.8471414109	0.1373598944	2151.5318832583
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	55847.7283151529	0.000000000	13.640493	100.0000000000	9	2|3|4|5|7|8|9|13|14	824.8689465212	49886.6172102950	21528.6182598222	86512.2140284300	117471.5686804727	165598.8158319105	0.1129791447	3444.8485443363
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	55603.1408518308	0.000000000	6.920872	57.7841051132	9	2|3|4|5|7|8|12|13|14	824.8689465212	50085.5626684171	22063.9350447412	88896.5439270503	118581.4315245621	170593.7403684504	0.1272876503	3023.5470076684
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	40635.8414065177	0.000000000	0.030231	1.0000000000	8	2|3|4|5|6|7|8|14	1157.5146687296	76921.4988406066	36677.1324712636	142800.4482751723	180528.9337538605	299294.2948402423	0.2162619946	438.3871290608
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	55847.7283151529	0.000000000	13.640493	100.0000000000	9	2|3|4|5|7|8|9|13|14	1157.5146687296	74187.9839014971	35263.6307426917	139606.3317355760	174891.5297328841	289007.2785362644	0.1868309992	914.6918389971
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	59048.7453140954	0.000000000	11.160197	51.3070309093	10	2|3|4|5|7|8|9|11|13|14	1157.5146687296	72319.0679497392	32463.1273797112	131861.4010276192	166439.0813447269	276743.2040575498	0.1503677877	2162.3242530176
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	40635.8414065177	0.000000000	0.030231	1.0000000000	8	2|3|4|5|6|7|8|14	970.2986423141	62992.5632385014	29342.1548177593	120358.2878629133	149164.3795664079	237858.0174844637	0.1787667838	1003.2380085087
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	55847.7283151529	0.000000000	13.640493	100.0000000000	9	2|3|4|5|7|8|9|13|14	970.2986423141	61554.5304202957	27958.4778482358	117040.0366727047	145227.7244526841	238297.7504497251	0.1532767015	1864.3024561208
