market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	42420.4302769142	0.000000000	0.017282	1.0000000000	8	2|3|4|5|6|7|8|14	729.8551892795	36967.2105846760	7536.1261627869	52058.1014155903	59564.0790076352	88469.1735669579	0.0413466388	2412.5923845344
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	51294.9894511144	0.000000000	1.999824	60.0000000000	9	2|3|4|5|7|8|9|13|14	729.8551892795	37742.6845418251	6493.4347922867	50826.3727228891	57951.7006298601	83036.2980911821	0.0259104512	4042.2694275455
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	46748.2618851893	0.000000000	2.814660	34.1377934519	9	2|3|4|5|7|8|9|13|14	729.8551892795	37742.6845418251	6493.4347922867	50826.3727228891	57951.7006298601	83036.2980911821	0.0259104512	4042.2694275455
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	37535.3394889195	0.000000000	12.169970	100.0000000000	8	2|3|4|5|7|8|13|14	729.8551892795	36528.7406035512	7721.8921962237	51520.8918985149	59532.4068701243	88884.6029398549	0.0525702652	1995.0992723430
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	42420.4302769142	0.000000000	0.017282	1.0000000000	8	2|3|4|5|6|7|8|14	684.4732297669	35917.6328387256	7414.0821916000	49719.1441938877	59443.7307337506	77564.9572432639	0.0393510421	2675.1777703574
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	51294.9894511144	0.000000000	1.999824	60.0000000000	9	2|3|4|5|7|8|9|13|14	684.4732297669	36910.0096820628	6541.3061596743	49465.1297159728	57840.9843334423	78257.2431896918	0.0253333822	4365.6123160343
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	45610.7868159588	0.000000000	2.850794	40.4430620241	9	2|3|4|5|7|8|9|13|14	684.4732297669	36910.0096820628	6541.3061596743	49465.1297159728	57840.9843334423	78257.2431896918	0.0253333822	4365.6123160343
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	36433.1975195769	0.000000000	19.417672	100.0000000000	8	2|3|4|5|7|8|13|14	684.4732297669	35515.8943553298	7535.0709238749	50292.8096378598	59417.3978599234	76625.2461245769	0.0514527149	2255.3931843104
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	42420.4302769142	0.000000000	0.017282	1.0000000000	8	2|3|4|5|6|7|8|14	1096.1390473440	61880.3200019512	19589.2701613352	96485.9013431075	115417.8629871247	166072.0066219391	0.1247456302	111.0271634948
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	51294.9894511144	0.000000000	1.999824	60.0000000000	9	2|3|4|5|7|8|9|13|14	1096.1390473440	59131.5345080170	17826.0206441437	91366.0302571095	109064.0987953158	153628.8427347255	0.0940609315	383.6681446054
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	55845.6716390147	0.000000000	3.405059	36.6161248370	10	0|2|3|4|5|7|8|9|13|14	1096.1390473440	58043.1638049015	16021.0060684829	87134.4034821175	104564.6927874287	146527.6674021397	0.0661058217	1150.3867655344
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	58211.3856097490	0.000000000	15.047751	100.0000000000	11	0|2|3|4|5|6|7|8|9|13|14	1096.1390473440	58053.2234959705	15130.6305889366	85842.2540102487	102360.4223225746	145005.2070730161	0.0510873474	1878.7651973191
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	42420.4302769142	0.000000000	0.017282	1.0000000000	8	2|3|4|5|6|7|8|14	879.6963330331	46119.2352336288	12482.2573994980	69067.9999711602	82998.2692882013	113733.6159542050	0.0726847112	756.0009471873
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	51294.9894511144	0.000000000	1.999824	60.0000000000	9	2|3|4|5|7|8|9|13|14	879.6963330331	45651.0339727703	11369.4854265478	66920.4003619907	80541.1407120808	115449.5388818927	0.0518459512	1700.5119652780
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	51312.9726055551	0.000000000	3.310798	35.0470314645	9	2|3|4|5|7|8|9|13|14	879.6963330331	45651.0339727703	11369.4854265478	66920.4003619907	80541.1407120808	115449.5388818927	0.0518459512	1700.5119652780
