market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	42656.1877830378	0.000000000	0.011983	1.0000000000	8	2|3|4|5|6|7|8|14	838.2977570752	40032.6539068129	9385.2438187610	59004.0820994253	67891.7316723657	98603.6358414454	0.0729980494	1339.1046773495
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	53013.8516475531	0.000000000	2.724020	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	838.2977570752	43099.3266979651	8701.7386312222	59089.7533140577	70519.0535693365	106178.7302896138	0.0479493753	5088.5211748715
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	49164.2690005020	0.000000000	2.695121	34.1377934519	9	2|3|4|5|7|8|9|13|14	838.2977570752	41284.6304656612	9344.5680974421	60247.0136302931	70266.4729195778	104729.2489989261	0.0653234746	2767.8916603812
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	41659.3906949719	0.000000000	10.393257	100.0000000000	9	2|3|4|5|6|7|8|13|14	838.2977570752	39891.0068951275	9025.6092085614	57765.2127370522	67119.0733614864	98085.7781154879	0.0608460981	1756.5998544632
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	42656.1877830378	0.000000000	0.011983	1.0000000000	8	2|3|4|5|6|7|8|14	703.6593019799	36499.7809352844	7586.3546325895	50593.3457414725	59795.7200630357	72948.2026732074	0.0432790885	2370.9933878835
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	53013.8516475531	0.000000000	2.724020	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	703.6593019799	39709.6000695544	5957.1686642812	50430.1886421334	59148.0087903178	75774.1454874532	0.0182083284	6640.5812965196
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	47529.2540417543	0.000000000	2.241139	40.4430620241	9	2|3|4|5|7|8|9|13|14	703.6593019799	37280.6928556878	6523.1668570527	51419.0854231289	58389.9874704561	72983.9748826366	0.0289818639	3994.6066537168
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	37202.9377896751	0.000000000	15.878061	100.0000000000	8	2|3|4|6|7|8|13|14	703.6593019799	36262.1361314294	8462.1328981392	52992.6077322680	61881.2164766530	72712.0407422270	0.0492043486	1294.5865020094
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	42656.1877830378	0.000000000	0.011983	1.0000000000	8	2|3|4|5|6|7|8|14	1031.8353688027	60699.1304468670	19895.4619689947	98627.3788936153	114946.7915146932	174206.6218786488	0.1248345848	243.0433639924
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	53013.8516475531	0.000000000	2.724020	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1031.8353688027	56574.6653073031	15840.7868487435	87581.9317817164	102992.2730158433	154795.8326889899	0.0603025932	1739.1457893049
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	56443.6006681794	0.000000000	2.290710	36.6161248370	10	0|2|3|4|5|7|8|9|13|14	1031.8353688027	56574.6653073031	15840.7868487435	87581.9317817164	102992.2730158433	154795.8326889899	0.0603025932	1739.1457893049
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	56365.3880871149	0.000000000	8.699373	100.0000000000	10	0|2|3|4|5|7|8|9|13|14	1031.8353688027	56574.6653073031	15840.7868487435	87581.9317817164	102992.2730158433	154795.8326889899	0.0603025932	1739.1457893049
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	42656.1877830378	0.000000000	0.011983	1.0000000000	8	2|3|4|5|6|7|8|14	964.8847559497	49771.8502317474	14604.7120586472	75152.8460001918	91007.8828523167	153357.0843913118	0.0979540794	373.0196410024
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	53013.8516475531	0.000000000	2.724020	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	964.8847559497	50491.8134928435	12905.5571324019	73620.0800995870	89202.6871115967	153907.7759909152	0.0642451811	2636.1152028198
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	54240.8665688408	0.000000000	2.548398	35.0470314645	10	2|3|4|5|6|7|8|9|13|14	964.8847559497	48786.6901542941	12787.2398279682	69717.7255987337	87201.6818526083	148678.9949292845	0.0544672503	1641.8538505573
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	48988.0526032258	0.000000000	8.229837	100.0000000000	10	2|3|4|5|6|7|8|9|13|14	964.8847559497	48786.6901542941	12787.2398279682	69717.7255987337	87201.6818526083	148678.9949292845	0.0544672503	1641.8538505573
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	42656.1877830378	0.000000000	0.011983	1.0000000000	8	2|3|4|5|6|7|8|14	660.7858956362	38686.2060292160	10529.7053821669	59330.3493626614	70321.4891611667	96491.6885006642	0.0598754768	3596.4173857727
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	53013.8516475531	0.000000000	2.724020	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	660.7858956362	40717.8481432711	7931.6867614075	56149.0797962082	66066.6719246739	89053.3366954250	0.0235260677	7989.1836047416
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	46051.8291578944	0.000000000	2.774262	28.1093166181	9	2|3|4|5|7|8|9|13|14	660.7858956362	38985.9656600560	9336.1992147715	58916.2204181052	68097.5358769263	92746.0981440663	0.0394815210	5314.0571691045
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	38736.6882886452	0.000000000	12.169575	100.0000000000	6	3|4|5|7|8|14	660.7858956362	37431.2761157419	11221.2437875980	59747.7407770128	70574.0199058946	103083.9223956040	0.0813203459	1213.5657742469
PERSISTENT_WIDE_MQC_1.75	2	0	D	Optimal	true	49575.6384532690	0.000000000	0.024295	1.0000000000	7	2|4|7|8|11|12|14	1132.1965265239	82733.8333945165	28413.6420724024	135524.0730470377	156374.1291741706	291315.0828869804	0.1741374833	646.6604473791
PERSISTENT_WIDE_MQC_1.75	2	0	SAA	Optimal	true	65019.7826739642	0.000000000	3.413308	60.0000000000	9	0|2|4|5|7|8|9|12|14	1132.1965265239	76878.9282524876	23235.2933263709	119639.1604181884	139292.1529210793	263960.5963170155	0.1056030580	2809.7409140797
PERSISTENT_WIDE_MQC_1.75	2	0	CSAA	Optimal	true	70490.6963143721	0.000000000	4.065813	36.0368924382	9	0|2|4|5|7|8|9|12|14	1132.1965265239	76878.9282524876	23235.2933263709	119639.1604181884	139292.1529210793	263960.5963170155	0.1056030580	2809.7409140797
PERSISTENT_WIDE_MQC_1.75	2	0	ORACLE	Optimal	true	72517.9374676682	0.000000000	18.305807	100.0000000000	10	1|2|4|5|6|7|8|9|12|14	1132.1965265239	75937.0867612327	22372.1462278700	118325.5490207709	136779.4816020630	263563.7284787006	0.0776948513	3505.0865139026
PERSISTENT_WIDE_MQC_1.75	2	1	D	Optimal	true	49575.6384532690	0.000000000	0.024295	1.0000000000	7	2|4|7|8|11|12|14	667.8647377032	47733.1881619687	18207.1689537099	82649.4551731194	105000.3128799962	149838.9012320487	0.0947268358	6914.3683894808
PERSISTENT_WIDE_MQC_1.75	2	1	SAA	Optimal	true	65019.7826739642	0.000000000	3.413308	60.0000000000	9	0|2|4|5|7|8|9|12|14	667.8647377032	47927.9252017794	13824.6697662881	73909.6599718598	94464.7137927567	139143.1875539171	0.0388650805	11473.1204737557
PERSISTENT_WIDE_MQC_1.75	2	1	CSAA	Optimal	true	56742.2290417498	0.000000000	5.759162	33.7165794972	8	0|2|4|5|7|8|12|14	667.8647377032	46772.6068161515	15887.7653609684	77768.4131613114	99155.0512189166	145066.3862311631	0.0561796596	8985.8320904444
PERSISTENT_WIDE_MQC_1.75	2	1	ORACLE	Optimal	true	43530.3283060114	0.000000000	9.739496	100.0000000000	7	0|4|7|8|9|12|14	667.8647377032	44332.4927610169	16114.3438409717	75830.6719205697	95940.3858178244	139828.5837176425	0.0735120026	4987.9130183416
PERSISTENT_WIDE_MQC_1.75	2	2	D	Optimal	true	49575.6384532690	0.000000000	0.024295	1.0000000000	7	2|4|7|8|11|12|14	1036.0175871302	73216.5461019787	23568.7933237861	117653.0977731323	137340.4282748043	173558.3178395550	0.1482395463	1190.1139887488
PERSISTENT_WIDE_MQC_1.75	2	2	SAA	Optimal	true	65019.7826739642	0.000000000	3.413308	60.0000000000	9	0|2|4|5|7|8|9|12|14	1036.0175871302	68519.3584951215	18300.7491895068	101573.8053893563	121538.5236461725	162497.8675795081	0.0814832910	3885.2987461459
PERSISTENT_WIDE_MQC_1.75	2	2	CSAA	Optimal	true	66867.5000669653	0.000000000	3.426752	46.0251494323	9	0|2|4|5|7|8|9|12|14	1036.0175871302	68519.3584951215	18300.7491895068	101573.8053893563	121538.5236461725	162497.8675795081	0.0814832910	3885.2987461459
