market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	42415.9044437077	0.000000000	0.021610	1.0000000000	8	2|3|4|5|6|7|8|14	795.4695122143	40718.4471809297	9831.4195271453	60403.6569997398	68987.5255322285	103228.9817590839	0.0545574786	1667.2955699760
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	51270.9056448516	0.000000000	1.781202	60.0000000000	9	2|3|4|5|7|8|9|13|14	795.4695122143	40752.4763419022	8373.6680866957	57999.2669763454	66230.2035924494	97333.9875027888	0.0342971685	3010.7444497642
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	47769.6440677987	0.000000000	1.489897	34.1377934519	9	2|3|4|5|7|8|9|13|14	795.4695122143	40752.4763419022	8373.6680866957	57999.2669763454	66230.2035924494	97333.9875027888	0.0342971685	3010.7444497642
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	41943.7355375448	0.000000000	8.051921	100.0000000000	8	2|3|4|5|7|8|13|14	795.4695122143	40335.1402145710	10092.8834437656	61425.6567738087	69139.5746833155	103859.9006962290	0.0661767184	1317.2990043151
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	42415.9044437077	0.000000000	0.021610	1.0000000000	8	2|3|4|5|6|7|8|14	694.8673182087	36615.6469416037	7871.4363337508	51085.7579623546	61497.3624876328	80404.7019020475	0.0423764206	2541.3557327812
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	51270.9056448516	0.000000000	1.781202	60.0000000000	9	2|3|4|5|7|8|9|13|14	694.8673182087	37419.3141169948	6850.0651167554	50669.6300781413	59359.6881347057	78714.1197242531	0.0267480174	4181.0698925798
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	45861.9929274293	0.000000000	1.425702	40.4430620241	9	2|3|4|5|7|8|9|13|14	694.8673182087	37419.3141169948	6850.0651167554	50669.6300781413	59359.6881347057	78714.1197242531	0.0267480174	4181.0698925798
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	37196.0446584182	0.000000000	18.169667	100.0000000000	8	2|3|4|5|7|8|13|14	694.8673182087	36211.4745566452	7996.4249796072	51443.8500832305	61380.3006001422	79488.2739520738	0.0543227622	2123.4927793716
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	42415.9044437077	0.000000000	0.021610	1.0000000000	8	2|3|4|5|6|7|8|14	1060.8501428355	58516.6752149159	18233.8786151948	91221.2024926792	108726.1961437160	157144.7017247321	0.1148170889	154.1119233458
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	51270.9056448516	0.000000000	1.781202	60.0000000000	9	2|3|4|5|7|8|9|13|14	1060.8501428355	56318.0381533193	16444.4107199249	86264.7039075057	102618.5281094309	144780.1273610515	0.0869808229	517.5310108508
PERSISTENT_WIDE_MQC_1.75	1	2	CSAA	Optimal	true	55148.7836034337	0.000000000	3.187096	36.6161248370	10	0|2|3|4|5|7|8|9|13|14	1060.8501428355	55445.7013676960	14596.2628360852	82720.3686918551	98280.5973415250	138198.5695292182	0.0589024261	1433.1002427929
PERSISTENT_WIDE_MQC_1.75	1	2	ORACLE	Optimal	true	55682.5942670592	0.000000000	14.179772	100.0000000000	10	0|2|3|4|5|7|8|9|13|14	1060.8501428355	55445.7013676960	14596.2628360852	82720.3686918551	98280.5973415250	138198.5695292182	0.0589024261	1433.1002427929
PERSISTENT_WIDE_MQC_1.75	1	3	D	Optimal	true	42415.9044437077	0.000000000	0.021610	1.0000000000	8	2|3|4|5|6|7|8|14	930.4856609179	50338.1401937367	14696.1438577488	77867.0144167517	92555.6868940697	130558.5276799468	0.0872446174	510.4592547082
PERSISTENT_WIDE_MQC_1.75	1	3	SAA	Optimal	true	51270.9056448516	0.000000000	1.781202	60.0000000000	9	2|3|4|5|7|8|9|13|14	930.4856609179	49078.3631632354	13275.4870989448	72190.8289540545	88810.0700137241	130946.8970843582	0.0619749845	1230.2501645170
PERSISTENT_WIDE_MQC_1.75	1	3	CSAA	Optimal	true	52741.8051702675	0.000000000	3.738523	35.0470314645	10	2|3|4|5|7|8|9|12|13|14	930.4856609179	49439.5423357248	12235.7916749155	72444.0042698541	86468.9438942689	125886.2677007626	0.0484183472	2417.7457190579
PERSISTENT_WIDE_MQC_1.75	1	3	ORACLE	Optimal	true	50011.8381817521	0.000000000	10.638083	100.0000000000	9	2|3|4|5|7|8|9|13|14	930.4856609179	49078.3631632354	13275.4870989448	72190.8289540545	88810.0700137241	130946.8970843582	0.0619749845	1230.2501645170
PERSISTENT_WIDE_MQC_1.75	1	4	D	Optimal	true	42415.9044437077	0.000000000	0.021610	1.0000000000	8	2|3|4|5|6|7|8|14	703.9647189524	36467.0334936260	7961.5867638164	52353.0165604628	60594.7298470804	87325.0733102536	0.0453126202	2576.9357911510
PERSISTENT_WIDE_MQC_1.75	1	4	SAA	Optimal	true	51270.9056448516	0.000000000	1.781202	60.0000000000	9	2|3|4|5|7|8|9|13|14	703.9647189524	37353.5337415431	6770.6235990292	51162.3188989493	58428.7695920932	81125.2615895206	0.0310225713	4267.1808639532
PERSISTENT_WIDE_MQC_1.75	1	4	CSAA	Optimal	true	44212.7119167843	0.000000000	2.967875	28.1093166181	9	2|3|4|5|7|8|9|13|14	703.9647189524	37353.5337415431	6770.6235990292	51162.3188989493	58428.7695920932	81125.2615895206	0.0310225713	4267.1808639532
PERSISTENT_WIDE_MQC_1.75	1	4	ORACLE	Optimal	true	37258.8059722154	0.000000000	10.843867	100.0000000000	7	2|3|4|5|7|8|14	703.9647189524	36107.2146321304	8337.3532501350	52722.0283482944	60681.8022776142	87394.6611674739	0.0720811792	1682.2395029187
PERSISTENT_WIDE_MQC_1.75	2	0	D	Optimal	true	48854.6727374318	0.000000000	0.037598	1.0000000000	7	4|5|6|7|8|12|14	1071.1422231537	76286.9086919906	27379.5212195661	128398.9408041405	148935.9891804141	283396.8180451641	0.1535238401	487.4447615803
PERSISTENT_WIDE_MQC_1.75	2	0	SAA	Optimal	true	62468.0748308462	0.000000000	5.131140	60.0000000000	9	0|2|4|5|7|8|9|12|14	1071.1422231537	69558.0075273873	20396.3661797405	109630.8047074810	126878.4771921829	249035.6801903021	0.0861208611	3493.5791041464
PERSISTENT_WIDE_MQC_1.75	2	0	CSAA	Optimal	true	67105.2117580741	0.000000000	5.711026	36.0368924382	9	0|2|4|5|7|8|9|12|14	1071.1422231537	69558.0075273873	20396.3661797405	109630.8047074810	126878.4771921829	249035.6801903021	0.0861208611	3493.5791041464
PERSISTENT_WIDE_MQC_1.75	2	0	ORACLE	Optimal	true	66312.0895527242	0.000000000	21.826435	100.0000000000	10	1|2|4|5|6|7|8|9|12|14	1071.1422231537	69231.0666488705	19560.5257215749	107546.1228622692	124379.2169460076	249089.8179563525	0.0629668858	4368.4469460896
PERSISTENT_WIDE_MQC_1.75	2	1	D	Optimal	true	48854.6727374318	0.000000000	0.037598	1.0000000000	7	4|5|6|7|8|12|14	703.9060543412	43349.2763633803	11286.3615623734	64841.6577894037	77068.7404895307	100674.9325268422	0.0461419240	4603.3311544941
PERSISTENT_WIDE_MQC_1.75	2	1	SAA	Optimal	true	62468.0748308462	0.000000000	5.131140	60.0000000000	9	0|2|4|5|7|8|9|12|14	703.9060543412	46726.2845543294	7940.7650794802	59590.2571587759	70726.7689026386	95156.4582413768	0.0239237577	10541.6259306232
PERSISTENT_WIDE_MQC_1.75	2	1	CSAA	Optimal	true	54884.4475234362	0.000000000	14.120060	33.7165794972	8	0|4|6|7|8|9|12|14	703.9060543412	44382.1642900027	9533.0200488611	62544.2718889553	72155.7842552546	87987.8719029891	0.0391246264	6506.7984463785
PERSISTENT_WIDE_MQC_1.75	2	1	ORACLE	Optimal	true	42021.6643649017	0.000000000	23.112109	100.0000000000	7	3|4|7|8|9|12|14	703.9060543412	43012.2548719701	11828.9517872708	66081.2472444168	78403.6546471813	101552.4351957293	0.0579596125	4153.8986922622
PERSISTENT_WIDE_MQC_1.75	2	2	D	Optimal	true	48854.6727374318	0.000000000	0.037598	1.0000000000	7	4|5|6|7|8|12|14	952.7812248906	65579.9749349555	21254.8191400302	106502.4193696980	124899.8132118609	157181.7672762854	0.1207011930	1193.2821286560
PERSISTENT_WIDE_MQC_1.75	2	2	SAA	Optimal	true	62468.0748308462	0.000000000	5.131140	60.0000000000	9	0|2|4|5|7|8|9|12|14	952.7812248906	61163.5839183067	15152.1724320737	87447.3350418570	107669.6371985420	142464.9641737687	0.0554194881	5079.8951339915
PERSISTENT_WIDE_MQC_1.75	2	2	CSAA	Optimal	true	62365.7978328554	0.000000000	4.857757	46.0251494323	9	0|2|4|5|7|8|9|12|14	952.7812248906	61163.5839183067	15152.1724320737	87447.3350418570	107669.6371985420	142464.9641737687	0.0554194881	5079.8951339915
PERSISTENT_WIDE_MQC_1.75	2	2	ORACLE	Optimal	true	59183.9257614016	0.000000000	34.608542	100.0000000000	9	0|2|4|5|7|8|9|12|14	952.7812248906	61163.5839183067	15152.1724320737	87447.3350418570	107669.6371985420	142464.9641737687	0.0554194881	5079.8951339915
PERSISTENT_WIDE_MQC_1.75	2	3	D	Optimal	true	48854.6727374318	0.000000000	0.037598	1.0000000000	7	4|5|6|7|8|12|14	1088.5319879423	78497.4649735312	27420.4452478595	130329.5119523147	147762.6823071331	233105.3443504952	0.1541302835	466.3808133010
PERSISTENT_WIDE_MQC_1.75	2	3	SAA	Optimal	true	62468.0748308462	0.000000000	5.131140	60.0000000000	9	0|2|4|5|7|8|9|12|14	1088.5319879423	70686.5564002699	20113.3524226064	108508.1116622840	126932.6643788583	217054.3023194317	0.0814319396	3202.8436580127
PERSISTENT_WIDE_MQC_1.75	2	3	CSAA	Optimal	true	63843.3484812140	0.000000000	5.020099	40.1235012194	9	0|2|4|6|7|8|9|12|14	1088.5319879423	71852.2269122019	21005.4990491036	111329.7379076649	128132.1860960523	209961.3070456738	0.0957667779	2538.5825600729
PERSISTENT_WIDE_MQC_1.75	2	3	ORACLE	Optimal	true	68997.2392526308	0.000000000	16.003789	100.0000000000	10	1|2|4|5|6|7|8|9|12|14	1088.5319879423	70251.6068455082	19295.9890365575	105983.1508827480	125311.2652996558	216981.2301157908	0.0596449847	4055.9263962253
PERSISTENT_WIDE_MQC_1.75	2	4	D	Optimal	true	48854.6727374318	0.000000000	0.037598	1.0000000000	7	4|5|6|7|8|12|14	1140.7841337327	85550.7296599483	29869.2452198602	141001.5237356981	168094.2754872384	236267.9968381887	0.1783139893	325.6679116032
PERSISTENT_WIDE_MQC_1.75	2	4	SAA	Optimal	true	62468.0748308462	0.000000000	5.131140	60.0000000000	9	0|2|4|5|7|8|9|12|14	1140.7841337327	75454.8860185523	22675.4975663105	118319.7310876500	141427.0553244584	202073.6025504251	0.0957135657	2479.8745647614
PERSISTENT_WIDE_MQC_1.75	2	4	CSAA	Optimal	true	68527.1644644401	0.000000000	4.637138	44.5855233318	10	0|2|4|6|7|8|9|11|12|14	1140.7841337327	75492.7589552978	20890.2017662770	115438.7918809835	137428.4703062771	193354.7528584824	0.0727103352	4835.2860134366
PERSISTENT_WIDE_MQC_1.75	2	4	ORACLE	Optimal	true	75204.9643309452	0.000000000	25.144803	100.0000000000	10	1|2|4|5|6|7|8|9|12|14	1140.7841337327	74875.0950622267	21739.4076139181	117916.1593499683	138917.5855435821	196963.1966357761	0.0728134171	3225.2490946208
PERSISTENT_WIDE_MQC_1.75	3	0	D	Optimal	true	51408.8603330313	0.000000000	0.027131	1.0000000000	9	0|3|4|8|10|11|12|13|14	1151.9095415372	77465.1428262589	22018.6661231760	116582.3663868570	141359.5369846979	192224.1273450712	0.1006960401	490.1246869518
PERSISTENT_WIDE_MQC_1.75	3	0	SAA	Optimal	true	63886.8182884695	0.000000000	3.148834	60.0000000000	10	0|4|7|8|9|10|11|12|13|14	1151.9095415372	76424.0535131047	19539.8279997960	112277.1578395542	134797.9427909462	189146.0207856335	0.0687827706	1847.4292316349
PERSISTENT_WIDE_MQC_1.75	3	0	CSAA	Optimal	true	68714.5576136234	0.000000000	3.303082	32.9085126581	11	0|1|4|7|8|9|10|11|12|13|14	1151.9095415372	75359.3373395442	18713.8021772066	112012.4567390262	131639.5351762648	184370.0192215795	0.0564713925	2518.3294555880
PERSISTENT_WIDE_MQC_1.75	3	0	ORACLE	Optimal	true	76452.3830794078	0.000000000	9.052541	100.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1151.9095415372	75131.9987355773	18321.0817275593	111233.8585805692	130478.7397019313	182458.5007278834	0.0558818592	3265.5851075046
PERSISTENT_WIDE_MQC_1.75	3	1	D	Optimal	true	51408.8603330313	0.000000000	0.027131	1.0000000000	9	0|3|4|8|10|11|12|13|14	947.9209062508	61486.5117553707	16132.9381206170	92052.0620689390	106424.4381873843	160427.7941420929	0.0715870621	2262.8085060568
PERSISTENT_WIDE_MQC_1.75	3	1	SAA	Optimal	true	63886.8182884695	0.000000000	3.148834	60.0000000000	10	0|4|7|8|9|10|11|12|13|14	947.9209062508	61512.8199925115	13438.9629534077	87203.9922413224	100686.0397559718	149489.8642303159	0.0421132550	4259.5433993953
PERSISTENT_WIDE_MQC_1.75	3	1	CSAA	Optimal	true	62028.0429234156	0.000000000	3.345697	26.2703911689	10	0|4|7|8|9|10|11|12|13|14	947.9209062508	61512.8199925115	13438.9629534077	87203.9922413224	100686.0397559718	149489.8642303159	0.0421132550	4259.5433993953
PERSISTENT_WIDE_MQC_1.75	3	1	ORACLE	Optimal	true	60895.3436229820	0.000000000	11.989118	100.0000000000	9	0|1|4|8|10|11|12|13|14	947.9209062508	61432.4142956716	16439.9142352327	92530.9150593407	106835.4015530773	160580.0453024478	0.0729996331	1544.0440799750
PERSISTENT_WIDE_MQC_1.75	3	2	D	Optimal	true	51408.8603330313	0.000000000	0.027131	1.0000000000	9	0|3|4|8|10|11|12|13|14	955.6780085447	60262.1351169151	14314.0907989804	88520.0882525526	100933.2882805727	125838.5410516434	0.0694096473	2181.5756129180
PERSISTENT_WIDE_MQC_1.75	3	2	SAA	Optimal	true	63886.8182884695	0.000000000	3.148834	60.0000000000	10	0|4|7|8|9|10|11|12|13|14	955.6780085447	60727.0902508609	12017.4882538380	84710.7115656871	95421.7400777882	124156.3581386309	0.0428934241	4300.1421134248
PERSISTENT_WIDE_MQC_1.75	3	2	CSAA	Optimal	true	66427.2916520895	0.000000000	4.036481	37.5031373999	11	0|3|4|7|8|9|10|11|12|13|14	955.6780085447	61197.1099728670	11202.6425996076	83887.2389722985	94681.8513669929	116808.5558736694	0.0352410071	6421.9014037135
PERSISTENT_WIDE_MQC_1.75	3	2	ORACLE	Optimal	true	59508.0171585084	0.000000000	13.425212	100.0000000000	9	0|1|4|8|10|11|12|13|14	955.6780085447	60098.6082857184	14550.4440098807	88085.4966181074	101064.8064914751	127574.6727986995	0.0702301933	1431.5919740485
PERSISTENT_WIDE_MQC_1.75	3	3	D	Optimal	true	51408.8603330313	0.000000000	0.027131	1.0000000000	9	0|3|4|8|10|11|12|13|14	985.5134937530	62463.3620252063	17362.8402153154	94680.8182577014	114279.3976258450	186171.2809911076	0.0796931431	2065.0609969353
PERSISTENT_WIDE_MQC_1.75	3	3	SAA	Optimal	true	63886.8182884695	0.000000000	3.148834	60.0000000000	10	0|4|7|8|9|10|11|12|13|14	985.5134937530	62146.3114328226	14913.1563562763	89624.4285286428	107650.7495267358	184862.5106287784	0.0476136905	4038.4695584839
PERSISTENT_WIDE_MQC_1.75	3	3	CSAA	Optimal	true	66739.5216402496	0.000000000	4.226734	29.0837480515	10	0|1|4|8|9|10|11|12|13|14	985.5134937530	61830.8587624780	16484.7777091205	94574.0155770310	112175.7270659782	183849.4559542186	0.0616312257	2592.8003859870
PERSISTENT_WIDE_MQC_1.75	3	3	ORACLE	Optimal	true	62289.0979148286	0.000000000	11.212873	100.0000000000	9	0|1|4|8|10|11|12|13|14	985.5134937530	62142.5184094196	17689.0824308149	95434.4852393097	114839.0389536867	187608.4505387407	0.0789181413	1316.6565342676
PERSISTENT_WIDE_MQC_1.75	3	4	D	Optimal	true	51408.8603330313	0.000000000	0.027131	1.0000000000	9	0|3|4|8|10|11|12|13|14	1176.0188349394	80972.8719235510	23387.9164519875	124823.8003644451	146047.5301604668	188737.0677842985	0.1153519924	456.0619333390
PERSISTENT_WIDE_MQC_1.75	3	4	SAA	Optimal	true	63886.8182884695	0.000000000	3.148834	60.0000000000	10	0|4|7|8|9|10|11|12|13|14	1176.0188349394	79181.2532288486	20500.7167352118	118710.5687575136	137642.5328052237	178482.9655207673	0.0790145999	1681.1200698721
PERSISTENT_WIDE_MQC_1.75	3	4	CSAA	Optimal	true	64950.1378104896	0.000000000	3.482868	22.4114326204	10	0|4|7|8|9|10|11|12|13|14	1176.0188349394	79181.2532288486	20500.7167352118	118710.5687575136	137642.5328052237	178482.9655207673	0.0790145999	1681.1200698721
PERSISTENT_WIDE_MQC_1.75	3	4	ORACLE	Optimal	true	79460.8091660367	0.000000000	9.734476	100.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1176.0188349394	77741.7326821524	19307.1276045976	115174.3903522740	133370.7868517440	176463.4423710461	0.0658043389	2983.0907468096
