market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	42424.5367960201	0.000000000	0.016330	1.0000000000	8	2|3|4|5|6|7|8|14	790.8669916590	41038.5089099674	10227.5251103987	60851.9674271986	70205.6076311669	103600.9454926138	0.0554708026	1733.9396627482
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	51374.1089527653	0.000000000	1.813806	60.0000000000	9	2|3|4|5|7|8|9|13|14	790.8669916590	40905.2394264875	8652.0736519957	58393.2433168171	67232.9173061734	97480.1539331204	0.0337127719	3075.6475135769
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	47894.4808394115	0.000000000	2.061551	34.1377934519	9	2|3|4|5|7|8|9|13|14	790.8669916590	40905.2394264875	8652.0736519957	58393.2433168171	67232.9173061734	97480.1539331204	0.0337127719	3075.6475135769
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	42267.1141766393	0.000000000	9.957865	100.0000000000	9	2|3|4|5|7|8|9|13|14	790.8669916590	40905.2394264875	8652.0736519957	58393.2433168171	67232.9173061734	97480.1539331204	0.0337127719	3075.6475135769
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	42424.5367960201	0.000000000	0.016330	1.0000000000	8	2|3|4|5|6|7|8|14	695.7994787225	36810.2923248504	8025.6118389638	51520.9486571454	62115.5374354733	80291.4518171129	0.0434757303	2535.3851304289
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	51374.1089527653	0.000000000	1.813806	60.0000000000	9	2|3|4|5|7|8|9|13|14	695.7994787225	37547.6743324299	6984.3268645199	51494.8636333709	59958.3445206450	79153.6797314872	0.0271746850	4163.1056852827
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	46020.2922704831	0.000000000	2.882772	40.4430620241	9	2|3|4|5|7|8|9|13|14	695.7994787225	37547.6743324299	6984.3268645199	51494.8636333709	59958.3445206450	79153.6797314872	0.0271746850	4163.1056852827
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	37422.3396270377	0.000000000	23.165004	100.0000000000	8	2|3|4|5|7|8|13|14	695.7994787225	36395.8148560525	8160.7348516373	52256.9570374809	62023.0336182138	79358.2537391067	0.0551490881	2113.8414568282
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	42424.5367960201	0.000000000	0.016330	1.0000000000	8	2|3|4|5|6|7|8|14	1063.3677168071	58497.1751170389	18190.4180036941	92015.0306254231	108665.4715680268	156536.5989910189	0.1158066009	150.2823236497
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	51374.1089527653	0.000000000	1.813806	60.0000000000	9	2|3|4|5|7|8|9|13|14	1063.3677168071	56345.4508844801	16373.1043792431	86527.1566005600	102414.1682427300	144100.0021342812	0.0885368989	511.1628328156
