market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75	1	0	D	Optimal	true	42505.3251963876	0.000000000	0.019646	1.0000000000	8	2|3|4|5|6|7|8|14	801.4529785604	42695.9007684665	11320.3708655771	65558.8575385632	74212.9986669963	101543.0237284151	0.0648975094	1693.7634840504
PERSISTENT_WIDE_MQC_1.75	1	0	SAA	Optimal	true	51777.7639011148	0.000000000	2.714902	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	801.4529785604	44307.0278494507	9102.7776557076	62065.2537886471	72620.1428697167	94921.1255476655	0.0300767528	5461.9002283175
PERSISTENT_WIDE_MQC_1.75	1	0	CSAA	Optimal	true	48496.5168829809	0.000000000	2.424836	34.1377934519	9	2|3|4|5|7|8|9|13|14	801.4529785604	42067.3039917066	9632.2056892999	61304.9555905684	70957.2937944865	95017.7397218481	0.0390379953	2947.0110246253
PERSISTENT_WIDE_MQC_1.75	1	0	ORACLE	Optimal	true	43646.2274134909	0.000000000	6.998232	100.0000000000	9	2|3|4|5|7|8|9|13|14	801.4529785604	42067.3039917066	9632.2056892999	61304.9555905684	70957.2937944865	95017.7397218481	0.0390379953	2947.0110246253
PERSISTENT_WIDE_MQC_1.75	1	1	D	Optimal	true	42505.3251963876	0.000000000	0.019646	1.0000000000	8	2|3|4|5|6|7|8|14	700.6210476992	37132.1252901041	8229.9759748680	52785.7310477292	62943.2898654142	80218.4700104842	0.0452775409	2479.9894458958
PERSISTENT_WIDE_MQC_1.75	1	1	SAA	Optimal	true	51777.7639011148	0.000000000	2.714902	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	700.6210476992	40049.8903367572	6306.5551455650	52098.3643166923	60797.8150697412	78387.1667979888	0.0168794807	6736.7625638449
PERSISTENT_WIDE_MQC_1.75	1	1	CSAA	Optimal	true	46595.4924985688	0.000000000	1.637961	40.4430620241	9	2|3|4|5|7|8|9|13|14	700.6210476992	37836.3741390599	7254.9599068646	52532.3201842224	61062.0656446699	81722.9486350187	0.0287492104	4088.8223582848
PERSISTENT_WIDE_MQC_1.75	1	1	ORACLE	Optimal	true	37778.4269517445	0.000000000	8.534259	100.0000000000	8	2|3|4|5|7|8|13|14	700.6210476992	36716.6901688454	8380.8218357415	53215.5938317663	62937.0257485731	79266.0508321283	0.0567729155	2059.9451871293
PERSISTENT_WIDE_MQC_1.75	1	2	D	Optimal	true	42505.3251963876	0.000000000	0.019646	1.0000000000	8	2|3|4|5|6|7|8|14	1056.2563162932	57729.0581125081	18033.8356270274	91210.4353086428	107975.0205221332	155660.8634838606	0.1142361873	159.6564243025
PERSISTENT_WIDE_MQC_1.75	1	2	SAA	Optimal	true	51777.7639011148	0.000000000	2.714902	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1056.2563162932	54783.7949483043	14287.1734480859	82465.3990085008	97343.4646614079	137236.8894792414	0.0581559819	1473.1116137773
