market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	42121.4572563234	0.000000000	0.036417	1.0000000000	8	2|3|4|5|6|7|8|14	801.4529785604	48704.7312870510	21551.5412034665	93297.3016078175	112833.6454465075	174874.2626073869	0.1287034170	2725.4902630754
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	58662.7664628084	0.000000000	2.226514	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	801.4529785604	49303.5197435766	18681.2601737067	87549.3355500556	108470.9349004497	161204.0134521929	0.0802758103	6643.8275958903
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	55387.4051186704	0.000000000	2.300163	34.1377934519	9	2|3|4|5|7|8|9|13|14	801.4529785604	48053.8129712152	20072.8446822154	89134.5014170438	109963.7589116687	168230.2455013190	0.1018379560	4094.6456108486
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	51134.2432961124	0.000000000	6.409947	100.0000000000	9	2|3|4|5|7|8|9|13|14	801.4529785604	48053.8129712152	20072.8446822154	89134.5014170438	109963.7589116687	168230.2455013190	0.1018379560	4094.6456108486
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	42121.4572563234	0.000000000	0.036417	1.0000000000	8	2|3|4|5|6|7|8|14	700.6210476992	43201.1208067005	18343.0808061676	77674.2732033455	102204.1242394578	147196.6156958047	0.1090049320	3298.2935762740
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	58662.7664628084	0.000000000	2.226514	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	700.6210476992	44707.4559797545	15508.4876803278	76789.2087561938	96902.3800557947	144628.7363549790	0.0644797700	7478.0193941772
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	53428.0222152347	0.000000000	2.188470	40.4430620241	9	2|3|4|5|7|8|9|13|14	700.6210476992	43374.0543804310	17189.2367341082	78715.6907854431	99742.9907533461	148535.5011913880	0.0874520627	4863.4724853817
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	45492.7215908674	0.000000000	6.996020	100.0000000000	8	2|3|4|5|7|8|13|14	700.6210476992	42865.3617546403	18563.5738300803	78357.4586705619	102391.9808400941	145773.4167843968	0.1211755326	2858.8933768099
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	42121.4572563234	0.000000000	0.036417	1.0000000000	8	2|3|4|5|6|7|8|14	1056.2563162932	67003.3387725181	31791.4384101865	126704.0205474785	159808.7880300488	246388.9148786781	0.1929376767	751.2460744935
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	58662.7664628084	0.000000000	2.226514	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	1056.2563162932	64035.1556528180	27274.2808786493	115855.5896161438	146186.7206465434	220340.5147247645	0.1316547729	3190.9632114786
