market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	34701.3487960667	0.000000000	0.011182	1.0000000000	8	2|3|4|5|14|15|16|19	801.4529785604	37110.1682741814	11168.7412276476	56370.8090957854	70046.7085859353	121184.6750548199	0.0531380278	2168.0197132679
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	43652.3163229824	0.000000000	4.250342	60.0000000000	10	2|3|4|8|13|14|15|16|17|19	801.4529785604	36730.7716781802	8018.7088956218	51828.8208797172	62045.9662777726	102603.4661937570	0.0204554205	4632.4333694146
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	40535.2092070778	0.000000000	7.244956	34.1377934519	9	2|3|4|8|13|14|15|16|19	801.4529785604	35709.6777467132	9449.4195899409	53109.9281999976	65322.2341518700	111646.6697320113	0.0323826746	2952.4380181583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	36441.6660248460	0.000000000	24.038725	100.0000000000	9	2|3|4|8|13|14|15|16|19	801.4529785604	35709.6777467132	9449.4195899409	53109.9281999976	65322.2341518700	111646.6697320113	0.0323826746	2952.4380181583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	34701.3487960667	0.000000000	0.011182	1.0000000000	8	2|3|4|5|14|15|16|19	700.6210476992	31133.3940964264	7213.2958767154	44703.5233800200	53299.6492124710	80064.6338171629	0.0330617197	3026.9803412160
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	43652.3163229824	0.000000000	4.250342	60.0000000000	10	2|3|4|8|13|14|15|16|17|19	700.6210476992	32789.4425445443	4808.3352406151	41012.3062380316	47777.8827624971	70236.7467351189	0.0154688115	5953.1843750577
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	38680.2034256336	0.000000000	6.309601	40.4430620241	9	2|3|4|8|13|14|15|16|19	700.6210476992	31014.2043451086	5629.9308153582	41280.9111453465	48866.3369102078	75057.0625886879	0.0204788903	4015.1560019547
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	31365.4208013504	0.000000000	18.249949	100.0000000000	8	2|3|4|8|13|14|15|19	700.6210476992	30010.2611290791	6671.0154372267	41633.7321450087	50478.0980820206	72956.7915308498	0.0416433304	2134.0395999135
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	34701.3487960667	0.000000000	0.011182	1.0000000000	8	2|3|4|5|14|15|16|19	1056.2563162932	52359.5435443303	18625.6274674628	87652.3604160957	105991.1298229671	153301.8367151645	0.1098776875	288.4502593461
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	43652.3163229824	0.000000000	4.250342	60.0000000000	10	2|3|4|8|13|14|15|16|17|19	1056.2563162932	47961.4053362803	14252.8340368237	79275.7518758625	90971.9327252085	132674.0699841869	0.0621305392	1267.7948055828
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	47380.2401431844	0.000000000	7.575826	36.6161248370	11	1|2|3|4|8|13|14|15|16|17|19	1056.2563162932	47762.2486837819	12635.7229663318	74373.4189282791	87155.8528221185	126663.1168465844	0.0446173969	2675.7677165879
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	47724.7511079723	0.000000000	22.102047	100.0000000000	11	2|3|4|6|8|13|14|15|16|17|19	1056.2563162932	47710.8267315714	12680.1428885064	74433.7726022375	87210.5497374443	127690.1217589808	0.0449106907	2084.7412032590
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	D	Optimal	true	34701.3487960667	0.000000000	0.011182	1.0000000000	8	2|3|4|5|14|15|16|19	944.7639188997	44259.5103919319	13694.8008319178	70632.3447392853	81461.8211089857	102415.7832954405	0.0815438259	694.7774271537
