market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43133.0953864113	0.000000000	0.027506	1.0000000000	8	2|3|4|5|6|7|8|14	781.7756930438	42287.6044394525	11327.8130583216	65077.0122882841	73981.9968928070	97745.8664445995	0.0655334162	1947.2324628683
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	53592.9503472937	0.000000000	2.689148	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	781.7756930438	44022.4809830391	9242.3410708181	62294.8220411564	72849.6446034169	91385.1395921149	0.0312130500	5879.3209539738
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	49861.0046276832	0.000000000	1.978827	34.1377934519	9	2|3|4|5|7|8|9|13|14	781.7756930438	41615.5655384521	9641.2524093362	61189.1356580142	70641.8714097583	91154.7741030600	0.0386529946	3249.8331697176
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	43035.8205635699	0.000000000	9.697113	100.0000000000	8	2|3|4|7|8|9|13|14	781.7756930438	41227.0853395399	10588.0482008863	62831.4186800740	71893.8152272497	95286.5104425135	0.0524508679	1602.3416263518
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43133.0953864113	0.000000000	0.027506	1.0000000000	8	2|3|4|5|6|7|8|14	660.7773760103	35349.2667990716	7274.3727196923	48826.9012479915	58480.4456427960	75562.3696429334	0.0390120900	3061.1487852570
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	53592.9503472937	0.000000000	2.689148	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	660.7773760103	38720.8403565878	5629.8684647106	48670.6018684433	57252.1185520249	73965.8150090546	0.0138282982	7548.0702245421
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	47306.5711563890	0.000000000	2.231698	40.4430620241	9	2|3|4|5|7|8|9|13|14	660.7773760103	36325.9115770998	6465.5381626326	49770.4473956268	57170.5177659835	77275.5509296712	0.0241969142	4797.3995212183
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	35689.2944642797	0.000000000	14.125600	100.0000000000	7	2|3|4|7|8|13|14	660.7773760103	34647.7865236449	8815.0716444965	52973.6690111569	61326.9568985705	79045.6854477577	0.0696674055	1017.0246751013
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43133.0953864113	0.000000000	0.027506	1.0000000000	8	2|3|4|5|6|7|8|14	1087.5396983231	60252.3583548375	19085.8133624717	95801.3508392288	113071.3354821741	162353.9533139460	0.1229099430	115.0091265669
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	53592.9503472937	0.000000000	2.689148	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1087.5396983231	56660.4730754144	15281.4759871080	85552.6340574100	101849.1067223075	143841.0553990466	0.0641437725	1215.9936372086
