market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43190.3959426530	0.000000000	0.023825	1.0000000000	8	2|3|4|5|6|7|8|14	830.6629740318	47949.6357480802	15439.3826961794	77760.4730314358	92371.7982391824	155293.8918497280	0.0902172785	1539.2381293794
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	55356.7116579856	0.000000000	3.068714	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	830.6629740318	47519.4342825236	11658.6959920738	69608.1733104731	83622.6750732694	142894.9125983526	0.0385884725	5210.6947758608
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	52045.6814758308	0.000000000	2.741472	34.1377934519	9	2|3|4|5|7|8|9|13|14	830.6629740318	45898.8287368960	13076.8405584131	72260.0459090793	85871.0890166249	149057.0948906180	0.0528371845	2602.9478664419
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	46785.8832889677	0.000000000	6.420737	100.0000000000	9	2|3|4|7|8|9|12|13|14	830.6629740318	45582.5156974408	12318.7911294834	69573.1522881970	82682.4278610648	144702.9799254264	0.0490851268	2357.9585257094
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43190.3959426530	0.000000000	0.023825	1.0000000000	8	2|3|4|5|6|7|8|14	651.8706914829	35757.8736510555	8469.2352404565	51758.3690727364	62415.4371706740	89815.4382376929	0.0388632060	3272.2745208732
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	55356.7116579856	0.000000000	3.068714	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	651.8706914829	38957.6462283953	6102.3056804186	50000.6296577038	58535.6185367283	87958.6580464713	0.0124214878	7908.1399654919
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	49113.8526702032	0.000000000	4.198177	40.4430620241	9	2|3|4|5|7|8|11|13|14	651.8706914829	36912.4748514182	6866.2712197339	48981.3904634633	58953.3130217794	85072.3601243039	0.0265342937	5380.2744830427
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	35748.8599158571	0.000000000	9.043382	100.0000000000	7	3|4|5|7|8|13|14	651.8706914829	34816.1459186306	9061.8766965702	52108.7082462879	62986.3789602274	88137.4419865216	0.0577169872	1580.5519258876
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43190.3959426530	0.000000000	0.023825	1.0000000000	8	2|3|4|5|6|7|8|14	1073.3722215736	58100.7018105539	17117.5122912690	91704.9473112269	104919.2506514736	139794.8940315303	0.1213580006	145.8099824973
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	55356.7116579856	0.000000000	3.068714	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	1073.3722215736	56068.6891192774	13756.8477619769	82167.8174480610	96128.2716081638	128117.8036052371	0.0684258356	1706.3653274281
