market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	D	Optimal	true	51643.5324202056	0.000000000	0.033599	1.0000000000	8	2|3|4|5|7|8|12|14	809.4736021704	50398.7894223887	13557.0433459859	73488.5264430579	91735.6811844586	165849.7187729339	0.0632052720	6322.1428592768
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	SAA	Optimal	true	68982.3688539463	0.000000000	4.284463	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	809.4736021704	52470.6523618025	10833.9141043318	69682.7546251385	84031.0694376807	148264.5670942971	0.0348087583	9865.6359805778
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	CSAA	Optimal	true	61557.5071356970	0.000000000	6.070795	34.1377934519	9	0|2|4|5|7|8|9|12|14	809.4736021704	51680.0015371101	11443.9001628898	69330.3825647896	84978.1968364049	153579.1473693464	0.0489135551	8542.5668306807
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	ORACLE	Optimal	true	48919.9048478726	0.000000000	12.661514	100.0000000000	7	3|4|7|8|9|12|14	809.4736021704	49509.2209776623	15455.5820096930	75441.9241239678	94771.3749525724	168904.1473057570	0.0926967610	2780.4591561456
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	D	Optimal	true	51643.5324202056	0.000000000	0.033599	1.0000000000	8	2|3|4|5|7|8|12|14	666.1650397536	43589.8686667824	9670.9000705479	65651.0836962321	73056.0948222258	101602.1958255529	0.0410426516	8345.0758082189
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	SAA	Optimal	true	68982.3688539463	0.000000000	4.284463	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	666.1650397536	46836.5683428640	7613.4205460299	60926.0034659126	69755.5887167226	97851.0161276028	0.0225790241	12421.8069140881
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	CSAA	Optimal	true	58292.3460327649	0.000000000	5.410672	40.4430620241	9	1|2|4|5|7|8|9|12|14	666.1650397536	44836.2210618947	8426.6630722610	61386.3397051494	70388.0045591691	98582.7405577203	0.0358072664	9836.1426737918
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	ORACLE	Optimal	true	42326.7220277342	0.000000000	14.114443	100.0000000000	7	3|4|7|8|9|12|14	666.1650397536	41919.9724084254	11701.9961216190	65565.5049123196	75703.6939373053	107604.0398133464	0.0695668771	4609.0418258950
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	D	Optimal	true	51643.5324202056	0.000000000	0.033599	1.0000000000	8	2|3|4|5|7|8|12|14	1115.1658440240	83946.7795440764	32468.5625641462	146077.0074269987	175184.0191065984	224745.6813308831	0.1455184354	2133.5294521688
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	SAA	Optimal	true	68982.3688539463	0.000000000	4.284463	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	1115.1658440240	76921.6541654033	26168.8385643516	130996.2743139134	155580.1847465729	208240.3887781379	0.0735743378	3712.3203228720
