market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	D	Optimal	true	52496.2759160125	0.000000000	0.013036	1.0000000000	9	0|3|4|8|10|11|12|13|14	775.8754615631	45795.0488335171	2008.1740575490	48916.0035560467	51148.1215500976	59891.7632192613	0.0025506978	4128.7465439372
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	SAA	Optimal	true	60978.1362434524	0.000000000	3.174727	60.0000000000	10	0|1|4|8|9|10|11|12|13|14	775.8754615631	47363.0358967554	2076.1787170180	50625.1672239526	52910.5038507760	58761.4879808109	0.0033517269	5122.8608580669
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	55189.0940902400	0.000000000	4.911042	34.1377934519	9	0|3|4|8|10|11|12|13|14	775.8754615631	45795.0488335171	2008.1740575490	48916.0035560467	51148.1215500976	59891.7632192613	0.0025506978	4128.7465439372
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	43628.1287914131	0.000000000	19.786000	100.0000000000	7	1|3|8|10|11|13|14	775.8754615631	43961.1758508448	3982.7832418840	50972.5301271813	54783.9975421846	67303.8143088047	0.0203806810	171.4498953363
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	D	Optimal	true	52496.2759160125	0.000000000	0.013036	1.0000000000	9	0|3|4|8|10|11|12|13|14	624.2064606483	40092.8246691668	1339.6545644445	42142.2866715675	43420.2729983772	50589.4894648054	0.0007048807	7082.7979778665
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	SAA	Optimal	true	60978.1362434524	0.000000000	3.174727	60.0000000000	10	0|1|4|8|9|10|11|12|13|14	624.2064606483	41403.6994779756	1237.0626329296	43370.8069216608	44228.4194375776	47453.2665933041	0.0001562296	8065.0640180622
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	51635.7382383210	0.000000000	4.571423	40.4430620241	9	0|1|4|8|10|11|12|13|14	624.2064606483	39553.0843606576	1369.7637325894	41635.9723345624	42928.9099969079	50011.4018657028	0.0021468482	6116.0740507868
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	35087.0388198715	0.000000000	16.244574	100.0000000000	6	1|8|10|11|13|14	624.2064606483	34961.1882568663	2502.1815710768	39586.7628769354	42198.3995646531	50392.5515333688	0.0185777145	353.5802110407
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	D	Optimal	true	52496.2759160125	0.000000000	0.013036	1.0000000000	9	0|3|4|8|10|11|12|13|14	1181.0722304870	73717.7228593570	10921.6856882066	95234.3911452952	99739.9539451448	108994.6306749092	0.0698283527	2.3828620548
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	SAA	Optimal	true	60978.1362434524	0.000000000	3.174727	60.0000000000	10	0|1|4|8|9|10|11|12|13|14	1181.0722304870	72264.4808371758	10201.1540581462	92128.5527462333	96940.7401458092	104913.4122752227	0.0501876127	17.3914435063
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	66264.7563091967	0.000000000	3.472297	36.6161248370	11	0|3|4|7|8|9|10|11|12|13|14	1181.0722304870	70018.4914959214	7646.5947214727	86252.8712472105	90561.8800563321	99062.9115487098	0.0216409659	1800.4687970162
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	70030.1931405636	0.000000000	6.674932	100.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1181.0722304870	70018.4914959214	7646.5947214727	86252.8712472105	90561.8800563321	99062.9115487098	0.0216409659	1800.4687970162
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	D	Optimal	true	52496.2759160125	0.000000000	0.013036	1.0000000000	9	0|3|4|8|10|11|12|13|14	870.8007340124	50265.0002219065	2379.4232790412	54453.3971600744	56314.8179516843	60293.1487745349	0.0076069331	2259.4796672278
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	SAA	Optimal	true	60978.1362434524	0.000000000	3.174727	60.0000000000	10	0|1|4|8|9|10|11|12|13|14	870.8007340124	51613.8204091526	2327.5321752123	55557.6874542327	57364.1664761354	61205.1970845343	0.0051116854	3162.7307925582
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	CSAA	Optimal	true	57798.7126742276	0.000000000	4.663892	35.0470314645	9	0|1|4|8|10|11|12|13|14	870.8007340124	50126.8838604607	2507.5454071340	54485.7176690104	56568.1202941644	60338.3595419993	0.0094773851	1337.1304060304
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	ORACLE	Optimal	true	50192.5321506989	0.000000000	17.742341	100.0000000000	9	0|1|3|8|10|11|12|13|14	870.8007340124	50049.8286083053	2951.8261385116	55564.9477589603	57937.3989962948	62514.2577176503	0.0121089290	1466.9615758478
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	D	Optimal	true	52496.2759160125	0.000000000	0.013036	1.0000000000	9	0|3|4|8|10|11|12|13|14	657.2850300973	44360.0173142100	4074.5071864184	53201.7720685029	57317.5513441431	69316.8599048880	0.0135460031	6515.5269103475
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	SAA	Optimal	true	60978.1362434524	0.000000000	3.174727	60.0000000000	10	0|1|4|8|9|10|11|12|13|14	657.2850300973	45398.0949439523	4044.5251525138	54349.1540595155	58375.7482941462	70597.5051865514	0.0107377824	7494.9719826504
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	CSAA	Optimal	true	52124.8393060899	0.000000000	7.314573	28.1093166181	8	0|4|8|10|11|12|13|14	657.2850300973	42610.0560597893	4091.6260712162	51710.3627125087	55581.3243155110	67492.8220537612	0.0196325576	4260.4013634231
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	ORACLE	Optimal	true	41121.7329518562	0.000000000	22.142309	100.0000000000	6	4|8|10|11|12|14	657.2850300973	41045.2469217997	4397.7527318326	50501.9897963591	54530.1054518397	65767.9741879339	0.0424500846	549.8120167976
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	D	Optimal	true	51966.9477931752	0.000000000	0.036293	1.0000000000	9	0|3|4|8|10|11|12|13|14	1127.4236276734	74687.4071229080	10494.4630041526	93982.7106438683	99017.7190149197	110881.1137989594	0.0712119478	15.9935039160
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	SAA	Optimal	true	59031.0053261285	0.000000000	5.313412	60.0000000000	9	0|1|4|8|10|11|12|13|14	1127.4236276734	75419.1471710291	10566.8734556115	94356.2184606744	100052.4537527604	111481.7521544769	0.0737926360	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	CSAA	Optimal	true	63054.6553295612	0.000000000	5.093651	36.0368924382	10	0|3|4|7|8|10|11|12|13|14	1127.4236276734	70647.7263939025	7905.8885536506	85787.6113028105	91044.3948594858	102666.6218953925	0.0280385608	1237.2761597445
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	ORACLE	Optimal	true	71415.2418657503	0.000000000	28.671467	100.0000000000	10	0|3|4|7|8|10|11|12|13|14	1127.4236276734	70647.7263939025	7905.8885536506	85787.6113028105	91044.3948594858	102666.6218953925	0.0280385608	1237.2761597445
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	D	Optimal	true	51966.9477931752	0.000000000	0.036293	1.0000000000	9	0|3|4|8|10|11|12|13|14	606.1557616820	40317.3679575953	1398.8370222166	42602.7732857304	43776.9473557194	47040.6490715555	0.0025852347	7524.3464771986
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	SAA	Optimal	true	59031.0053261285	0.000000000	5.313412	60.0000000000	9	0|1|4|8|10|11|12|13|14	606.1557616820	39745.2409676614	1367.2054799809	41959.1382331604	43069.0836737395	46509.0093276728	0.0061698792	6610.4264580265
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	CSAA	Optimal	true	53043.5453789980	0.000000000	22.756225	33.7165794972	8	1|4|8|10|11|12|13|14	606.1557616820	37994.9448450252	1456.8017155227	40400.2707623821	41538.8178018621	44856.6538016374	0.0075944469	4621.0391698854
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	ORACLE	Optimal	true	35365.8998736138	0.000000000	69.999289	100.0000000000	6	1|8|10|11|13|14	606.1557616820	35769.1673150270	2950.4389410767	41332.2135827330	44398.7361072246	50691.6695475772	0.0302705014	794.3002903639
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	D	Optimal	true	51966.9477931752	0.000000000	0.036293	1.0000000000	9	0|3|4|8|10|11|12|13|14	949.5304837728	53626.2360994903	3977.3069967187	62881.4835776919	65827.2529855251	72903.4787938892	0.0093079832	819.7551468239
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	SAA	Optimal	true	59031.0053261285	0.000000000	5.313412	60.0000000000	9	0|1|4|8|10|11|12|13|14	949.5304837728	53954.8166463686	4201.5561380759	63353.5362260597	66503.9356589001	73534.8529396548	0.0131217162	305.7003127423
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	CSAA	Optimal	true	58492.5619310995	0.000000000	6.003405	46.0251494323	9	0|1|4|8|10|11|12|13|14	949.5304837728	53954.8166463686	4201.5561380759	63353.5362260597	66503.9356589001	73534.8529396548	0.0131217162	305.7003127423
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	ORACLE	Optimal	true	53294.7108838322	0.000000000	21.803317	100.0000000000	9	0|3|4|8|10|11|12|13|14	949.5304837728	53626.2360994903	3977.3069967187	62881.4835776919	65827.2529855251	72903.4787938892	0.0093079832	819.7551468239
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	D	Optimal	true	51966.9477931752	0.000000000	0.036293	1.0000000000	9	0|3|4|8|10|11|12|13|14	1157.3566314277	71631.3126252680	10310.1138526330	90570.6230126998	97053.9521499318	112102.5386927277	0.0644570070	5.3258360864
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	SAA	Optimal	true	59031.0053261285	0.000000000	5.313412	60.0000000000	9	0|1|4|8|10|11|12|13|14	1157.3566314277	71842.8591026434	10332.1001918455	90788.9022762196	97353.4341635243	112199.6235941329	0.0637617086	0.2051395884
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	CSAA	Optimal	true	62060.7037217648	0.000000000	6.201252	40.1235012194	10	0|4|7|8|9|10|11|12|13|14	1157.3566314277	68784.0565369116	7224.7188925288	83147.1110749377	88627.7011083584	103002.9656679710	0.0215115180	972.1306945737
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	ORACLE	Optimal	true	67200.9192683863	0.000000000	11.721478	100.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1157.3566314277	68513.5818013238	6983.3465534377	82831.3123476688	87980.4068339741	102693.0354956451	0.0184184243	2014.6860716215
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	D	Optimal	true	51966.9477931752	0.000000000	0.036293	1.0000000000	9	0|3|4|8|10|11|12|13|14	1180.0584175813	70002.2197070371	8809.1227085469	87009.7908762540	93651.3192649838	116062.5982791518	0.0466431042	0.0017572090
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	SAA	Optimal	true	59031.0053261285	0.000000000	5.313412	60.0000000000	9	0|1|4|8|10|11|12|13|14	1180.0584175813	70634.4401260238	8807.5144082560	87510.1933401219	94340.0649586829	116423.7567482230	0.0479673613	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	CSAA	Optimal	true	63533.1497088444	0.000000000	5.581147	44.5855233318	10	0|3|4|7|8|10|11|12|13|14	1180.0584175813	69207.4047236807	6717.1333693439	82680.2496811349	88288.9630649426	107148.9181116643	0.0215768303	1193.4282585846
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	ORACLE	Optimal	true	67974.6209723237	0.000000000	11.821678	100.0000000000	11	0|1|3|4|8|9|10|11|12|13|14	1180.0584175813	68523.5992024985	7650.3145520427	82395.4305516307	89870.4014134835	111863.2008710192	0.0252338397	357.3395739520
