market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43795.2084645013	0.000000000	0.017209	1.0000000000	8	2|3|4|5|6|7|8|14	824.8982713558	42655.4868989225	5897.6770265393	53290.4522850464	59079.9765063903	76027.6007588096	0.0394386246	662.3187191020
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	50120.2173373238	0.000000000	2.532728	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	824.8982713558	43692.2660929279	3336.5631112842	49016.8943731609	53622.2820113693	71452.5503702161	0.0037744418	4261.0851666854
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	47210.5325747353	0.000000000	3.362338	34.1377934519	9	2|3|4|5|7|8|9|13|14	824.8982713558	40886.0259604976	3491.9146132204	46835.7641348355	51232.2298435236	69914.3374039392	0.0057443144	1665.4650643729
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	40757.8075304912	0.000000000	20.885610	100.0000000000	8	2|3|4|7|8|9|13|14	824.8982713558	40477.6659379544	4047.1919934519	47642.0525516472	51824.2427540104	71934.1218421522	0.0159963224	276.4796378130
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43795.2084645013	0.000000000	0.017209	1.0000000000	8	2|3|4|5|6|7|8|14	631.2066319278	31928.0656307516	1542.7328144153	34627.4292391758	35784.4200634118	40196.8527891259	0.0037916581	3295.3791143386
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	50120.2173373238	0.000000000	2.532728	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	631.2066319278	36991.6761499560	1400.1364673597	39506.0683752197	40192.8561451587	41678.9181853924	0.0000544289	8340.7337935289
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	44526.9218184964	0.000000000	7.716891	40.4430620241	8	0|2|3|4|5|7|8|14	631.2066319278	33331.0211343572	1475.7874591980	35935.3186985336	36786.2609015390	39595.2348417505	0.0041546555	4774.1492172959
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	29428.0083990211	0.000000000	8.531695	100.0000000000	6	2|3|4|5|8|14	631.2066319278	29248.5431570016	3476.8325270329	35728.9610784802	38312.4249851494	43766.4631226847	0.0359854500	123.1750610194
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43795.2084645013	0.000000000	0.017209	1.0000000000	8	2|3|4|5|6|7|8|14	1087.8332895261	51035.8956896722	5212.3040339688	60694.8072093894	64305.8278398176	71420.8828252456	0.0544401119	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	50120.2173373238	0.000000000	2.532728	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1087.8332895261	49628.1515986401	3642.5007003641	56047.7057355256	58714.7375712598	65931.9847081186	0.0128670509	190.7890854449
