market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43280.6531420592	0.000000000	0.012192	1.0000000000	8	2|3|4|5|7|8|13|14	853.0815794707	44052.9566527449	5529.7599952313	53452.5288418291	58557.3949011470	71253.9485637271	0.0740279487	309.3854410104
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	49342.8675254410	0.000000000	2.335614	60.0000000000	9	2|3|4|5|7|8|9|13|14	853.0815794707	43135.5424958522	4066.5940575572	50062.9375493175	54682.1037959735	68916.3481446962	0.0181472438	1351.6327306157
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	46995.6409182455	0.000000000	1.929502	34.1377934519	9	2|3|4|5|7|8|9|13|14	853.0815794707	43135.5424958522	4066.5940575572	50062.9375493175	54682.1037959735	68916.3481446962	0.0181472438	1351.6327306157
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	43199.1441677775	0.000000000	9.969553	100.0000000000	8	2|3|4|7|8|9|13|14	853.0815794707	42749.5277506900	4556.4723623439	50715.1716224525	55135.3740214295	70026.8714792318	0.0334490351	171.3325832363
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43280.6531420592	0.000000000	0.012192	1.0000000000	8	2|3|4|5|7|8|13|14	632.3139662713	31459.9188530422	1589.0004634689	34286.5097899934	35378.7511588904	38547.4863718549	0.0133977105	2704.4291548957
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	49342.8675254410	0.000000000	2.335614	60.0000000000	9	2|3|4|5|7|8|9|13|14	632.3139662713	34146.9243820332	1521.0103671749	36854.9302779500	37837.4464052512	40997.9462526204	0.0010626874	5350.8691630321
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	43199.1382452854	0.000000000	1.731143	40.4430620241	8	2|3|4|5|7|8|13|14	632.3139662713	31459.9188530422	1589.0004634689	34286.5097899934	35378.7511588904	38547.4863718549	0.0133977105	2704.4291548957
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	28922.1048511385	0.000000000	5.800931	100.0000000000	6	2|3|4|5|8|14	632.3139662713	28766.7359200416	2992.4303385078	34289.2464415867	36255.4061372923	41273.7311778637	0.0387593910	122.4583850875
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43280.6531420592	0.000000000	0.012192	1.0000000000	8	2|3|4|5|7|8|13|14	1072.6178070863	47737.9181068246	4308.2062174638	55551.5099199702	58237.5046685217	62712.2245940162	0.0709817405	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	49342.8675254410	0.000000000	2.335614	60.0000000000	9	2|3|4|5|7|8|9|13|14	1072.6178070863	48200.8051422036	4074.7824060487	55789.1022818595	58246.9988318340	62590.0422243485	0.0402956126	14.0248023790
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	50855.4714283128	0.000000000	3.154599	36.6161248370	9	2|3|4|5|7|8|9|13|14	1072.6178070863	48200.8051422036	4074.7824060487	55789.1022818595	58246.9988318340	62590.0422243485	0.0402956126	14.0248023790
