market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43879.5011943294	0.000000000	0.016166	1.0000000000	8	2|3|4|5|6|7|8|14	823.3610173089	42777.9032229646	5972.4902453696	53498.9634144603	59391.3977358510	76382.2279720927	0.0405354626	689.3394938695
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	50384.9089914109	0.000000000	2.204019	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	823.3610173089	43726.0846036930	3393.8112312724	49081.7739656197	53875.7034070829	71841.7557668223	0.0039828293	4297.4120908011
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	47437.5970102504	0.000000000	3.558484	34.1377934519	9	2|3|4|5|7|8|9|13|14	823.3610173089	40919.9578476122	3543.9448915232	46979.0436678047	51472.9768506729	70261.3549876574	0.0059805129	1693.1949279537
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	40793.1582565132	0.000000000	21.681373	100.0000000000	8	2|3|4|7|8|9|13|14	823.3610173089	40506.6030941988	4089.9866845946	47746.3346185887	52047.6414394881	72265.7122324145	0.0165248122	289.3952924724
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43879.5011943294	0.000000000	0.016166	1.0000000000	8	2|3|4|5|6|7|8|14	625.6962160465	31786.2818971925	1524.3626074479	34463.1694052874	35582.5361328435	40002.6226286295	0.0035640282	3408.2169623147
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	50384.9089914109	0.000000000	2.204019	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	625.6962160465	36864.1556196703	1389.2858238088	39364.3839802721	40039.6295947691	41504.2021113455	0.0000493563	8461.4605038148
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	44684.6817299171	0.000000000	9.432723	40.4430620241	8	0|2|3|4|5|7|8|14	625.6962160465	33195.3630626885	1460.3039979942	35780.8365720200	36605.8213799385	39275.6261219385	0.0039775889	4884.2802020433
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	29139.2247097997	0.000000000	10.262195	100.0000000000	6	2|3|4|5|8|14	625.6962160465	28966.1450377371	3410.5542169405	35362.8939519089	37907.1266742170	43210.6681269369	0.0348679058	147.4600534939
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43879.5011943294	0.000000000	0.016166	1.0000000000	8	2|3|4|5|6|7|8|14	1091.6895743135	51287.9908807984	5260.5448989613	61043.5109042928	64691.1016724741	71749.2383547375	0.0553946895	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	50384.9089914109	0.000000000	2.204019	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1091.6895743135	49794.5329526671	3680.6289157700	56295.3710872720	58994.2555515120	66361.2380196768	0.0132553456	175.7532954819
