market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44741.6181667295	0.000000000	0.024340	1.0000000000	8	2|3|4|5|6|7|8|14	749.6894392446	41673.8953647572	6302.2438479609	52810.3161606497	59286.2062169333	76021.5034465167	0.0473689851	1853.0861708630
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	53240.9053888127	0.000000000	3.513879	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	749.6894392446	42538.6612325696	3716.0092734180	48931.5193467284	54138.4912598791	72780.5572792693	0.0054037677	5917.0085734163
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	46205.1863230253	0.000000000	1.778018	19.3666932497	9	2|3|4|5|7|8|9|13|14	749.6894392446	39682.4580769272	3781.7552206364	46370.1329540900	51409.2353262485	70353.5940334181	0.0077028240	3036.0158922772
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	38991.7866207162	0.000000000	11.217460	100.0000000000	8	2|3|4|7|9|12|13|14	749.6894392446	38669.6043351849	4079.8449911918	45479.1114212291	50864.0660660875	71687.7253421822	0.0144845254	1159.5703110837
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44741.6181667295	0.000000000	0.024340	1.0000000000	8	2|3|4|5|6|7|8|14	517.1789018207	29119.7882112695	1233.3071425187	31298.9839087790	32078.4563450122	36008.7153614185	0.0004394904	5666.4022045477
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	53240.9053888127	0.000000000	3.513879	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	517.1789018207	34379.3740875652	1179.5334723056	36519.7379945184	37074.3712207797	38184.6445769485	0.0000000000	10849.2912217464
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	43173.3203031286	0.000000000	5.718234	32.4869689612	9	2|3|4|5|7|8|11|13|14	517.1789018207	31351.5164871552	1204.3294844967	33517.2008986610	34148.0950521746	35188.1560545940	0.0005723988	7930.1030061022
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	23864.6705488490	0.000000000	7.821810	100.0000000000	5	3|4|5|8|14	517.1789018207	23704.8145007455	2476.5631543739	28625.8431102236	30764.8362899574	36087.1005748915	0.0188622110	244.1588109705
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44741.6181667295	0.000000000	0.024340	1.0000000000	8	2|3|4|5|6|7|8|14	1146.3494477475	55162.8786411568	6093.3958710237	66649.2838881594	70641.2782994174	77696.9144450639	0.0727107917	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	53240.9053888127	0.000000000	3.513879	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1146.3494477475	52259.4459105458	4295.0451483245	60180.6010865598	63323.8525036588	72249.6185119824	0.0211497097	58.1932142367
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	55789.9039833277	0.000000000	3.993576	26.1055711199	10	0|2|3|4|5|7|8|9|13|14	1146.3494477475	52259.4459105458	4295.0451483245	60180.6010865598	63323.8525036588	72249.6185119824	0.0211497097	58.1932142367
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	51935.6356773591	0.000000000	6.915325	100.0000000000	10	0|2|3|4|5|6|7|8|13|14	1146.3494477475	51717.2615418699	4407.2516290776	59883.4292336152	63169.2501072803	71636.5640083768	0.0226869400	10.4354725535
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	D	Optimal	true	44741.6181667295	0.000000000	0.024340	1.0000000000	8	2|3|4|5|6|7|8|14	954.0738256118	52670.8819573090	8489.0924298426	68972.9930822373	73847.7171631692	83231.6657290616	0.0642697070	15.8661232007
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	SAA	Optimal	true	53240.9053888127	0.000000000	3.513879	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	954.0738256118	49185.9763764148	4755.0749234735	58767.9950384742	62772.5923252200	71837.8166275536	0.0094217826	1537.6687435700
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	CSAA	Optimal	true	51956.8406216926	0.000000000	3.784584	24.0231136507	10	1|2|3|4|5|7|8|9|13|14	954.0738256118	49321.4441807432	4558.2671906869	58240.5939913083	62354.8981649724	72116.4907187125	0.0101646044	2000.8824592386
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	ORACLE	Optimal	true	49862.1752733848	0.000000000	25.775539	100.0000000000	9	0|3|4|5|7|8|9|13|14	954.0738256118	48944.9318707174	5305.5097475706	60109.4403843058	63917.5727501817	71169.7630750732	0.0122825733	465.7552384998
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	D	Optimal	true	44741.6181667295	0.000000000	0.024340	1.0000000000	8	2|3|4|5|6|7|8|14	621.2559928318	34719.4003946707	4728.0955527802	44883.8787676641	47604.1640025601	52614.2788949298	0.0467031146	3987.4053906862
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	SAA	Optimal	true	53240.9053888127	0.000000000	3.513879	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	621.2559928318	36916.7951658783	2449.4599206923	41774.5918712027	45033.5547765919	49578.4697080952	0.0061785022	8388.0578396196
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	CSAA	Optimal	true	44835.4968057646	0.000000000	8.545893	20.3809029263	9	0|2|3|4|5|7|8|11|14	621.2559928318	36163.2344710995	1621.6867148933	39155.3083396965	40112.0771876682	42158.5721480584	0.0097051740	7800.7321485764
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	ORACLE	Optimal	true	31296.7808566718	0.000000000	46.479209	100.0000000000	7	1|3|4|5|8|13|14	621.2559928318	31115.3639729827	4083.4164103402	39872.5085180935	42813.3252591076	47215.5187756435	0.0353215976	1810.4640006241
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	D	Optimal	true	42569.8442311468	0.000000000	0.024714	1.0000000000	8	2|3|4|5|6|7|8|14	1139.9097066512	61866.7174923323	8973.3589074595	78223.3577330038	83133.8294080786	99336.9517850283	0.0820088364	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	SAA	Optimal	true	50968.6570413801	0.000000000	5.733555	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1139.9097066512	56493.7297571844	6039.4798675435	68461.6708372362	71917.1970713529	85321.1569858992	0.0187030915	55.4777916438
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	CSAA	Optimal	true	53659.1545549372	0.000000000	3.377448	28.3259081179	10	0|2|3|4|5|7|8|9|13|14	1139.9097066512	56493.7297571844	6039.4798675435	68461.6708372362	71917.1970713529	85321.1569858992	0.0187030915	55.4777916438
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	ORACLE	Optimal	true	56400.1202079433	0.000000000	5.758405	100.0000000000	10	2|3|4|5|7|8|9|12|13|14	1139.9097066512	56077.5625539751	5633.4868573248	66742.0067085520	70346.3100840398	82474.5490181053	0.0240708763	30.5634906157
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	D	Optimal	true	42569.8442311468	0.000000000	0.024714	1.0000000000	8	2|3|4|5|6|7|8|14	520.0624396591	33755.6486979909	5865.3415681565	45239.1921566012	47448.5663204939	53367.9898287718	0.0678754929	6483.4250165999
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	SAA	Optimal	true	50968.6570413801	0.000000000	5.733555	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	520.0624396591	35279.3972702987	3693.2999288679	43985.0983585416	46104.2740390333	51883.5006987973	0.0161174627	10947.2251205817
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	CSAA	Optimal	true	42887.2509237105	0.000000000	6.889178	25.8768473430	8	0|2|3|4|5|7|8|14	520.0624396591	31727.1140620111	3726.2625208749	40371.9938166101	42561.7689844173	48399.4333800007	0.0262429479	7439.5637971980
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	ORACLE	Optimal	true	28003.4469202047	0.000000000	8.121110	100.0000000000	5	0|1|3|5|8	520.0624396591	27601.1872473970	3267.9955111913	35345.1367934348	37496.8657284219	42715.5669963169	0.0316581034	1961.9962005582
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	D	Optimal	true	42569.8442311468	0.000000000	0.024714	1.0000000000	8	2|3|4|5|6|7|8|14	987.5671344919	51867.7572046617	7655.8012267101	66194.3658576747	71790.6227509484	85182.7124884853	0.0556813255	5.9836541461
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	SAA	Optimal	true	50968.6570413801	0.000000000	5.733555	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	987.5671344919	49144.6414282888	4569.3633749360	57585.6774003419	63037.4131462308	73366.0033938382	0.0062128914	982.7868134108
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	CSAA	Optimal	true	50690.6659251820	0.000000000	3.706624	39.3998840102	9	2|3|4|5|7|8|9|13|14	987.5671344919	47810.8404887175	5155.4510111716	56766.8385895933	62674.9793175268	72854.3119613551	0.0130860355	90.3596333296
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	ORACLE	Optimal	true	47056.1863974081	0.000000000	6.294770	100.0000000000	9	2|3|4|5|7|8|9|13|14	987.5671344919	47810.8404887175	5155.4510111716	56766.8385895933	62674.9793175268	72854.3119613551	0.0130860355	90.3596333296
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	3	D	Optimal	true	42569.8442311468	0.000000000	0.024714	1.0000000000	8	2|3|4|5|6|7|8|14	1141.6319524365	55569.0584112054	6445.8508224846	66913.7697969683	71048.5276230815	81072.9468694997	0.0749182706	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	3	SAA	Optimal	true	50968.6570413801	0.000000000	5.733555	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1141.6319524365	52198.5155737415	4285.1022764277	59723.6392260001	63056.8609637426	71476.0723402104	0.0210010114	53.9436036813
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	3	CSAA	Optimal	true	51963.5379001729	0.000000000	5.243253	30.8285172930	10	0|2|3|4|5|7|8|11|13|14	1141.6319524365	53410.7643458550	4185.1998908260	60767.7178889162	62717.4320268879	68208.7282837169	0.0314649512	152.1442529407
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	3	ORACLE	Optimal	true	51407.9391644213	0.000000000	7.940533	100.0000000000	10	0|2|3|4|5|6|7|8|13|14	1141.6319524365	51565.4806815769	4346.4933712547	58941.0103264178	62314.1557124456	70568.7651949559	0.0218104508	8.3013509755
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	4	D	Optimal	true	42569.8442311468	0.000000000	0.024714	1.0000000000	8	2|3|4|5|6|7|8|14	1306.5477179640	75343.7413943754	11220.3024932182	95945.5076661616	103555.6716653985	132306.0655776105	0.1139984255	0.0000000000
