market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44880.0549498980	0.000000000	0.031310	1.0000000000	9	2|3|4|5|6|7|8|13|14	749.6894392446	39971.5317888869	1700.6731178393	43214.7571213916	44646.8154412582	47536.2218424453	0.0220812861	2251.9055112012
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	51670.8831261453	0.000000000	2.396248	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	749.6894392446	41878.4564100302	738.4972475993	43192.5553845480	43639.5891352931	44863.5247053607	0.0000000000	5833.6781795571
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	45404.7747479527	0.000000000	1.840685	19.3666932497	9	2|3|4|5|7|8|9|13|14	749.6894392446	38873.7955584754	746.3271195129	40199.5489980825	40646.7840308302	41876.8347331626	0.0000174417	2898.0557016551
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	37606.9770259989	0.000000000	32.921726	100.0000000000	8	2|3|4|7|9|12|13|14	749.6894392446	37560.5707059388	820.9738673403	38920.9239137504	39488.3316125848	41552.2687109936	0.0018787874	765.7639630221
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44880.0549498980	0.000000000	0.031310	1.0000000000	9	2|3|4|5|6|7|8|13|14	517.1789018207	29801.6040057011	353.9382197073	30427.4972458217	30562.3214131951	30820.7275247448	0.0000010808	6489.4237094699
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	51670.8831261453	0.000000000	2.396248	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	517.1789018207	34263.2818378253	351.2328195735	34884.1164410994	35015.6869222765	35267.4144626840	0.0000000000	10869.5386286503
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	41811.2133082565	0.000000000	6.821266	32.4869689612	8	1|3|4|5|7|8|13|14	517.1789018207	30145.7624982358	384.9093093012	30816.3660823522	30982.3233035249	31256.2486791337	0.0054887587	6549.9547258665
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	22767.9424638231	0.000000000	6.663865	100.0000000000	5	3|4|5|8|14	517.1789018207	22738.9667812975	501.8773718716	23651.6235409297	23873.4614193691	24351.7337989837	0.0056900543	66.8278644896
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44880.0549498980	0.000000000	0.031310	1.0000000000	9	2|3|4|5|6|7|8|13|14	1146.3494477475	50941.4912692473	1301.4104746417	53240.5109354956	53947.4015619696	55389.7544221383	0.0314861298	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	51670.8831261453	0.000000000	2.396248	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1146.3494477475	51392.8563472243	1133.1744119332	53388.3982547914	53826.8371767930	54515.0359537743	0.0101472455	0.0000000000
