market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	45063.1803198690	0.000000000	0.031845	1.0000000000	8	0|2|3|4|5|7|13|14	749.6894392446	46047.1308340256	3091.9466356312	51272.8915989261	52940.9606081887	56290.5013834019	0.0647810230	2134.8160667154
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	52252.1288119060	0.000000000	2.659894	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	749.6894392446	41878.4564100302	738.4972475993	43192.5553845480	43639.5891352931	44863.5247053607	0.0000000000	5833.6781795571
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	46035.7518965532	0.000000000	3.474868	19.3666932497	9	2|3|4|5|7|8|9|13|14	749.6894392446	38874.0143396975	746.4396932361	40199.5489980825	40647.8752144145	41876.8347331626	0.0000174417	2898.0557016551
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	37629.1835196113	0.000000000	29.008721	100.0000000000	8	2|3|4|7|9|12|13|14	749.6894392446	37583.6770613360	829.0725908820	38998.8578427705	39533.3334926588	41687.4093137494	0.0018787874	765.7639630221
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	45063.1803198690	0.000000000	0.031845	1.0000000000	8	0|2|3|4|5|7|13|14	517.1789018207	29254.5647346915	353.5736571172	29880.3499612969	30011.1758383520	30279.5586869752	0.0000000000	6194.2674732209
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	52252.1288119060	0.000000000	2.659894	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	517.1789018207	34263.2818378253	351.2328195735	34884.1164410994	35015.6869222765	35267.4144626840	0.0000000000	10869.5386286503
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	42342.3122765894	0.000000000	5.883924	32.4869689612	9	1|3|4|5|7|8|9|13|14	517.1789018207	32968.4760475741	360.8733245639	33618.4220961476	33742.1734199725	33984.3367769868	0.0000000000	9325.3393230913
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	22803.2393336306	0.000000000	7.126535	100.0000000000	5	3|4|5|8|14	517.1789018207	22771.0961909449	509.4292846282	23687.4303820078	23931.8574456213	24505.3077126939	0.0056900543	66.8278644896
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	45063.1803198690	0.000000000	0.031845	1.0000000000	8	0|2|3|4|5|7|13|14	1146.3494477475	52290.9843314541	1608.2730584109	55060.2526791825	56070.0939981322	58363.0775150825	0.0392506082	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	52252.1288119060	0.000000000	2.659894	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1146.3494477475	51534.6703851865	1150.6407613913	53574.9327610757	54009.0507292017	54715.7929436169	0.0101472455	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	54349.7959039772	0.000000000	3.135938	26.1055711199	10	0|2|3|4|5|7|8|9|13|14	1146.3494477475	51534.6703851865	1150.6407613913	53574.9327610757	54009.0507292017	54715.7929436169	0.0101472455	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	50901.5000949251	0.000000000	12.997295	100.0000000000	10	0|2|3|4|5|6|8|9|13|14	1146.3494477475	50844.4794984245	1238.2385369792	52994.1075685038	53738.8960102414	55828.2185269337	0.0068029286	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	D	Optimal	true	45063.1803198690	0.000000000	0.031845	1.0000000000	8	0|2|3|4|5|7|13|14	954.0738256118	56871.0683953085	3787.7772994559	63426.1563213850	64984.5164749011	67135.1036941723	0.0731729775	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	SAA	Optimal	true	52252.1288119060	0.000000000	2.659894	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	954.0738256118	47645.0021644748	926.9335726485	49194.2617458365	49679.5255213087	50653.1681350527	0.0000000000	1142.2425802134
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	CSAA	Optimal	true	50772.4114611650	0.000000000	5.186734	24.0231136507	9	1|3|4|5|7|8|9|13|14	954.0738256118	47262.8547919628	1049.3665409355	49031.7718394555	49668.2376398043	50960.5457537246	0.0002410772	286.9181738670
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	ORACLE	Optimal	true	47148.3834404869	0.000000000	14.300990	100.0000000000	9	0|2|3|4|5|7|8|9|14	954.0738256118	47006.5361339484	1026.6794471582	48836.3605824386	49354.7642150045	50643.2522325628	0.0006656762	486.9411750818
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	D	Optimal	true	45063.1803198690	0.000000000	0.031845	1.0000000000	8	0|2|3|4|5|7|13|14	621.2559928318	33798.7495391409	1824.5435590668	37007.2925784440	37844.2155648159	39036.3001143497	0.0250616741	3841.6494582459
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	SAA	Optimal	true	52252.1288119060	0.000000000	2.659894	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	621.2559928318	36430.1358522878	428.8942719023	37166.5385071517	37307.7270828828	37598.5106058928	0.0009861042	8298.9956915085
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	CSAA	Optimal	true	43735.4122865426	0.000000000	9.078657	20.3809029263	9	2|3|4|5|7|8|11|13|14	621.2559928318	34326.0067009652	544.0442526389	35226.6935246418	35461.2123937182	35845.7444511902	0.0139370828	5721.1242621379
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	ORACLE	Optimal	true	29522.7853131017	0.000000000	24.570631	100.0000000000	6	1|3|4|5|8|13	621.2559928318	29475.8575249019	1156.2804270829	31924.6953141035	32621.0834726610	33889.6115428505	0.0192716025	75.2593339616
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	D	Optimal	true	42727.7589378247	0.000000000	0.018617	1.0000000000	8	2|3|4|5|6|7|8|14	1139.9097066512	60709.5584811147	3506.2603570836	66849.9244056070	68242.8726718954	71870.2219803131	0.0574029280	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	SAA	Optimal	true	49284.1609514735	0.000000000	5.108798	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1139.9097066512	54956.8138017212	1484.1199216544	57431.6210639275	58176.8748244462	59900.5795811658	0.0054720950	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	CSAA	Optimal	true	52474.6309847966	0.000000000	3.243333	28.3259081179	10	0|2|3|4|5|7|8|9|13|14	1139.9097066512	54956.8138017212	1484.1199216544	57431.6210639275	58176.8748244462	59900.5795811658	0.0054720950	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	ORACLE	Optimal	true	54882.0932172501	0.000000000	6.089761	100.0000000000	9	2|3|4|5|7|8|9|13|14	1139.9097066512	54692.5323372528	1790.3309515545	57908.6103818897	58725.2291938442	60053.5555487593	0.0121429270	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	D	Optimal	true	42727.7589378247	0.000000000	0.018617	1.0000000000	8	2|3|4|5|6|7|8|14	520.0624396591	34603.2669005997	2191.0807328694	38381.2613349408	38971.1944682444	40526.9420380054	0.0641995972	6420.5877289939
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	SAA	Optimal	true	49284.1609514735	0.000000000	5.108798	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	520.0624396591	34198.4917580520	670.0011095247	35736.9294102471	36304.8506849859	37808.5316189725	0.0010876188	10688.0042882940
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	CSAA	Optimal	true	41927.2427756037	0.000000000	8.589535	25.8768473430	8	0|3|4|5|7|8|13|14	520.0624396591	29917.8577969633	679.7619713203	31475.0681203730	32043.7468984715	33537.1813512485	0.0010876188	6200.7708189337
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	ORACLE	Optimal	true	26835.6501065570	0.000000000	11.140923	100.0000000000	5	0|1|3|5|8	520.0624396591	26821.4414067827	541.5733555909	27732.6152688919	27967.0081406732	28358.5261587738	0.0153505716	1720.4417376608
