market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44665.8509385113	0.000000000	0.016801	1.0000000000	8	2|3|4|5|6|7|8|14	635.4002903374	37275.6344980524	5473.3610495892	47546.8508246641	53160.7421897839	68879.5530286842	0.0363420995	3700.6458787337
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	55231.7476068571	0.000000000	2.473795	60.0000000000	11	0|2|3|4|5|7|8|9|11|13|14	635.4002903374	42407.5465901910	2449.3188406565	46476.2322712036	49019.7515395435	62916.2174825219	0.0016470348	11378.4618953428
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	41226.9046001455	0.000000000	3.007509	7.1483005707	9	2|3|4|5|7|8|9|13|14	635.4002903374	36632.1604954285	3229.6915893619	41811.5051690268	46651.2856074043	64010.7147531506	0.0055115952	5328.0865995223
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	35281.4488047368	0.000000000	18.502244	100.0000000000	8	2|3|4|7|9|12|13|14	635.4002903374	35117.1671044824	3377.2092532553	40676.2836920971	45149.3851394642	64397.1239767067	0.0100003388	3320.3002588096
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44665.8509385113	0.000000000	0.016801	1.0000000000	8	2|3|4|5|6|7|8|14	205.1091791859	21456.7320967004	371.0907456563	22135.3134037250	22304.5082119313	22661.9868929487	0.0000000000	12379.1158886678
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	55231.7476068571	0.000000000	2.473795	60.0000000000	11	0|2|3|4|5|7|8|9|11|13|14	205.1091791859	29892.1224092383	370.7563973335	30564.2266199714	30739.0093968370	31097.5688936946	0.0000000000	20711.8799962921
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	28625.9364497773	0.000000000	1.615547	7.5981926933	6	3|4|5|7|8|14	205.1091791859	18342.2505756628	376.5899259791	19030.2858386474	19212.1708375589	19562.8879423236	0.0000214131	9177.7204937358
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	10134.9072236099	0.000000000	32.560073	100.0000000000	3	4|5|14	205.1091791859	10058.3532055549	807.3515659407	11778.7102703823	12382.9265907872	14403.7308817552	0.0082867035	1388.4300608409
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44665.8509385113	0.000000000	0.016801	1.0000000000	8	2|3|4|5|6|7|8|14	1198.1943465282	62724.4143397051	8327.6115518974	77478.3917066255	82209.7103082475	92881.8755910487	0.1179959612	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	55231.7476068571	0.000000000	2.473795	60.0000000000	11	0|2|3|4|5|7|8|9|11|13|14	1198.1943465282	56416.5131867390	4665.4085465076	65082.4840529488	68435.3172005994	77015.3010422191	0.0230902610	523.7364081900
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	57932.1339024188	0.000000000	2.043923	9.4927594467	11	0|1|2|3|4|5|7|8|9|13|14	1198.1943465282	55425.2189552366	4247.7985574059	62956.3832701969	66498.9260720276	74668.1526028146	0.0242574673	537.2431251062
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	54577.2511008232	0.000000000	7.031045	100.0000000000	11	0|1|2|3|4|5|6|7|8|13|14	1198.1943465282	54474.4701980898	4384.7095643874	61961.2625365449	65923.8916690725	73569.0531333859	0.0234431062	198.6771623089
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	D	Optimal	true	44665.8509385113	0.000000000	0.016801	1.0000000000	8	2|3|4|5|6|7|8|14	947.9544130248	56166.3102384264	9457.0083375356	73772.3792872416	78501.4958689072	87448.2925761261	0.0913496480	49.2094282922
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	SAA	Optimal	true	55231.7476068571	0.000000000	2.473795	60.0000000000	11	0|2|3|4|5|7|8|9|11|13|14	947.9544130248	51952.5231400380	3910.1067096456	59044.7452382605	62324.8694034766	68761.6023954687	0.0049901991	4482.6753740255
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	CSAA	Optimal	true	52575.0500585596	0.000000000	4.183296	9.0359118816	10	1|2|3|4|5|7|8|9|13|14	947.9544130248	50750.1664899516	5769.0617954464	62530.3694836361	66692.8223987136	73181.1472071531	0.0193184484	2270.7712250722
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	3	ORACLE	Optimal	true	51215.3394765624	0.000000000	13.376781	100.0000000000	9	1|3|4|5|7|8|9|13|14	947.9544130248	50256.3485717277	6035.8372223847	61920.8480777510	66697.8122103605	74825.3112733556	0.0220312487	902.6629327636
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	D	Optimal	true	44665.8509385113	0.000000000	0.016801	1.0000000000	8	2|3|4|5|6|7|8|14	780.0766116845	44352.5895541747	6995.8349545846	58134.5218525353	61191.8421515409	66785.2286891604	0.0925078289	1860.7218588677
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	SAA	Optimal	true	55231.7476068571	0.000000000	2.473795	60.0000000000	11	0|2|3|4|5|7|8|9|11|13|14	780.0766116845	44327.3816069039	2754.3812376766	49555.6181479824	52744.7078580924	57925.1993388091	0.0078611322	7885.9872041997
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	CSAA	Optimal	true	46619.3730078279	0.000000000	3.182841	7.6436563863	9	0|2|3|4|5|7|8|11|14	780.0766116845	41085.3372303408	2854.0957679059	46319.6640285162	49712.1927070654	54777.0448713082	0.0184173675	4460.0025860136
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	4	ORACLE	Optimal	true	38821.9548424599	0.000000000	10.276336	100.0000000000	8	0|1|2|3|4|5|8|13	780.0766116845	38514.4828313142	4567.0739280957	48063.3281187360	51963.7729089234	58226.6326675297	0.0263814083	945.2003289143
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	D	Optimal	true	42408.1071024493	0.000000000	0.024476	1.0000000000	8	2|3|4|5|6|7|8|14	1040.8838497555	57430.3556050346	9072.2669523752	73944.7352088890	78914.5051065097	94521.7778327662	0.0843782884	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	SAA	Optimal	true	52261.2060271669	0.000000000	3.612286	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	1040.8838497555	53143.4269130276	5013.8772918817	62567.6265872740	66468.4729811975	79164.9535034801	0.0221878967	943.8963817618
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	CSAA	Optimal	true	50999.9227867672	0.000000000	2.048474	9.8586560938	9	2|3|4|5|7|8|9|13|14	1040.8838497555	52576.7668131996	6672.2280462787	65667.0392575940	69587.2788116806	83992.4010164117	0.0337011187	24.1063344890
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	0	ORACLE	Optimal	true	52486.7689500951	0.000000000	7.704776	100.0000000000	10	2|3|4|5|7|8|9|12|13|14	1040.8838497555	52312.5562600048	5327.7447146941	62540.8859019074	66245.5821401060	78539.5534261704	0.0252369792	435.7320625921
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	D	Optimal	true	42408.1071024493	0.000000000	0.024476	1.0000000000	8	2|3|4|5|6|7|8|14	459.8121309071	33472.3029180085	6313.8466959754	45402.6086150532	47859.0143210649	53939.9650963174	0.0869670100	7864.4094412457
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	SAA	Optimal	true	52261.2060271669	0.000000000	3.612286	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	459.8121309071	34571.4271644032	4017.3981854372	43653.9644304434	46079.0408295768	52088.0146346738	0.0184757824	12346.3010577912
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	CSAA	Optimal	true	38566.7995537148	0.000000000	4.628247	9.0246545196	7	3|4|5|7|8|11|14	459.8121309071	29440.5395677026	4040.0463518759	38733.6752291169	40992.5027881301	46965.3194476434	0.0202700271	7088.5043207505
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	1	ORACLE	Optimal	true	26907.1163694645	0.000000000	6.889158	100.0000000000	5	0|1|3|5|8	459.8121309071	26369.5270678232	3796.7586859130	35423.2587104998	37516.8050026143	43042.7287628656	0.0369884292	3228.8230934085
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	D	Optimal	true	42408.1071024493	0.000000000	0.024476	1.0000000000	8	2|3|4|5|6|7|8|14	995.1220868154	54736.0784885494	8872.2235893835	71398.7595894805	77126.6596119818	90416.1413289847	0.0759026595	13.3143913641
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	2	2	SAA	Optimal	true	52261.2060271669	0.000000000	3.612286	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	995.1220868154	51050.4433918120	4554.6794584627	59579.9658647347	63675.1802335755	72100.5050631345	0.0158253015	1421.5141927171
