market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	D	Optimal	true	53717.6179526838	0.000000000	0.013322	1.0000000000	9	0|3|4|8|10|11|12|13|14	518.7375209161	37332.8018094941	1182.7566893544	39350.4990976367	40296.6012505144	42196.0365425592	0.0017819491	9302.3469056169
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	SAA	Optimal	true	68232.2283106083	0.000000000	1.679922	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	518.7375209161	41957.3175848907	1157.5048850470	44002.6491580652	44728.1621730319	45832.6392968731	0.0004448611	13570.0058651896
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	42109.1874718717	0.000000000	5.236990	7.1483005707	7	0|1|8|10|11|12|13	518.7375209161	33519.3489369235	1786.5911094468	36719.5197932040	38100.9193408679	40222.6210718177	0.0147007314	3919.5213774972
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	31364.0169844026	0.000000000	13.776964	100.0000000000	6	0|1|8|10|13|14	518.7375209161	31667.8283779065	1964.6892239644	34903.3244427587	37021.5170710723	40218.3439227691	0.0212756426	1997.6060574446
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	D	Optimal	true	53717.6179526838	0.000000000	0.013322	1.0000000000	9	0|3|4|8|10|11|12|13|14	195.9134102532	26521.6346404796	296.2666321544	27040.4759251648	27181.1162700564	27637.1293822840	0.0000000000	16046.8586904753
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	SAA	Optimal	true	68232.2283106083	0.000000000	1.679922	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	195.9134102532	30722.2540932314	304.5395426331	31244.0975010600	31400.7231680366	31845.3726060427	0.0000000000	19949.0975331995
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	31991.5570160175	0.000000000	3.676638	7.5981926933	6	1|8|10|11|12|13	195.9134102532	18603.2112523328	352.6412883009	19179.0219656415	19371.1631466560	19839.7912355010	0.0000000000	8292.6089015432
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	13035.9219523525	0.000000000	41.036158	100.0000000000	3	1|8|12	195.9134102532	13032.3233706383	472.0061127570	13865.1386393277	14173.8437491259	15366.8948106136	0.0170425605	1519.7559692945
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	D	Optimal	true	53717.6179526838	0.000000000	0.013322	1.0000000000	9	0|3|4|8|10|11|12|13|14	1368.9345813490	95152.3517524513	14652.4840549058	122489.1848790262	127866.8836857152	140058.0367709312	0.1314216493	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	SAA	Optimal	true	68232.2283106083	0.000000000	1.679922	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1368.9345813490	86374.7352028103	12154.9655850473	110679.3615463871	115759.1540265083	126502.0007366508	0.0595443267	238.0404181295
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	80515.7294945544	0.000000000	2.562326	9.4927594467	11	0|2|4|7|8|9|10|11|12|13|14	1368.9345813490	85288.9757433187	11386.5178388148	107727.0935936774	113434.0256042820	122073.0873147842	0.0471880678	486.2788588134
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	85469.2216850662	0.000000000	14.998365	100.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	1368.9345813490	85288.9757433187	11386.5178388148	107727.0935936774	113434.0256042820	122073.0873147842	0.0471880678	486.2788588134
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	D	Optimal	true	53717.6179526838	0.000000000	0.013322	1.0000000000	9	0|3|4|8|10|11|12|13|14	765.1723873345	47891.0062265231	2373.7476097586	51903.6959794937	53888.1033233446	60347.1289662255	0.0154710165	4511.4019039633
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	SAA	Optimal	true	68232.2283106083	0.000000000	1.679922	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	765.1723873345	51759.1119494705	2140.3809042065	55307.3848130197	57264.6083987158	63646.4582295062	0.0025877988	8538.9418990079
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	CSAA	Optimal	true	54198.6026095243	0.000000000	2.966353	9.0359118816	9	0|1|4|8|10|11|12|13|14	765.1723873345	47326.2945698730	2459.1306459708	51433.3201167913	53682.2234272732	60376.4688427253	0.0134323083	3465.7587746973
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	3	ORACLE	Optimal	true	47205.6881948406	0.000000000	16.889955	100.0000000000	8	0|1|3|8|10|11|13|14	765.1723873345	46858.9811937834	3309.5487358370	52471.1907964500	54988.9388867850	59803.3578615176	0.0312246367	1934.6310999582
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	D	Optimal	true	53717.6179526838	0.000000000	0.013322	1.0000000000	9	0|3|4|8|10|11|12|13|14	839.4953746259	60290.0476682453	9216.7663263531	79074.6426829852	84541.0026290505	100328.6287283339	0.0712280077	3878.6355136418
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	SAA	Optimal	true	68232.2283106083	0.000000000	1.679922	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	839.4953746259	58954.4298781560	6776.3529623387	73542.9588015090	79538.9969595653	96161.4535327609	0.0232542872	7081.0842144024
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	CSAA	Optimal	true	59868.0537389257	0.000000000	2.648385	7.6436563863	9	0|4|7|8|10|11|12|13|14	839.4953746259	56950.7327590167	6860.7825009273	71673.2609811785	77574.5327791560	94018.2014756440	0.0359781351	3921.3067997174
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	4	ORACLE	Optimal	true	56461.8721046320	0.000000000	11.140174	100.0000000000	8	0|4|7|8|10|11|12|14	839.4953746259	56366.8485664070	7010.4223505388	72084.6755485577	77218.5572495330	93547.5918020146	0.0443487160	2112.6148320718
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	D	Optimal	true	52100.2206859035	0.000000000	0.007591	1.0000000000	9	0|1|3|8|10|11|12|13|14	1050.2379513314	73750.4126294589	10890.6026557864	93641.9436284838	99252.8538527299	111619.0739838137	0.0891861057	124.9671100388
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	SAA	Optimal	true	63744.3141436101	0.000000000	3.515532	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1050.2379513314	70236.3560791812	8315.3183605264	87083.5599622465	91764.7468975967	105291.6467862866	0.0341192401	2983.8075811394
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	CSAA	Optimal	true	64916.5722687989	0.000000000	4.008671	9.8586560938	10	0|3|4|7|8|10|11|12|13|14	1050.2379513314	68648.2964694100	8322.8701177377	85629.1365518540	90207.9146605695	103413.2983567280	0.0340425220	2082.1471760424
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	0	ORACLE	Optimal	true	69621.7358526427	0.000000000	13.942411	100.0000000000	10	0|3|4|7|8|10|11|12|13|14	1050.2379513314	68648.2964694100	8322.8701177377	85629.1365518540	90207.9146605695	103413.2983567280	0.0340425220	2082.1471760424
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	D	Optimal	true	52100.2206859035	0.000000000	0.007591	1.0000000000	9	0|1|3|8|10|11|12|13|14	405.6310859616	32484.5805830131	904.8720069241	33952.7519175981	34627.7550068351	36113.8405828485	0.0026811632	10744.9672858198
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	SAA	Optimal	true	63744.3141436101	0.000000000	3.515532	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	405.6310859616	38110.5292108446	815.4499479083	39484.6911107926	39983.6567545874	41013.7581003883	0.0000000000	15824.6269115592
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	CSAA	Optimal	true	42439.8700698118	0.000000000	5.647166	9.0246545196	7	1|8|10|11|12|13|14	405.6310859616	29134.2361019397	1042.0401818827	30897.1656931317	31555.2093473936	33323.0506789807	0.0147292507	6463.9191547311
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	1	ORACLE	Optimal	true	24961.8411849327	0.000000000	44.918188	100.0000000000	4	1|8|10|13	405.6310859616	25105.1537667994	1510.5929462507	27969.9066839457	29311.7235748620	31358.3802865011	0.0405556022	215.9857629521
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	D	Optimal	true	52100.2206859035	0.000000000	0.007591	1.0000000000	9	0|1|3|8|10|11|12|13|14	992.4226795637	65445.3853796108	9342.4963640733	84753.3220589326	89218.4077743425	95823.9884120044	0.0607376197	284.4824387679
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	SAA	Optimal	true	63744.3141436101	0.000000000	3.515532	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	992.4226795637	64251.3608068624	6126.5711567208	77438.9870301009	82375.1101112180	90441.7536162834	0.0173379139	3849.9795350056
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	CSAA	Optimal	true	64043.7972851448	0.000000000	4.075702	10.6682942150	10	0|1|4|7|8|10|11|12|13|14	992.4226795637	62956.2429845207	6326.0465136962	76420.5594285702	81477.5374672007	89568.0651549000	0.0194737570	2000.8216418354
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	2	ORACLE	Optimal	true	61373.5622893505	0.000000000	7.378514	100.0000000000	9	0|3|4|7|8|10|11|12|14	992.4226795637	62273.2082073709	6549.2933697516	76851.3974122800	81415.2513078121	88862.2235768370	0.0196540367	953.8857300246
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	D	Optimal	true	52100.2206859035	0.000000000	0.007591	1.0000000000	9	0|1|3|8|10|11|12|13|14	1361.2270116547	100012.8452535983	14916.4726157465	126163.8119319342	134424.3790027766	153550.8366304844	0.1642590355	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	SAA	Optimal	true	63744.3141436101	0.000000000	3.515532	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1361.2270116547	86136.4438606803	12255.6843440683	109057.5055250486	117139.7177699954	136717.6951112361	0.0590242377	232.0476396733
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	CSAA	Optimal	true	71220.2867865454	0.000000000	3.959194	8.0623419574	11	0|1|4|7|8|9|10|11|12|13|14	1361.2270116547	86136.4438606803	12255.6843440683	109057.5055250486	117139.7177699954	136717.6951112361	0.0590242377	232.0476396733
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	3	ORACLE	Optimal	true	82763.9099644845	0.000000000	10.758934	100.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	1361.2270116547	85096.2805242836	11295.8641367278	107122.7087691490	114175.0395480014	133449.8369510928	0.0469349681	438.5679825728
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	D	Optimal	true	52100.2206859035	0.000000000	0.007591	1.0000000000	9	0|1|3|8|10|11|12|13|14	1642.1367775202	127213.1960617586	17308.7679738396	156960.2535409452	169124.3697014423	200703.5956713244	0.1912596578	0.0000000000
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	SAA	Optimal	true	63744.3141436101	0.000000000	3.515532	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1642.1367775202	108285.5806569371	14621.5704557776	134024.2021383493	145976.6275649482	178329.5554932104	0.0760400242	0.2075869082
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	CSAA	Optimal	true	93758.5216698796	0.000000000	3.335961	9.5141189457	11	0|4|6|7|8|9|10|11|12|13|14	1642.1367775202	106432.8817281917	12936.0773554910	130132.0186257255	140812.8641393932	170305.5056241394	0.0581084496	18.9321873938
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	2	4	ORACLE	Optimal	true	105623.1028426249	0.000000000	7.255015	100.0000000000	11	0|3|4|6|7|8|10|11|12|13|14	1642.1367775202	105865.6421424519	13488.9513936837	130256.4232980347	141391.1639031732	174246.6403849572	0.0605418610	15.2802568311
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	0	D	Optimal	true	53378.9423005886	0.000000000	0.010360	1.0000000000	9	0|3|4|8|10|11|12|13|14	1025.1806457478	72257.2631800594	10142.5776312555	90209.8733750796	97406.3053420169	118767.2377351820	0.0921088455	980.3271546302
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	0	SAA	Optimal	true	68174.7061557048	0.000000000	2.144654	60.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	1025.1806457478	70333.2571801121	8168.8375242666	85583.2447832526	93117.8551665044	114816.6501743245	0.0382889356	4546.5227017031
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	0	CSAA	Optimal	true	64813.8929537944	0.000000000	3.386303	8.3237265119	10	0|4|7|8|9|10|11|12|13|14	1025.1806457478	68210.7095984377	8241.8321985596	83426.2523700456	91146.0243276633	112748.2082345743	0.0400372427	2347.5051080443
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	0	ORACLE	Optimal	true	68505.0736008433	0.000000000	14.939364	100.0000000000	10	0|1|4|7|8|10|11|12|13|14	1025.1806457478	68005.9074525394	8302.5908339394	83385.9276806359	91034.2575890389	112658.0013247057	0.0449254455	1974.7153642174
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	1	D	Optimal	true	53378.9423005886	0.000000000	0.010360	1.0000000000	9	0|3|4|8|10|11|12|13|14	861.4109470012	55396.3536106776	8863.9733093450	72632.8850110840	77242.0756736752	86896.8522031419	0.0995563603	4264.2965352332
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	1	SAA	Optimal	true	68174.7061557048	0.000000000	2.144654	60.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	861.4109470012	54044.2915486354	6401.1598467311	67602.9673702689	72852.5796987064	82094.3313210777	0.0287268975	8164.0945182528
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	1	CSAA	Optimal	true	55253.9086017182	0.000000000	3.287341	9.3160152571	8	2|4|8|9|10|11|13|14	861.4109470012	48479.1513011084	6719.2751645676	62649.2819932441	67272.0234419691	76512.7641304067	0.0387360966	1079.5734208948
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	1	ORACLE	Optimal	true	47561.0057886749	0.000000000	14.353798	100.0000000000	8	2|4|8|9|10|11|13|14	861.4109470012	48479.1513011084	6719.2751645676	62649.2819932441	67272.0234419691	76512.7641304067	0.0387360966	1079.5734208948
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	2	D	Optimal	true	53378.9423005886	0.000000000	0.010360	1.0000000000	9	0|3|4|8|10|11|12|13|14	1111.9968570294	73276.5146098780	12115.4570802347	96628.1363862365	101357.3363490730	109867.3315967239	0.1005495104	182.8623217914
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	2	SAA	Optimal	true	68174.7061557048	0.000000000	2.144654	60.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	1111.9968570294	68609.7059096397	8855.0793493612	85946.8308399551	92259.8375419963	102199.0906603256	0.0350848890	2897.3461150888
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	2	CSAA	Optimal	true	73654.1733791249	0.000000000	1.850836	9.3175900350	11	0|2|4|7|8|9|10|11|12|13|14	1111.9968570294	68609.7059096397	8855.0793493612	85946.8308399551	92259.8375419963	102199.0906603256	0.0350848890	2897.3461150888
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	2	ORACLE	Optimal	true	67418.4641446529	0.000000000	7.657981	100.0000000000	10	0|2|4|7|8|9|10|11|12|14	1111.9968570294	68139.0538177945	9053.2099378283	86098.1638467063	92096.2477579182	102325.1193844750	0.0354230310	1181.8086433832
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	3	D	Optimal	true	53378.9423005886	0.000000000	0.010360	1.0000000000	9	0|3|4|8|10|11|12|13|14	775.7892736495	47539.1325564450	2336.5979267012	51701.3217076547	53329.8652402335	57991.0537194199	0.0148586833	4429.7794033634
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	3	SAA	Optimal	true	68174.7061557048	0.000000000	2.144654	60.0000000000	11	0|2|4|7|8|9|10|11|12|13|14	775.7892736495	53611.5846015165	3027.8702628949	59388.5747807643	61570.7352118002	66532.3814504156	0.0105764509	9579.0440322314
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	3	3	CSAA	Optimal	true	53324.2300548981	0.000000000	3.316305	8.5283727686	9	0|1|4|8|10|11|12|13|14	775.7892736495	47018.0959512998	2402.4233756783	51483.3674865079	53280.1019472362	57323.5978822628	0.0130823459	3392.4808894791
