market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44570.4398630659	0.000000000	0.013535	1.0000000000	8	2|3|4|5|6|7|8|14	635.4002903374	42570.0496047091	14890.0535939801	70260.1881317145	86597.9315487684	149339.0782097144	0.0985306839	4665.3639988330
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	62041.5884345249	0.000000000	1.499902	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	635.4002903374	45691.0937725159	11035.3601038713	64558.5309071748	81152.5269534599	141449.5326427374	0.0378411005	12028.6546201774
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	44348.1352749989	0.000000000	2.109577	7.1483005707	8	3|4|5|7|8|9|12|14	635.4002903374	41475.9030443187	11686.5405868232	61708.2122072262	77766.0639377499	141602.6977610556	0.0715988938	5862.8857071774
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	RCSAA	OPTIMAL	true	54316.3654867687	0.000000000	148.856276	7.1483005707	10	2|3|4|5|7|8|9|11|13|14	635.4002903374	42934.4335539301	11144.4971384946	61504.4995175285	78448.8159052621	139436.3549690995	0.0433133154	9003.6033794976
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	54316.3656864157	0.000000000	14.442763	7.1483005707	10	2|3|4|5|7|8|9|11|13|14	635.4002903374	42934.4335539301	11144.4971384946	61504.4995175285	78448.8159052621	139436.3549690995	0.0433133154	9003.6033794976
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	40790.4306521180	0.000000000	7.568373	100.0000000000	8	2|3|4|7|8|9|13|14	635.4002903374	39747.8600525250	12629.1673520567	63301.9204302276	79058.9836510859	144606.9251111891	0.0685467948	4166.2658213837
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44570.4398630659	0.000000000	0.013535	1.0000000000	8	2|3|4|5|6|7|8|14	205.1091791859	21540.0445246746	966.1104135974	23229.2496959639	23970.8507496785	25396.2238044813	0.0002242092	12372.6836845982
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	62041.5884345249	0.000000000	1.499902	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	205.1091791859	29862.8267667957	963.3919443573	31522.0223941450	32270.7660008964	33721.9952259835	0.0000036020	20665.1145551029
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	30583.9174553566	0.000000000	1.715523	7.5981926933	6	2|3|4|5|8|14	205.1091791859	15820.1290677453	1031.7638846081	17706.3923000393	18487.9461996382	22817.0039339887	0.0023656030	7001.1420171808
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	RCSAA	OPTIMAL	true	42371.8868213386	0.000000000	96.701982	7.5981926933	8	2|3|4|5|7|8|11|14	205.1091791859	22939.8842853974	968.4035264668	24626.7269324311	25384.8997410979	26793.7010409485	0.0002968978	13748.4045578583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	42371.8868213354	0.000000000	10.806551	7.5981926933	8	2|3|4|5|7|8|11|14	205.1091791859	22939.8842853974	968.4035264668	24626.7269324311	25384.8997410979	26793.7010409485	0.0002968978	13748.4045578583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	11654.1305499839	0.000000000	22.464993	100.0000000000	3	4|5|14	205.1091791859	11369.1562957554	3044.7539717355	17773.5492893054	20302.9459100236	29843.0900288081	0.0521269785	1529.7396804760
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44570.4398630659	0.000000000	0.013535	1.0000000000	8	2|3|4|5|6|7|8|14	1198.1943465282	70804.8690702050	22625.9143418623	114863.9878514567	131550.8449914759	167973.2771421321	0.1862099106	60.4686374069
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	62041.5884345249	0.000000000	1.499902	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	1198.1943465282	64555.8558921759	16895.7232366433	99406.7063083156	114258.3057663228	148406.3934704281	0.0894859459	2449.9368109512
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	68460.8730302441	0.000000000	1.507727	9.4927594467	11	0|1|2|3|4|5|7|8|9|13|14	1198.1943465282	63462.5853181570	16794.1741058628	99256.9423311001	113427.9770515174	148452.5708648626	0.0864684634	2049.7433190469
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	RCSAA	OPTIMAL	true	78852.2276136873	0.000000000	34.857217	9.4927594467	11	0|1|2|3|4|5|7|8|9|11|14	1198.1943465282	64440.6211561346	15184.6019847637	94512.3352945776	109848.6528435155	145061.3843995461	0.0749596149	3513.0564991990
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	C-CHI2	PrimalFeasible	true	78852.2275062005	0.000000000	9.349037	9.4927594467	11	0|1|2|3|4|5|7|8|9|11|14	1198.1943465282	64440.6211561346	15184.6019847637	94512.3352945776	109848.6528435155	145061.3843995461	0.0749596149	3513.0564991990
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	62562.7905063932	0.000000000	9.214760	100.0000000000	11	0|1|2|3|4|5|6|7|8|13|14	1198.1943465282	62786.0021447564	17190.4728981701	96195.7564675459	113751.5353861360	148514.0278931964	0.0864624046	1409.6031705583
