market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44281.4121238110	0.000000000	0.030567	1.0000000000	8	2|3|4|5|6|7|8|14	635.4002903374	47624.5284335149	25821.3441663762	95752.8652842694	127365.7135247912	264850.3564714145	0.1599290392	5605.9009779608
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	70092.3578613283	0.000000000	1.625914	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	635.4002903374	50299.4122049560	22206.2561071803	88228.1240183542	122308.4439082041	256911.0171770879	0.0918796800	12857.1941833038
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	47545.6537931523	0.000000000	1.771137	7.1483005707	8	3|4|7|8|9|12|13|14	635.4002903374	45074.0901802966	22971.3141487580	87764.8264211418	118609.8820909386	255564.5635965024	0.1261026262	5361.7492183587
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	RCSAA	OPTIMAL	true	50500.2744924287	0.000000000	177.623965	7.1483005707	9	3|4|5|7|8|9|12|13|14	635.4002903374	46153.6777099238	22822.0008558314	88101.6111404242	119538.5819754510	255161.6589751981	0.1115818784	7327.9716049588
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	50500.2738950826	0.000000000	26.661038	7.1483005707	9	3|4|5|7|8|9|12|13|14	635.4002903374	46153.6777099238	22822.0008558314	88101.6111404242	119538.5819754510	255161.6589751981	0.1115818784	7327.9716049588
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	46839.3438845732	0.000000000	6.465253	100.0000000000	9	2|3|4|7|8|9|12|13|14	635.4002903374	45090.5160291695	22600.9217685867	84311.6015689494	117967.4776781392	254573.0725511855	0.1086180448	6777.4028187610
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44281.4121238110	0.000000000	0.030567	1.0000000000	8	2|3|4|5|6|7|8|14	205.1091791859	21762.1665299472	2174.5723924164	24712.1008860906	27975.5828531900	46648.8843463531	0.0050401001	12374.9564583482
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	70092.3578613283	0.000000000	1.625914	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	205.1091791859	29982.2424566478	1643.4730661041	32925.2700713574	34503.8455939634	40114.4073523330	0.0006699100	20650.4298429436
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	32350.1382225611	0.000000000	1.831809	7.5981926933	5	3|4|5|8|14	205.1091791859	14948.0994045427	3032.6517313177	18204.3751626969	24989.8549602963	45935.9178816707	0.0195243069	5596.2679439049
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	RCSAA	OPTIMAL	true	35797.7833781327	0.000000000	163.832258	7.5981926933	6	2|3|4|5|8|14	205.1091791859	16261.3371879584	2918.2530202898	19365.6881938913	25752.5615967388	47342.0442017801	0.0162289220	7027.3692012633
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	35797.7839223883	0.000000000	28.674044	7.5981926933	6	2|3|4|5|8|14	205.1091791859	16261.3371879584	2918.2530202898	19365.6881938913	25752.5615967388	47342.0442017801	0.0162289220	7027.3692012633
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	13631.3915905262	0.000000000	24.916088	100.0000000000	4	3|4|13|14	205.1091791859	13156.1515772815	5439.1057756528	24169.5902962178	30840.0627602345	55473.4659166092	0.0727208093	2379.2666563988
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44281.4121238110	0.000000000	0.030567	1.0000000000	8	2|3|4|5|6|7|8|14	1198.1943465282	80262.1276089812	38534.3578812005	158218.4816094447	191274.2212198804	276328.0728285015	0.2598300271	462.7872521573
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	70092.3578613283	0.000000000	1.625914	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	1198.1943465282	74675.4320424564	32602.1551109768	142847.8934025071	174064.3928284415	269635.7526869255	0.1643794532	4144.1743026249
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	80101.7720925134	0.000000000	1.532707	9.4927594467	11	0|1|2|3|4|5|6|7|8|11|14	1198.1943465282	73708.7886743961	31293.2563551763	137008.2895119827	169606.6462410563	265433.3164592473	0.1491097502	4406.0559686012
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	RCSAA	OPTIMAL	true	83316.2331602273	0.000000000	133.725865	9.4927594467	11	0|1|2|3|4|5|6|7|8|11|14	1198.1943465282	73708.7886743961	31293.2563551763	137008.2895119827	169606.6462410563	265433.3164592473	0.1491097502	4406.0559686012
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	C-CHI2	PrimalFeasible	true	83316.2331678580	0.000000000	17.942740	9.4927594467	11	0|1|2|3|4|5|6|7|8|11|14	1198.1943465282	73708.7886743961	31293.2563551763	137008.2895119827	169606.6462410563	265433.3164592473	0.1491097502	4406.0559686012
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	72747.9705871146	0.000000000	8.604995	100.0000000000	11	0|1|2|3|4|5|6|7|8|13|14	1198.1943465282	73376.5734317888	33085.5918590723	139788.3358628679	173764.5014203328	263949.8396762175	0.1637898935	2915.1999932898
