market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43795.2084645013	0.000000000	0.011176	1.0000000000	8	2|3|4|5|6|7|8|14	824.8982713558	42655.4868989225	5897.6770265393	53290.4522850464	59079.9765063903	76027.6007588096	0.0394386246	662.3187191020
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	50120.2173373238	0.000000000	2.235176	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	824.8982713558	43692.2660929279	3336.5631112842	49016.8943731609	53622.2820113693	71452.5503702161	0.0037744418	4261.0851666854
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	38578.6698885224	0.000000000	3.061066	3.5098702397	8	2|3|4|7|8|9|13|14	824.8982713558	40477.6659379544	4047.1919934519	47642.0525516472	51824.2427540104	71934.1218421522	0.0159963224	276.4796378130
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	38809.8442214671	0.000000000	32.497441	3.5098702397	8	2|3|4|7|8|9|13|14	824.8982713558	40477.6659379544	4047.1919934519	47642.0525516472	51824.2427540104	71934.1218421522	0.0159963224	276.4796378130
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	40757.8075304912	0.000000000	11.671401	100.0000000000	8	2|3|4|7|8|9|13|14	824.8982713558	40477.6659379544	4047.1919934519	47642.0525516472	51824.2427540104	71934.1218421522	0.0159963224	276.4796378130
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43795.2084645013	0.000000000	0.011176	1.0000000000	8	2|3|4|5|6|7|8|14	631.2066319278	31928.0656307516	1542.7328144153	34627.4292391758	35784.4200634118	40196.8527891259	0.0037916581	3295.3791143386
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	50120.2173373238	0.000000000	2.235176	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	631.2066319278	36991.6761499560	1400.1364673597	39506.0683752197	40192.8561451587	41678.9181853924	0.0000544289	8340.7337935289
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	35782.4427360240	0.000000000	2.574609	11.4000078940	7	2|3|4|5|7|8|14	631.2066319278	30877.6868364429	1669.3574450381	33852.3291539430	35112.8439049184	38911.4344290542	0.0200244172	2056.2770305983
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	36025.3086394637	0.000000000	24.563821	11.4000078940	7	2|3|4|5|7|8|14	631.2066319278	30877.6868364429	1669.3574450381	33852.3291539430	35112.8439049184	38911.4344290542	0.0200244172	2056.2770305983
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	29428.0083990211	0.000000000	6.260616	100.0000000000	6	2|3|4|5|8|14	631.2066319278	29248.5431570016	3476.8325270329	35728.9610784802	38312.4249851494	43766.4631226847	0.0359854500	123.1750610194
