market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	44667.3461205682	0.000000000	0.016507	1.0000000000	9	2|3|4|5|6|7|8|13|14	824.8982713558	42809.7785687271	7729.6966579627	55951.3091032937	64793.1067633870	85950.9257144555	0.0331136544	1452.3122171907
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	51374.2173881247	0.000000000	2.421677	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	824.8982713558	43605.1874497952	4646.5402230682	50652.6336880139	56992.9907061912	80711.5072508728	0.0034757431	4397.3105732318
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	42218.4065678312	0.000000000	2.592463	10.9825845860	9	2|3|4|5|7|8|9|13|14	824.8982713558	40923.5652735210	5184.1994842306	49247.1738302696	56163.2753034445	80433.8797752906	0.0052650360	1969.7826076238
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	42895.1455732017	0.000000000	24.241170	10.9825845860	9	2|3|4|5|7|8|9|13|14	824.8982713558	40923.5652735210	5184.1994842306	49247.1738302696	56163.2753034445	80433.8797752906	0.0052650360	1969.7826076238
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	41191.4932398203	0.000000000	14.077196	100.0000000000	8	2|3|4|7|8|9|13|14	824.8982713558	40562.9335751058	6180.4975257599	50842.0478439465	57774.0987393800	82660.7074387693	0.0154396008	674.8944831393
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	44667.3461205682	0.000000000	0.016507	1.0000000000	9	2|3|4|5|6|7|8|13|14	631.2066319278	32790.4703683074	2414.0980804860	36759.0108133881	38979.6998960870	51536.5310355503	0.0034577787	4085.6290264878
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	51374.2173881247	0.000000000	2.421677	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	631.2066319278	37048.9866832231	2152.5750560158	40838.1592139534	42263.8546410438	47290.2860519160	0.0001262849	8296.6505631015
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	40242.8877778911	0.000000000	3.343445	21.1874681958	7	0|3|4|5|7|8|14	631.2066319278	32320.7737591643	2583.1794538854	36529.8352292645	39210.5085646628	47833.6320208279	0.0044873253	3269.4248389943
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	40957.0377304858	0.000000000	53.344691	21.1874681958	8	0|2|3|4|5|7|8|14	631.2066319278	33385.6738480590	2351.4996183021	37317.3110351750	39331.7680803407	46424.8647848741	0.0039025115	4739.3063445024
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	29922.7567150136	0.000000000	12.108413	100.0000000000	6	2|3|4|5|8|14	631.2066319278	29447.5191468844	5257.1070601996	38703.4508816943	43780.9944936623	60844.2039681837	0.0354365350	279.4416645810
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	44667.3461205682	0.000000000	0.016507	1.0000000000	9	2|3|4|5|6|7|8|13|14	1087.8332895261	49648.4115606044	8857.6194354261	65897.4269702509	73536.7991258027	86241.7651236925	0.0370119800	48.4679913321
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	51374.2173881247	0.000000000	2.421677	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1087.8332895261	49922.8041413232	6548.1400496185	61801.4659185311	67145.7807282836	75409.1531789745	0.0126660665	678.1946146024
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	54156.1713195881	0.000000000	3.506033	14.0976467154	10	0|2|3|4|5|7|8|9|13|14	1087.8332895261	49922.8041413232	6548.1400496185	61801.4659185311	67145.7807282836	75409.1531789745	0.0126660665	678.1946146024
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	C-CHI2	PrimalFeasible	true	54700.0221435122	0.000000000	18.661493	14.0976467154	11	0|2|3|4|5|6|7|8|9|13|14	1087.8332895261	50590.1741590318	5769.0263111417	61198.9558081772	65862.4315888135	73559.2452580127	0.0062275145	1337.4133727210
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	49912.2792949608	0.000000000	13.663957	100.0000000000	10	0|2|3|4|5|6|7|8|13|14	1087.8332895261	49405.1151235434	7020.9779636936	62586.6388190524	68329.6721019095	78850.6508082131	0.0159113405	364.9279153723
