market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	0	D	Optimal	true	44478.5526660960	0.000000000	0.029288	1.0000000000	9	2|3|4|5|6|7|8|13|14	824.8982713558	41867.1550422536	8103.7416900774	55537.4129845047	64534.2046643571	85787.9740592088	0.0331136544	634.9161378916
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	0	SAA	Optimal	true	50291.6205827785	0.000000000	1.972513	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	824.8982713558	41981.5997788207	4907.6506235774	49796.9885000725	56286.6618443582	80331.4107254592	0.0034757431	2701.1024311626
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	41116.0603062128	0.000000000	1.186955	10.9825845860	9	2|3|4|5|7|8|9|13|14	824.8982713558	39825.3214021540	5599.7760187842	49045.9816867113	55941.4743438330	80247.8816660552	0.0052650360	974.5833311807
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	40415.7356703502	0.000000000	9.519557	100.0000000000	9	2|3|4|5|7|8|9|13|14	824.8982713558	39825.3214021540	5599.7760187842	49045.9816867113	55941.4743438330	80247.8816660552	0.0052650360	974.5833311807
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	1	D	Optimal	true	44478.5526660960	0.000000000	0.029288	1.0000000000	9	2|3|4|5|6|7|8|13|14	631.2066319278	31368.3001414982	2533.5342779601	35507.6445590975	38104.8764140973	51308.2855469597	0.0034577787	2709.5735349593
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	1	SAA	Optimal	true	50291.6205827785	0.000000000	1.972513	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	631.2066319278	35194.5063854673	2186.9673829935	39034.7300503056	40534.9557290652	46084.6600797560	0.0001262849	6404.0190990472
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	39180.7040362028	0.000000000	1.633733	21.1874681958	8	0|2|3|4|5|7|8|14	631.2066319278	31881.4419554284	2444.6159919288	35870.2302923559	38255.0915202273	46138.5141893654	0.0039025115	3212.8456682322
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	40582.3224790053	0.000000000	24.861563	21.1874681958	8	0|2|3|4|5|7|8|14	631.2066319278	31881.4419554284	2444.6159919288	35870.2302923559	38255.0915202273	46138.5141893654	0.0039025115	3212.8456682322
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	29670.3041176130	0.000000000	9.080700	100.0000000000	6	2|3|4|5|8|14	631.2066319278	29180.4566282125	5472.1769378194	38688.6461490062	43765.0268539748	60828.7660860023	0.0354365350	66.7877054270
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	2	D	Optimal	true	44478.5526660960	0.000000000	0.029288	1.0000000000	9	2|3|4|5|6|7|8|13|14	1087.8332895261	49434.0574419463	8985.9029934870	65869.0188767074	73520.9713953435	86241.7651236925	0.0370119800	5.7563227644
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	2	SAA	Optimal	true	50291.6205827785	0.000000000	1.972513	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	1087.8332895261	49107.0093794579	6942.8877041518	61503.7242155867	66915.7337603669	75244.4829876491	0.0126660665	190.8583804471
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	53294.6646211424	0.000000000	1.390485	14.0976467154	11	0|2|3|4|5|6|7|8|9|13|14	1087.8332895261	49501.7402750877	6291.6487999833	60862.2050094919	65560.3475435838	73352.1858441563	0.0062275145	505.8737134987
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	2	C-CHI2	PrimalFeasible	true	54415.3425522289	0.000000000	7.018238	14.0976467154	11	0|2|3|4|5|6|7|8|9|13|14	1087.8332895261	49501.7402750877	6291.6487999833	60862.2050094919	65560.3475435838	73352.1858441563	0.0062275145	505.8737134987
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	49399.4863609263	0.000000000	3.994379	100.0000000000	10	0|2|3|4|5|6|7|8|13|14	1087.8332895261	48850.5352428678	7357.6522247160	62529.0356867004	68244.8429619427	78751.7292200841	0.0159113405	92.7183899571
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	3	D	Optimal	true	44478.5526660960	0.000000000	0.029288	1.0000000000	9	2|3|4|5|6|7|8|13|14	967.1303600904	49996.3010040178	11017.4560774267	72024.9786408677	77668.9158038858	91263.5506260719	0.0430065309	60.9730819176
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	3	SAA	Optimal	true	50291.6205827785	0.000000000	1.972513	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	967.1303600904	47518.2205342195	6752.6848028989	60936.7506669167	65873.9141887667	75220.2636342098	0.0053036686	789.8979921573
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	3	CSAA	Optimal	true	49596.1122150744	0.000000000	3.105125	12.8434042807	10	2|3|4|5|7|8|9|11|13|14	967.1303600904	47711.4972282620	6359.0097257530	60148.2714443812	64169.7992583732	71742.5561928005	0.0038494290	979.0592209532
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	3	C-CHI2	PrimalFeasible	true	50913.5612698403	0.000000000	15.768378	12.8434042807	10	2|3|4|5|7|8|9|11|13|14	967.1303600904	47711.4972282620	6359.0097257530	60148.2714443812	64169.7992583732	71742.5561928005	0.0038494290	979.0592209532
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	3	ORACLE	Optimal	true	48126.1287184232	0.000000000	9.643292	100.0000000000	10	2|3|4|5|7|8|9|12|13|14	967.1303600904	47473.7627809506	7630.2293726802	63598.8887531679	67661.8308525025	77099.9561084877	0.0103965095	589.7812670115
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	4	D	Optimal	true	44478.5526660960	0.000000000	0.029288	1.0000000000	9	2|3|4|5|6|7|8|13|14	596.3955313048	31161.9344825869	3846.5311756071	39149.5085843206	42524.0774501984	54993.2224939918	0.0228039961	3604.6906655429
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	4	SAA	Optimal	true	50291.6205827785	0.000000000	1.972513	60.0000000000	10	0|2|3|4|5|7|8|9|13|14	596.3955313048	33833.1200929443	2349.0002213148	37695.0375426674	40034.4676931965	51245.0315081424	0.0017093395	7089.0079338068
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	4	CSAA	Optimal	true	36474.2538624715	0.000000000	3.410396	8.1880727802	7	0|3|4|5|7|8|14	596.3955313048	29851.6637002247	2791.6422512952	34596.1289790837	37590.6733130248	50718.8828444920	0.0156770590	2553.7902685345
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	4	C-CHI2	PrimalFeasible	true	37699.8029946602	0.000000000	23.960921	8.1880727802	8	0|2|3|4|5|7|8|14	596.3955313048	30843.4474018920	2607.8303173391	35187.4949350051	37791.7429335073	50382.9765024159	0.0154331455	4010.1345748574
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_1	1	4	ORACLE	Optimal	true	28221.1634514620	0.000000000	17.125249	100.0000000000	7	1|3|4|5|8|13|14	596.3955313048	28023.1501525710	3985.1460973032	35869.9951739555	40109.3105170967	54206.8724395220	0.0203115992	1253.3948460454
