market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	D	Optimal	true	46808.3924544452	0.000000000	0.029949	1.0000000000	10	2|3|4|5|7|8|9|12|13|14	824.8982713558	44435.7642467366	22505.3586879353	86670.2140712455	118634.5597496044	202175.1047459012	0.0364220778	3334.3358118197
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	SAA	Optimal	true	60459.0858989569	0.000000000	1.589726	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	824.8982713558	47084.0310759278	20741.7494196159	86254.1765751282	115823.8643967302	191293.4930260960	0.0311962614	5846.2429827332
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	43490.3040352601	0.000000000	1.170232	10.9825845860	9	2|3|4|5|7|8|9|13|14	824.8982713558	44595.0961831324	25159.2006158902	92357.4598153004	126828.3888441258	214638.6546966940	0.0511520393	2367.6121173920
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	48749.7562120726	0.000000000	3.915498	100.0000000000	10	2|3|4|5|7|8|9|12|13|14	824.8982713558	44435.7642467366	22505.3586879353	86670.2140712455	118634.5597496044	202175.1047459012	0.0364220778	3334.3358118197
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	D	Optimal	true	46808.3924544452	0.000000000	0.029949	1.0000000000	10	2|3|4|5|7|8|9|12|13|14	631.2066319278	35244.0586996190	14287.3380863477	56136.3416643714	79124.4087030940	200041.2206402009	0.0163093712	5033.1278992769
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	SAA	Optimal	true	60459.0858989569	0.000000000	1.589726	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	631.2066319278	37907.7073265898	11724.4710910164	53574.8062208839	71371.9349701824	184941.8874821116	0.0071786408	8122.8794738268
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	46247.3650601081	0.000000000	2.074647	21.1874681958	9	0|2|3|4|5|7|8|11|14	631.2066319278	35524.8398458775	13864.8906339933	54232.4298659201	76733.5381875937	199808.0275126940	0.0154217254	5316.1728182931
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	49571.2603622033	0.000000000	24.789015	21.1874681958	9	0|2|3|4|5|7|8|11|14	631.2066319278	35524.8398458775	13864.8906339933	54232.4298659201	76733.5381875937	199808.0275126940	0.0154217254	5316.1728182931
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	34717.8888164688	0.000000000	6.044891	100.0000000000	7	2|3|4|5|7|8|14	631.2066319278	32928.7015922794	18191.7655649955	62084.1491078507	90228.8021891166	225416.0264014251	0.0525018477	1793.7365497089
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	2	D	Optimal	true	46808.3924544452	0.000000000	0.029949	1.0000000000	10	2|3|4|5|7|8|9|12|13|14	1087.8332895261	56603.4123099523	34080.9217270201	122900.3905519850	167154.4248167964	258145.4783816577	0.0811204746	1464.3342416160
