"S","lambda","design","query","ess","csaaVsSaaMean","mean","sd","q95","cvar","max","selC","selR","mqcC","mqcR"
"30","0.01","1","0","6.7418741018","0","100","100","100.00000000000001","100","100","9","0","256.6085519375","0"
"30","0.01","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","9","9","8374.7981167489","8374.7981167489"
"30","0.01","1","2","5.0766183034","0","0","0","0","0","0","9","9","1541.6029659427","1541.6029659427"
"30","0.01","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","9","9","205.7268012005","205.7268012005"
"30","0.01","2","1","5.7370916232","0","0","0","0","0","0","9","9","3790.0465285802","3790.0465285802"
"30","0.01","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","9","9","1469.9634463771","1469.9634463771"
"30","0.01","3","0","6.7418741018","1.594156608279069","0","0","0","0","0","9","9","271.1729538571","271.1729538571"
"30","0.01","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","9","9","6655.1134215733","6655.1134215733"
"30","0.01","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","9","9","2942.7563809117","2942.7563809117"
"30","0.05","1","0","6.7418741018","0","0","0","0","0","0","9","9","256.6085519375","256.6085519375"
"30","0.05","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","9","9","8374.7981167489","8374.7981167489"
"30","0.05","1","2","5.0766183034","0","0","0","0","0","0","9","9","1541.6029659427","1541.6029659427"
"30","0.05","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","9","9","205.7268012005","205.7268012005"
"30","0.05","2","1","5.7370916232","0","0","0","0","0","0","9","9","3790.0465285802","3790.0465285802"
"30","0.05","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","9","9","1469.9634463771","1469.9634463771"
"30","0.05","3","0","6.7418741018","1.594156608279069","0","0","0","0","0","9","9","271.1729538571","271.1729538571"
"30","0.05","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","9","9","6655.1134215733","6655.1134215733"
"30","0.05","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","9","9","2942.7563809117","2942.7563809117"
"30","0.1","1","0","6.7418741018","0","0","0","0","0","0","9","9","256.6085519375","256.6085519375"
"30","0.1","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","9","9","8374.7981167489","8374.7981167489"
"30","0.1","1","2","5.0766183034","0","0","0","0","0","0","9","9","1541.6029659427","1541.6029659427"
"30","0.1","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","9","9","205.7268012005","205.7268012005"
"30","0.1","2","1","5.7370916232","0","0","0","0","0","0","9","9","3790.0465285802","3790.0465285802"
"30","0.1","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","9","9","1469.9634463771","1469.9634463771"
"30","0.1","3","0","6.7418741018","1.594156608279069","100","100","100","100","100","9","0","271.1729538571","0"
"30","0.1","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","9","9","6655.1134215733","6655.1134215733"
"30","0.1","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","9","9","2942.7563809117","2942.7563809117"
"45","0.01","1","0","22.8268417807","0","0","0","0","0","0","9","9","15882.9759008614","15882.9759008614"
"45","0.01","1","1","10.3067035268","0","0","0","0","0","0","9","9","2908.9781675616","2908.9781675616"
"45","0.01","1","2","9.7634317003","0","0","0","0","0","0","9","9","257.318943405","257.318943405"
"45","0.01","2","0","22.8268417807","3.636048419825146","0","0","0","0","0","9","9","10521.5510994759","10521.5510994759"
"45","0.01","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","9","9","1109.9719619803","1109.9719619803"
"45","0.01","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","9","9","186.5401306104","186.5401306104"
"45","0.01","3","0","22.8268417807","0","0","0","0","0","0","9","9","10948.6128012013","10948.6128012013"
"45","0.01","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","9","9","4207.4759294396","4207.4759294396"
"45","0.01","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","9","9","327.1322727953","327.1322727953"
"45","0.05","1","0","22.8268417807","0","0","0","0","0","0","9","9","15882.9759008614","15882.9759008614"
"45","0.05","1","1","10.3067035268","0","0","0","0","0","0","9","9","2908.9781675616","2908.9781675616"
"45","0.05","1","2","9.7634317003","0","0","0","0","0","0","9","9","257.318943405","257.318943405"
"45","0.05","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","9","9","10521.5510994759","11800.9348852321"
"45","0.05","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","9","9","1109.9719619803","1109.9719619803"
"45","0.05","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","9","9","186.5401306104","186.5401306104"
"45","0.05","3","0","22.8268417807","0","0","0","0","0","0","9","9","10948.6128012013","10948.6128012013"
"45","0.05","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","9","9","4207.4759294396","4207.4759294396"
"45","0.05","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","9","9","327.1322727953","327.1322727953"
"45","0.1","1","0","22.8268417807","0","99.99999999999999","100","100","100","100.00000000000001","9","0","15882.9759008614","0"
"45","0.1","1","1","10.3067035268","0","0","0","0","0","0","9","9","2908.9781675616","2908.9781675616"
"45","0.1","1","2","9.7634317003","0","0","0","0","0","0","9","9","257.318943405","257.318943405"
"45","0.1","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","9","9","10521.5510994759","11800.9348852321"
"45","0.1","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","9","9","1109.9719619803","1109.9719619803"
