"tag","exit","seconds"
"S30_L0p01_D2","0","44.4"
"S30_L0p01_D1","0","44.5"
"S30_L0p01_D3","0","46.6"
"S30_L0p05_D2","0","50.3"
"S30_L0p05_D1","0","52.6"
"S30_L0p05_D3","0","52.5"
"S30_L0p1_D2","0","48.3"
"S30_L0p1_D1","0","50.5"
"S30_L0p1_D3","0","50.5"
"S45_L0p01_D1","0","46.6"
"S45_L0p01_D3","0","44.4"
"S45_L0p01_D2","0","56.8"
"S45_L0p05_D1","0","42.5"
"S45_L0p05_D3","0","42.3"
"S45_L0p05_D2","0","50.5"
"S45_L0p1_D1","0","38.5"
"S45_L0p1_D3","0","42.3"
"S45_L0p1_D2","0","50.6"
"S60_L0p01_D2","0","62.5"
"S60_L0p01_D1","0","84.8"
"S60_L0p01_D3","0","80.6"
"S60_L0p05_D2","0","70.5"
"S60_L0p05_D1","0","80.8"
"S60_L0p05_D3","0","86.9"
"S60_L0p1_D2","0","70.5"
"S60_L0p1_D1","0","84.7"
"S60_L0p1_D3","0","70.3"
