"S","lambda","design","query","ess","csaaSaa","mean","sd","q95","cvar","max","dsel","dmqc","dspot"
"30","0.01","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","0","0","0"
"30","0.01","1","2","5.0766183034","0","0","0","0","0","0","0","0","0"
"30","0.01","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","0","0","0"
"30","0.01","2","1","5.7370916232","0","0","0","0","0","0","0","0","0"
"30","0.01","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","0","0","0"
"30","0.01","3","0","6.7418741018","1.594156608279069","0","0","0","0","0","0","0","0"
"30","0.01","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","0","0","0"
"30","0.01","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","0","0","0"
"30","0.05","1","0","6.7418741018","0","0","0","0","0","0","0","0","0"
"30","0.05","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","0","0","0"
"30","0.05","1","2","5.0766183034","0","0","0","0","0","0","0","0","0"
"30","0.05","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","0","0","0"
"30","0.05","2","1","5.7370916232","0","0","0","0","0","0","0","0","0"
"30","0.05","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","0","0","0"
"30","0.05","3","0","6.7418741018","1.594156608279069","0","0","0","0","0","0","0","0"
"30","0.05","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","0","0","0"
"30","0.05","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","0","0","0"
"30","0.1","1","0","6.7418741018","0","0","0","0","0","0","0","0","0"
"30","0.1","1","1","5.7370916232","0.4881716852326604","0","0","0","0","0","0","0","0"
"30","0.1","1","2","5.0766183034","0","0","0","0","0","0","0","0","0"
"30","0.1","2","0","6.7418741018","2.2035793628642866","0","0","0","0","0","0","0","0"
"30","0.1","2","1","5.7370916232","0","0","0","0","0","0","0","0","0"
"30","0.1","2","2","5.0766183034","-0.8974562092176018","0","0","0","0","0","0","0","0"
"30","0.1","3","1","5.7370916232","0.7675119881703744","0","0","0","0","0","0","0","0"
"30","0.1","3","2","5.0766183034","1.5923078403725028","0","0","0","0","0","0","0","0"
"45","0.01","1","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.01","1","1","10.3067035268","0","0","0","0","0","0","0","0","0"
"45","0.01","1","2","9.7634317003","0","0","0","0","0","0","0","0","0"
"45","0.01","2","0","22.8268417807","3.636048419825146","0","0","0","0","0","0","0","0"
"45","0.01","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","0","0","0"
"45","0.01","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","0","0","0"
"45","0.01","3","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.01","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","0","0","0"
"45","0.01","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","0","0","0"
"45","0.05","1","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.05","1","1","10.3067035268","0","0","0","0","0","0","0","0","0"
"45","0.05","1","2","9.7634317003","0","0","0","0","0","0","0","0","0"
"45","0.05","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","0","1279.3837857561994","0.9860428000000004"
"45","0.05","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","0","0","0"
"45","0.05","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","0","0","0"
"45","0.05","3","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.05","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","0","0","0"
"45","0.05","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","0","0","0"
"45","0.1","1","1","10.3067035268","0","0","0","0","0","0","0","0","0"
"45","0.1","1","2","9.7634317003","0","0","0","0","0","0","0","0","0"
"45","0.1","2","0","22.8268417807","3.636048419825146","-3.773245451438292","-0.9606047607278928","-1.3855123281382344","-1.837309245429384","-2.212872576661409","0","1279.3837857561994","0.9860428000000004"
"45","0.1","2","1","10.3067035268","-0.08814167952176453","0","0","0","0","0","0","0","0"
"45","0.1","2","2","9.7634317003","0.6617920583983006","0","0","0","0","0","0","0","0"
"45","0.1","3","0","22.8268417807","0","0","0","0","0","0","0","0","0"
"45","0.1","3","1","10.3067035268","0.062370092909044085","0","0","0","0","0","0","0","0"
"45","0.1","3","2","9.7634317003","2.1797675184934158","0","0","0","0","0","0","0","0"
"60","0.01","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","0","0","0"
"60","0.01","1","1","7.5981926933","35.60771604048344","0","0","0","0","0","0","0","0"
"60","0.01","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","0","0","0"
