"S","lambda","n","ESS","CSAA_SAA","Mean","SD","Q95","CVaR","Max","MeanWins","All5","Changed","dSel","dMQC","dSpotPctPt"
"30","0.01","8","5.740609747925001","0.7185339094626615","0","0","0","0","0","0","0","0","0","0","0"
"30","0.05","9","5.8518613428","0.6386968084112546","0","0","0","0","0","0","0","0","0","0","0"
"30","0.1","8","5.740609747924999","0.5192643334277778","0","0","0","0","0","0","0","0","0","0","0"
"30","0.25","9","5.8518613428","0.6386968084112546","0","0","0","0","0","0","0","0","0","0","0"
"30","0.5","8","5.740609747924999","0.5192643334277778","-0.3092983914841082","0.15321003660239627","-0.25144884998269834","-0.13062125413396314","-0.0973236534456668","0","0","0","0","-3.772644576075038","0.00035369874999986034"
"45","0.01","9","14.298992335933333","0.7168707122337936","0","0","0","0","0","0","0","0","0","0","0"
"45","0.05","9","14.298992335933333","0.7168707122337936","-0.41924949460425465","-0.1067338623030992","-0.1539458142375816","-0.204145471714376","-0.24587473074015653","0","0","0","0","142.15375397291103","0.10956031111111116"
"45","0.1","8","13.2330111553375","0.8064795512630178","-0.4716556814297865","-0.1200755950909866","-0.1731890410172793","-0.229663655678673","-0.2766090720826761","0","0","0","0","159.92297321952492","0.12325535000000006"
"45","0.25","9","14.298992335933333","0.7168707122337936","-0.4725795768906171","-0.020680661033980474","-0.12033336738164195","-0.1802659944868898","-0.1486558498344307","0","0","0","0","132.41753187526658","0.05724524888888903"
"45","0.5","7","13.65105510227143","0.9127809024564425","-0.5424954570333373","0.16929010871704464","-0.046000169406118306","-0.15383934754163345","-0.163018837614024","1","1","0","0","132.77671531632848","0.06601319428571419"
"60","0.01","8","8.196182195175","14.229993955460953","0","0","0","0","0","0","0","0","0","0","0"
"60","0.05","9","8.079750903566667","13.783996489204918","0","0","0","0","0","0","0","0","0","0","0"
"60","0.1","9","8.079750903566667","13.783996489204918","-0.9433562778121372","2.378685683259277","-0.6188130051397132","-0.21043620175641142","1.455279882331673","0","0","1","0.1111111111111111","354.1335525329445","-0.09162577333333327"
"60","0.25","8","8.139945679850001","11.056031545295102","-3.308190426361545","0.9993996490735869","-2.1964260331038403","-2.2514017047360495","-1.8589124255834493","0","0","4","0.5","913.4471139216502","-0.21060277750000003"
"60","0.5","8","8.139945679850001","11.056031545295102","-8.424172751783232","5.307573287776807","-5.800575069003601","-4.809495715721436","-2.3656734385794596","0","0","5","1","2434.946477637637","-0.6780481400000001"
