"S","D","q","lambda","MeanImp","SDImp","Q95Imp","CVaRImp","MaxImp"
"30","1","0","0","0","0","0","0","0"
"30","1","1","0","0","0","0","0","0"
"30","1","2","0","0","0","0","0","0"
"30","2","0","0","0","0","0","0","0"
"30","2","1","0","0","0","0","0","0"
"30","2","2","0","0","0","0","0","0"
"30","3","0","0","0","0","0","0","0"
"30","3","1","0","0","0","0","0","0"
"30","3","2","0","0","0","0","0","0"
"45","1","0","0","0","0","0","0","0"
"45","1","1","0","0","0","0","0","0"
"45","1","2","0","0","0","0","0","0"
"45","2","0","0","0","0","0","0","0"
"45","2","1","0.5","0.45574799278219186","1.3711567103251368","0.7609991205919493","0.5455185175905741","0.19677078521170838"
"45","2","2","0","0","0","0","0","0"
"45","3","0","0","0","0","0","0","0"
"45","3","1","0","0","0","0","0","0"
"45","3","2","0","0","0","0","0","0"
"60","1","0","0","0","0","0","0","0"
"60","1","1","0","0","0","0","0","0"
"60","1","2","0","0","0","0","0","0"
"60","2","0","0","0","0","0","0","0"
"60","2","1","0","0","0","0","0","0"
"60","2","2","0","0","0","0","0","0"
"60","3","0","0","0","0","0","0","0"
"60","3","1","0","0","0","0","0","0"
"60","3","2","0","0","0","0","0","0"
