market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	0	D	Optimal	true	49946.5143185822	0.000000000	0.041653	1.0000000000	9	0|1|3|6|7|8|9|10|11	518.7375209161	38555.1816298266	6467.5420403275	50941.3878914166	58307.2825086019	83387.7544319692	0.0347562825	10507.2942345150
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	0	SAA	Optimal	true	72942.7027176975	0.000000000	1.776407	60.0000000000	9	0|1|3|6|7|8|9|10|11	518.7375209161	38555.1816298266	6467.5420403275	50941.3878914166	58307.2825086019	83387.7544319692	0.0347562825	10507.2942345150
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	40556.3531219988	0.000000000	2.317541	7.1483005707	7	0|1|3|7|8|10|11	518.7375209161	35537.4587699700	7780.3159705814	50582.9661803871	58989.5456184999	84688.3847246242	0.0603892905	5812.6901876017
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	0	C-CHI2	PrimalFeasible	true	41986.1256097409	0.000000000	22.245990	7.1483005707	8	0|1|3|7|8|9|10|11	518.7375209161	36450.2494953923	7712.3673391598	51484.5464989451	59669.2765244902	85948.0690454779	0.0563658371	7074.6396124433
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	34044.1561045822	0.000000000	7.897689	100.0000000000	7	0|1|3|7|8|10|11	518.7375209161	35537.4587699700	7780.3159705814	50582.9661803871	58989.5456184999	84688.3847246242	0.0603892905	5812.6901876017
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	1	D	Optimal	true	49946.5143185822	0.000000000	0.041653	1.0000000000	9	0|1|3|6|7|8|9|10|11	195.9134102532	25818.6729417673	860.0388003568	27438.9854915716	27947.1928933795	28824.7465800897	0.0000000000	16470.8682461637
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	1	SAA	Optimal	true	72942.7027176975	0.000000000	1.776407	60.0000000000	9	0|1|3|6|7|8|9|10|11	195.9134102532	25818.6729417673	860.0388003568	27438.9854915716	27947.1928933795	28824.7465800897	0.0000000000	16470.8682461637
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	31934.4152563742	0.000000000	2.802168	7.5981926933	6	0|1|8|9|10|11	195.9134102532	17510.9963171341	1110.7369186353	19646.6885498184	20739.2883059202	22615.3432107141	0.0046842737	7909.2141388261
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	1	C-CHI2	PrimalFeasible	true	33511.1252107696	0.000000000	25.308595	7.5981926933	6	0|1|8|9|10|11	195.9134102532	17510.9963171341	1110.7369186353	19646.6885498184	20739.2883059202	22615.3432107141	0.0046842737	7909.2141388261
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	12797.0024911222	0.000000000	9.501931	100.0000000000	3	0|1|10	195.9134102532	12545.2050865033	2083.3021500475	16775.9041227528	19082.6610801007	24977.4992672267	0.0405944481	1931.8756599024
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	2	D	Optimal	true	49946.5143185822	0.000000000	0.041653	1.0000000000	9	0|1|3|6|7|8|9|10|11	1368.9345813490	96359.8992757170	29743.2514887024	155870.0803650169	171524.1450861437	209456.8879397879	0.1783989894	246.8065370363
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	2	SAA	Optimal	true	72942.7027176975	0.000000000	1.776407	60.0000000000	9	0|1|3|6|7|8|9|10|11	1368.9345813490	96359.8992757170	29743.2514887024	155870.0803650169	171524.1450861437	209456.8879397879	0.1783989894	246.8065370363
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	85877.2796394189	0.000000000	1.442916	9.4927594467	9	0|3|4|6|7|8|9|10|11	1368.9345813490	94023.5644870390	28043.4166456102	148367.5893400756	165136.2788229030	195830.7968408950	0.1614183886	545.5789309202
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	2	C-CHI2	PrimalFeasible	true	87290.7675321550	0.000000000	8.290932	9.4927594467	9	0|3|4|6|7|8|9|10|11	1368.9345813490	94023.5644870390	28043.4166456102	148367.5893400756	165136.2788229030	195830.7968408950	0.1614183886	545.5789309202
PERSISTENT_WIDE_MQC_1.60_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	94456.8660716819	0.000000000	6.789578	100.0000000000	9	0|3|4|6|7|8|9|10|11	1368.9345813490	94023.5644870390	28043.4166456102	148367.5893400756	165136.2788229030	195830.7968408950	0.1614183886	545.5789309202
