"M","P","D","q","ess","CSAA_SAA","Mean","SD","Q95","CVaR","Max","SelC","SelR","Same","dMQC","dSpot"
"1.6","1.5","1","1","7.5981926933","31.43998385383465","-6.151742381559689","1.2986595013388431","-5.442995799957834","-5.090859537576295","-4.116039217512234","6","7","False","1586.9254516776","-0.0004060700000000034"
"1.6","1.5","1","2","9.4927594467","-0.9840500686449181","0","0","0","0","0","9","9","True","0","0"
"1.6","1.5","2","0","7.1483005707","9.210681700165988","0","0","0","0","0","7","7","True","0","0"
"1.6","1.5","2","1","7.5981926933","32.365014337921","0","0","0","0","0","6","6","True","0","0"
"1.6","1.5","2","2","9.4927594467","0","0","0","0","0","0","9","9","True","0","0"
"1.6","1.5","3","0","7.1483005707","7.827022808062886","-2.568531225968337","0.8733402560837334","-1.7823793000648052","-1.1522904590353813","-1.487434581436094","7","8","False","1261.9494248416004","-0.40234533999999944"
"1.6","1.5","3","1","7.5981926933","32.17700864552853","0","0","0","0","0","6","6","True","0","0"
"1.6","1.5","3","2","9.4927594467","2.4245923939718916","0","0","0","0","0","9","9","True","0","0"
"1.6","1.75","1","0","7.1483005707","0","0","0","0","0","0","9","9","True","0","0"
"1.6","1.75","1","1","7.5981926933","27.215115240271846","0","0","0","0","0","7","7","True","0","0"
"1.6","1.75","1","2","9.4927594467","-1.460624337780316","0","0","0","0","0","9","9","True","0","0"
"1.6","1.75","2","0","7.1483005707","6.2822501523401835","0","0","0","0","0","8","8","True","0","0"
"1.6","1.75","2","1","7.5981926933","32.30890634963608","-8.957677804454985","0.2824139417038582","-7.526819475043735","-7.015393227465116","-4.847053207905183","6","7","False","1685.6155669536001","-0.05674008999999999"
"1.6","1.75","2","2","9.4927594467","0","0","0","0","0","0","9","9","True","0","0"
"1.6","1.75","3","0","7.1483005707","4.607770601333451","0","0","0","0","0","8","8","True","0","0"
"1.6","1.75","3","1","7.5981926933","26.609993217443506","-7.891461305774973","21.13571444303707","-4.814081199593583","-1.7860216532369126","3.561183268428649","7","7","False","1584.6344549268997","-0.44960179000000006"
"1.6","1.75","3","2","9.4927594467","2.944097627106671","0","0","0","0","0","9","9","True","0","0"
"1.75","1.75","1","0","7.1483005707","1.670849045098021","-1.6992407936730225","0.8052219339209156","-1.3282310715866499","-0.5284358620805892","-0.18204702058316105","8","9","False","2088.5532419389983","-1.444088510000001"
"1.75","1.75","1","1","7.5981926933","31.940614145011928","-6.324586225768866","1.3011781420482829","-5.613452173053565","-5.298869101589476","-4.254754430266614","6","7","False","1724.863602384501","-0.0004060700000000034"
"1.75","1.75","1","2","9.4927594467","-1.2269163945576247","0","0","0","0","0","9","9","True","0","0"
"1.75","1.75","2","0","7.1483005707","9.222703766659492","-2.4213939036683225","4.516848045327303","2.1556895595311647","0.5522941220869283","0.6105481708840005","7","8","False","1699.0897405242004","-1.177531300000001"
"1.75","1.75","2","1","7.5981926933","33.195332770636576","0","0","0","0","0","6","6","True","0","0"
"1.75","1.75","2","2","9.4927594467","0","0","0","0","0","0","9","9","True","0","0"
"1.75","1.75","3","0","7.1483005707","5.281564248400614","0","0","0","0","0","8","8","True","0","0"
"1.75","1.75","3","1","7.5981926933","32.79931610402971","-8.305704721893465","1.3976016177052464","-7.453664399533715","-6.554823588415889","-6.401541220110075","6","7","False","1543.6311720956","-0.008745449999999957"
"1.75","1.75","3","2","9.4927594467","2.599019533070504","0","0","0","0","0","9","9","True","0","0"
"1.75","1.5","1","0","7.1483005707","2.1279559220206177","0","0","0","0","0","8","8","True","0","0"
"1.75","1.5","1","1","7.5981926933","35.60771604048344","0","0","0","0","0","6","6","True","0","0"
"1.75","1.5","1","2","9.4927594467","-0.749616567685151","0","0","0","0","0","9","9","True","0","0"
"1.75","1.5","2","0","7.1483005707","10.216016759156641","0","0","0","0","0","7","7","True","0","0"
"1.75","1.5","2","1","7.5981926933","33.247948331134644","0","0","0","0","0","6","6","True","0","0"
"1.75","1.5","2","2","9.4927594467","0","0","0","0","0","0","9","9","True","0","0"
"1.75","1.5","3","0","7.1483005707","8.66502552389438","0","0","0","0","0","7","7","True","0","0"
"1.75","1.5","3","1","7.5981926933","32.88080712397771","0","0","0","0","0","6","6","True","0","0"
"1.75","1.5","3","2","9.4927594467","2.06011526986198","0","0","0","0","0","9","9","True","0","0"
