market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	D	Optimal	true	51838.4392445673	0.000000000	0.027752	1.0000000000	8	0|1|3|6|7|8|10|11	518.7375209161	39257.2178462262	7890.5480277762	54991.4502482108	63428.0244382775	82559.3440861389	0.0377997063	11079.6252478483
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	SAA	Optimal	true	76000.7677039327	0.000000000	1.403924	60.0000000000	9	0|1|3|6|7|8|9|10|11	518.7375209161	40313.7093357158	7776.8643896413	55514.5338890270	64222.6106967928	83954.0543334717	0.0341046086	12461.9285177365
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	41706.1617291125	0.000000000	1.920733	7.1483005707	8	0|1|3|7|8|9|10|11	518.7375209161	37785.5723348784	9208.4693836225	56008.0580440573	65650.2487230497	86181.5029139889	0.0549076864	8657.2962580166
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	C-CHI2	PrimalFeasible	true	43228.0871178777	0.000000000	16.049398	7.1483005707	8	0|1|3|7|8|9|10|11	518.7375209161	37785.5723348784	9208.4693836225	56008.0580440573	65650.2487230497	86181.5029139889	0.0549076864	8657.2962580166
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	35596.0729102436	0.000000000	7.931675	100.0000000000	6	0|1|7|8|10|11	518.7375209161	36952.8973061154	10993.4001716849	58324.5124835064	69667.9026093355	92260.7694059398	0.0792453772	5363.0871893905
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	D	Optimal	true	51838.4392445673	0.000000000	0.027752	1.0000000000	8	0|1|3|6|7|8|10|11	195.9134102532	26345.6421835126	1161.2753118070	28250.8125314926	29243.8803908743	31970.8008092710	0.0001410565	16969.2548421864
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	SAA	Optimal	true	76000.7677039327	0.000000000	1.403924	60.0000000000	9	0|1|3|6|7|8|9|10|11	195.9134102532	27746.3141707364	1148.6235415265	29655.4550057303	30581.6880157972	33375.4432835087	0.0000000000	18371.3212984766
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	33437.7570698602	0.000000000	3.015020	7.5981926933	6	0|1|8|9|10|11	195.9134102532	18622.0940353541	1390.8556961323	21160.0088713370	22440.9735279060	26221.4058463594	0.0043611540	8998.2396495608
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	C-CHI2	PrimalFeasible	true	35137.2765854783	0.000000000	25.748304	7.5981926933	6	0|1|8|9|10|11	195.9134102532	18622.0940353541	1390.8556961323	21160.0088713370	22440.9735279060	26221.4058463594	0.0043611540	8998.2396495608
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	13324.2476756783	0.000000000	9.372386	100.0000000000	3	0|1|10	195.9134102532	13064.5823638241	2511.4534621473	17358.2455744706	20644.3509434747	34235.8845005713	0.0397412910	2441.6247240061
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	D	Optimal	true	51838.4392445673	0.000000000	0.027752	1.0000000000	8	0|1|3|6|7|8|10|11	1368.9345813490	102649.0007915139	41598.1818375332	183379.9115072194	212710.8164103818	276506.9392900775	0.2148839366	868.8440735410
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	SAA	Optimal	true	76000.7677039327	0.000000000	1.403924	60.0000000000	9	0|1|3|6|7|8|9|10|11	1368.9345813490	97487.4951703603	38501.2642953491	172969.1477489441	200198.0417270208	259011.3284993032	0.1794849281	1313.9480682176
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	91158.5957625036	0.000000000	1.562275	9.4927594467	9	0|3|4|6|7|8|9|10|11	1368.9345813490	95521.2482521479	36073.3688209075	162927.8870940871	193112.0209160826	246474.0880446208	0.1623222330	2063.3525267824
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	C-CHI2	PrimalFeasible	true	92737.1533217772	0.000000000	8.572366	9.4927594467	9	0|3|4|6|7|8|9|10|11	1368.9345813490	95521.2482521479	36073.3688209075	162927.8870940871	193112.0209160826	246474.0880446208	0.1623222330	2063.3525267824
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	96728.7047236412	0.000000000	8.766279	100.0000000000	9	0|3|4|6|7|8|9|10|11	1368.9345813490	95521.2482521479	36073.3688209075	162927.8870940871	193112.0209160826	246474.0880446208	0.1623222330	2063.3525267824
