market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	D	Optimal	true	52768.6522145196	0.000000000	0.020951	1.0000000000	9	0|3|4|8|10|11|12|13|14	518.7375209161	39155.4928078826	6250.4689806554	51064.7107328447	59320.2746017429	83422.7283825151	0.0240399226	9508.8210766371
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	SAA	Optimal	true	75600.5457722463	0.000000000	1.655216	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	518.7375209161	43875.6085731084	5600.7117620581	54048.3719781277	61459.0520316194	86973.7700247294	0.0140045422	14678.4138036923
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	41990.6126485471	0.000000000	4.241143	7.1483005707	7	0|1|8|10|11|12|13	518.7375209161	36527.7434690879	8144.0591684419	52188.2033855913	61949.6297189171	88108.7105686074	0.0534787673	4338.3478654345
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	C-CHI2	PrimalFeasible	true	43639.5766894630	0.000000000	33.493315	7.1483005707	7	0|1|8|10|11|12|13	518.7375209161	36527.7434690879	8144.0591684419	52188.2033855913	61949.6297189171	88108.7105686074	0.0534787673	4338.3478654345
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	34079.6328242096	0.000000000	13.466351	100.0000000000	6	1|8|10|11|13|14	518.7375209161	35724.5650259121	8808.9262862449	52377.0536171190	62351.6627032256	89305.8091023124	0.0733055979	2801.4446479825
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	D	Optimal	true	52768.6522145196	0.000000000	0.020951	1.0000000000	9	0|3|4|8|10|11|12|13|14	195.9134102532	26622.3277118004	907.6852107131	28288.6526556546	28854.6467136694	30319.9520450876	0.0000281305	16041.2002496414
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	SAA	Optimal	true	75600.5457722463	0.000000000	1.655216	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	195.9134102532	31965.8092184568	905.5752067304	33633.5576246578	34182.3004725081	35655.8322024375	0.0000000000	21370.4618695742
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	33288.1281806868	0.000000000	5.557343	7.5981926933	6	0|8|10|11|12|13	195.9134102532	19366.8676829348	1127.2800437157	21337.0046512469	22238.1948292558	26500.3708775312	0.0018007197	8865.6039110398
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	C-CHI2	PrimalFeasible	true	34881.1475259601	0.000000000	42.182919	7.5981926933	6	0|8|10|11|12|13	195.9134102532	19366.8676829348	1127.2800437157	21337.0046512469	22238.1948292558	26500.3708775312	0.0018007197	8865.6039110398
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	13744.3796372724	0.000000000	35.995693	100.0000000000	3	1|8|10	195.9134102532	13515.6132743989	1744.1067006993	16444.0263137431	18838.2282438385	23000.8801876614	0.0309103047	1879.3455495741
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	D	Optimal	true	52768.6522145196	0.000000000	0.020951	1.0000000000	9	0|3|4|8|10|11|12|13|14	1368.9345813490	104943.0757952934	33377.1417693967	170534.5245628814	188785.1238872035	217227.9619971632	0.1821886057	152.3952089823
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	SAA	Optimal	true	75600.5457722463	0.000000000	1.655216	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1368.9345813490	96929.3009584463	29057.3201755007	158320.4167669724	172834.9772959582	199314.4192677822	0.1167182333	1625.2731383978
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	89624.6862867271	0.000000000	3.350978	9.4927594467	11	0|3|4|7|8|9|10|11|12|13|14	1368.9345813490	96929.3009584463	29057.3201755007	158320.4167669724	172834.9772959582	199314.4192677822	0.1167182333	1625.2731383978
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	C-CHI2	PrimalFeasible	true	90977.6494489022	0.000000000	23.748182	9.4927594467	11	0|4|6|7|8|9|10|11|12|13|14	1368.9345813490	96285.4888808835	27356.7082710751	153565.0490118352	169367.0379498209	193603.0055695546	0.0940406224	2072.1791889882
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	95942.1090972883	0.000000000	11.686914	100.0000000000	11	0|4|6|7|8|9|10|11|12|13|14	1368.9345813490	96285.4888808835	27356.7082710751	153565.0490118352	169367.0379498209	193603.0055695546	0.0940406224	2072.1791889882
