market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	D	Optimal	true	54017.3443247463	0.000000000	0.032462	1.0000000000	9	0|3|4|8|10|11|12|13|14	518.7375209161	38998.4774301961	7470.5912663341	53896.5655673898	62798.9467267166	82310.9865096217	0.0232876870	9570.7744476622
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	SAA	Optimal	true	77369.0573460680	0.000000000	1.822624	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	518.7375209161	43709.1808152029	6642.8220806150	57028.8991468495	64483.4203945060	85846.9494844668	0.0130673500	14738.7871755256
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	CSAA	Optimal	true	41978.2664671409	0.000000000	5.464771	7.1483005707	7	0|1|8|10|11|12|13	518.7375209161	36340.5868544899	9888.8167808559	56934.6483219856	66707.0940849291	87119.8235819300	0.0521723459	4391.9967914409
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	C-CHI2	PrimalFeasible	true	43736.6748530848	0.000000000	47.703758	7.1483005707	8	0|1|3|8|10|11|12|13	518.7375209161	37018.5380423676	8724.8267254124	54642.0130882152	64306.7824834665	81284.1677246280	0.0339904847	6616.9354064556
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	0	ORACLE	Optimal	true	34483.6242471077	0.000000000	15.879861	100.0000000000	6	1|8|10|11|13|14	518.7375209161	35579.0544052531	10893.1781230467	56796.5556854767	68561.8082465568	88125.6207073837	0.0723907560	2883.3642479302
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	D	Optimal	true	54017.3443247463	0.000000000	0.032462	1.0000000000	9	0|3|4|8|10|11|12|13|14	195.9134102532	26637.3596940836	1193.3400522056	28593.1530223939	29580.9321729985	32524.3139291745	0.0001816410	16028.9082405037
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	SAA	Optimal	true	77369.0573460680	0.000000000	1.822624	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	195.9134102532	31977.2166819842	1175.4565220536	33938.0578397671	34833.6664268573	37868.2854852448	0.0000000000	21357.8622421611
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	CSAA	Optimal	true	33910.7678483636	0.000000000	5.683734	7.5981926933	6	0|8|10|11|12|13	195.9134102532	19386.9382904030	1531.8548772910	21713.4660269903	23376.4263738866	30010.9858886708	0.0020708257	8854.0089778160
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	C-CHI2	PrimalFeasible	true	35652.4117058512	0.000000000	55.776416	7.5981926933	6	0|8|10|11|12|13	195.9134102532	19386.9382904030	1531.8548772910	21713.4660269903	23376.4263738866	30010.9858886708	0.0020708257	8854.0089778160
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	1	ORACLE	Optimal	true	13799.5140474512	0.000000000	46.126398	100.0000000000	3	1|8|10	195.9134102532	13539.7976305196	2305.4332000628	17436.8335544500	20197.8337690347	33826.9393170022	0.0305518448	1873.0562975019
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	D	Optimal	true	54017.3443247463	0.000000000	0.032462	1.0000000000	9	0|3|4|8|10|11|12|13|14	1368.9345813490	105200.2029806973	43265.2248334714	186000.3672644268	220559.1945765565	279677.4649273229	0.1824658193	377.3122711464
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	SAA	Optimal	true	77369.0573460680	0.000000000	1.822624	60.0000000000	11	0|3|4|7|8|9|10|11|12|13|14	1368.9345813490	97296.5787911370	37134.1799444108	167968.6020296122	199937.3855328731	249649.4296886606	0.1171651807	2069.8337824678
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	CSAA	Optimal	true	94288.9159057925	0.000000000	4.000880	9.4927594467	11	0|3|4|7|8|9|10|11|12|13|14	1368.9345813490	97296.5787911370	37134.1799444108	167968.6020296122	199937.3855328731	249649.4296886606	0.1171651807	2069.8337824678
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	C-CHI2	PrimalFeasible	true	95973.0121628348	0.000000000	19.958125	9.4927594467	11	0|3|4|7|8|9|10|11|12|13|14	1368.9345813490	97296.5787911370	37134.1799444108	167968.6020296122	199937.3855328731	249649.4296886606	0.1171651807	2069.8337824678
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3	1	2	ORACLE	Optimal	true	97030.5115466917	0.000000000	10.631758	100.0000000000	11	0|4|6|7|8|9|10|11|12|13|14	1368.9345813490	96705.2451806022	34816.8521373963	161195.2189535522	194464.7827634960	242922.1860431321	0.0944786706	2626.7094674183
