market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	17	D	Optimal	true	51379.2738187930	0.000000000	0.024398	1.0000000000	8	2|3|4|5|7|8|12|14	1379.1359816306	115003.0346223234	79458.0218065368	325324.1530383456	391162.2454836135	569580.1627665967	0.2087219981	527.5250939403
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	17	SAA	Optimal	true	67074.2796574775	0.000000000	4.579408	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	1379.1359816306	103264.3974095783	71806.7590112993	296677.0924632755	358466.1568169629	534433.3914884030	0.1233857126	1099.2787458492
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	17	CSAA	Optimal	true	78389.0734997022	0.000000000	2.367252	31.7904206297	11	1|2|3|4|5|6|7|8|9|12|14	1379.1359816306	102844.5740932790	68172.6564109765	285859.6152002294	346528.6919376559	518329.3388353605	0.1100804598	3564.0271159952
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	17	C-CHI2	PrimalFeasible	true	80152.3496622891	0.000000000	12.000945	31.7904206297	11	1|2|3|4|5|6|7|8|9|12|14	1379.1359816306	102844.5740932790	68172.6564109765	285859.6152002294	346528.6919376559	518329.3388353605	0.1100804598	3564.0271159952
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	17	ORACLE	Optimal	true	103433.2053424204	0.000000000	11.094585	100.0000000000	11	2|4|5|6|7|8|9|10|11|12|14	1379.1359816306	100134.6569401666	64061.7448638988	270391.4084514188	331804.1068644225	504686.4768221343	0.0841691675	4381.2002755197
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	5	D	Optimal	true	51379.2738187930	0.000000000	0.024398	1.0000000000	8	2|3|4|5|7|8|12|14	1253.4005958190	88428.1743454583	59448.0810189289	246098.2295745878	296082.3042701081	425876.3936741148	0.1868604262	1509.1068657608
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	5	SAA	Optimal	true	67074.2796574775	0.000000000	4.579408	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	1253.4005958190	83074.5615906733	52073.6048017903	219846.2428534958	268831.1803794485	394180.8400953544	0.1240496550	3116.7518047660
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	5	CSAA	Optimal	true	67986.8345880117	0.000000000	3.438221	26.5542140972	10	1|3|4|5|6|7|8|9|12|14	1253.4005958190	81797.7577731844	53771.3140445923	224200.5340037792	273914.8880125268	396801.5111597845	0.1096670194	3230.7395883143
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	5	C-CHI2	PrimalFeasible	true	69397.7804458298	0.000000000	18.497533	26.5542140972	10	1|3|4|5|6|7|8|9|12|14	1253.4005958190	81797.7577731844	53771.3140445923	224200.5340037792	273914.8880125268	396801.5111597845	0.1096670194	3230.7395883143
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	5	ORACLE	Optimal	true	77923.0363964688	0.000000000	7.855307	100.0000000000	10	0|1|3|4|6|7|8|9|12|14	1253.4005958190	80841.8106307904	53318.4239444371	223041.1290234269	272105.1264321192	391004.2584854083	0.1176240519	2902.6803111316
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	23	D	Optimal	true	51379.2738187930	0.000000000	0.024398	1.0000000000	8	2|3|4|5|7|8|12|14	1217.3014100337	89249.9094296537	59413.7610715860	246871.2096169685	291273.9594272582	419340.2184701018	0.1527961830	1351.2752216591
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	23	SAA	Optimal	true	67074.2796574775	0.000000000	4.579408	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	1217.3014100337	82172.3940073743	50481.5384370413	217055.2247185650	258646.7839429515	388021.0993792872	0.0817083890	2869.8252478225
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	23	CSAA	Optimal	true	74891.5376999436	0.000000000	2.187871	32.8922829328	11	1|2|3|4|5|6|7|8|9|12|14	1217.3014100337	82371.4782755980	46791.2300707578	207518.1832570033	246370.0622482200	377236.6044027086	0.0679367284	5878.8870569443
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	23	C-CHI2	PrimalFeasible	true	76562.3665204812	0.000000000	6.959338	32.8922829328	11	1|2|3|4|5|6|7|8|9|12|14	1217.3014100337	82371.4782755980	46791.2300707578	207518.1832570033	246370.0622482200	377236.6044027086	0.0679367284	5878.8870569443
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	23	ORACLE	Optimal	true	83074.5363610415	0.000000000	11.505901	100.0000000000	11	1|2|3|4|6|7|8|9|10|12|14	1217.3014100337	81673.2965906968	46586.0483453706	204568.0317236689	245219.2721748177	371489.4269036243	0.0680061905	5210.0100495410
