market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	D	Optimal	true	46484.9413507172	0.000000000	0.059136	1.0000000000	8	3|4|7|8|9|12|15|17	799.7446981465	47881.1246570772	25355.7338241368	113781.8236274546	138331.2589038645	198686.5307172285	0.0622239853	4963.5384245467
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	SAA	Optimal	true	59679.9894015125	0.000000000	5.189794	60.0000000000	10	3|4|6|7|8|11|12|15|17|19	799.7446981465	49347.8244352613	19603.2025282739	100278.0828039658	118943.8233968981	173249.7734862735	0.0370469369	8739.0397074693
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	CSAA	Optimal	true	54702.9742607452	0.000000000	7.130043	34.1377934519	10	3|4|6|7|8|11|12|15|17|19	799.7446981465	49347.8244352613	19603.2025282739	100278.0828039658	118943.8233968981	173249.7734862735	0.0370469369	8739.0397074693
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	C-CHI2	PrimalFeasible	true	55980.6143303383	0.000000000	43.509901	34.1377934519	10	3|4|6|7|8|11|12|15|17|19	799.7446981465	49347.8244352613	19603.2025282739	100278.0828039658	118943.8233968981	173249.7734862735	0.0370469369	8739.0397074693
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	ORACLE	Optimal	true	45556.0335142103	0.000000000	29.165400	100.0000000000	8	2|3|4|8|12|15|17|19	799.7446981465	47172.1968611693	25956.2585826048	111535.4391906989	140938.8839866673	206099.4686771383	0.0541951873	4151.1734912233
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	D	Optimal	true	46484.9413507172	0.000000000	0.059136	1.0000000000	8	3|4|7|8|9|12|15|17	644.4937555283	40515.9646142349	17059.2753532844	83505.5661685340	101951.2802371042	128126.6181756002	0.0330480372	6944.9741032461
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	SAA	Optimal	true	59679.9894015125	0.000000000	5.189794	60.0000000000	10	3|4|6|7|8|11|12|15|17|19	644.4937555283	43325.6000679241	12869.4866108414	74493.3063138724	89124.8915524911	115841.6743484883	0.0166966324	10794.2279183431
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	CSAA	Optimal	true	55157.4579632848	0.000000000	6.784938	40.4430620241	10	3|4|6|7|8|11|12|15|17|19	644.4937555283	43325.6000679241	12869.4866108414	74493.3063138724	89124.8915524911	115841.6743484883	0.0166966324	10794.2279183431
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	C-CHI2	PrimalFeasible	true	56590.8247967594	0.000000000	38.083289	40.4430620241	10	3|4|6|7|8|11|12|15|17|19	644.4937555283	43325.6000679241	12869.4866108414	74493.3063138724	89124.8915524911	115841.6743484883	0.0166966324	10794.2279183431
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	ORACLE	Optimal	true	38527.3939327721	0.000000000	24.438701	100.0000000000	7	3|4|7|8|12|15|17	644.4937555283	39647.9363680021	19797.6735040188	91661.9870560575	110142.3075030722	140156.9830550306	0.0547045565	5152.2328459833
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	D	Optimal	true	46484.9413507172	0.000000000	0.059136	1.0000000000	8	3|4|7|8|9|12|15|17	1130.9112934879	67892.4195537164	50677.5047795083	196730.6626603486	247006.6761237000	404681.8579717793	0.1284767309	1095.8357535847
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	SAA	Optimal	true	59679.9894015125	0.000000000	5.189794	60.0000000000	10	3|4|6|7|8|11|12|15|17|19	1130.9112934879	64279.6168620755	41939.3014948448	165369.2136300122	214527.0402124248	362249.4642288965	0.0770980371	4144.4082133474
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	CSAA	Optimal	true	64418.3673140391	0.000000000	5.804106	36.6161248370	11	2|3|4|6|7|8|11|12|15|17|19	1130.9112934879	63988.2004669015	38114.9374346022	153828.6101387630	201299.9632287966	348927.4849936073	0.0571659188	5874.1042525147
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	C-CHI2	PrimalFeasible	true	65975.2586686677	0.000000000	26.812991	36.6161248370	11	2|3|4|6|7|8|11|12|15|17|19	1130.9112934879	63988.2004669015	38114.9374346022	153828.6101387630	201299.9632287966	348927.4849936073	0.0571659188	5874.1042525147
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	ORACLE	Optimal	true	67317.2836117739	0.000000000	30.843584	100.0000000000	11	2|3|4|6|7|8|12|13|15|17|19	1130.9112934879	63804.9761425605	39123.7974328682	157134.6405745204	204443.9218623244	360705.8343872749	0.0560563132	5293.6698296172
