market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	0	D	Optimal	true	51514.6842389000	0.000000000	0.054734	1.0000000000	9	0|3|4|8|10|11|12|13|14	763.2685338323	50253.2896420021	22107.4920339543	112446.9212619721	126769.1886010385	168465.9345772025	0.0410865281	5514.3149638731
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	0	SAA	Optimal	true	65666.2130996358	0.000000000	4.050191	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	763.2685338323	53535.3759101308	18770.2545552634	105962.4308267370	118611.7532613314	163179.1610957768	0.0254955289	9311.8628359851
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	0	CSAA	Optimal	true	59009.0565548440	0.000000000	5.576856	34.1377934519	9	0|3|4|8|10|11|12|13|14	763.2685338323	50253.2896420021	22107.4920339543	112446.9212619721	126769.1886010385	168465.9345772025	0.0410865281	5514.3149638731
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	0	C-CHI2	PrimalFeasible	true	60546.9695184852	0.000000000	39.547652	34.1377934519	10	0|1|4|8|9|10|11|12|13|14	763.2685338323	51502.4600804576	21637.9113269612	112493.3313869304	126631.3798677467	171066.8252891591	0.0392585879	6388.1593727186
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	0	ORACLE	Optimal	true	48350.1757364439	0.000000000	26.511999	100.0000000000	8	0|1|8|10|11|12|13|14	763.2685338323	49696.3375199122	25403.8508392727	119897.6185947381	136907.5225066163	183412.1430965687	0.0611509651	2807.2971762651
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	1	D	Optimal	true	51514.6842389000	0.000000000	0.054734	1.0000000000	9	0|3|4|8|10|11|12|13|14	598.9604495079	41383.9578837629	12351.7523044990	72522.2682459622	84536.5999988429	101613.6284813007	0.0214745223	7974.0392716028
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	1	SAA	Optimal	true	65666.2130996358	0.000000000	4.050191	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	598.9604495079	45147.0219761535	10128.0099000422	71178.1075845976	80157.6811870100	98882.5828847051	0.0090387482	11989.9287444831
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	1	CSAA	Optimal	true	58630.8157488117	0.000000000	5.957348	40.4430620241	9	0|1|4|8|10|11|12|13|14	598.9604495079	40834.1742808199	12639.2527944862	73420.4625966728	84975.0937154243	102548.2594724989	0.0216792551	7086.9311110806
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	1	C-CHI2	PrimalFeasible	true	60263.5578190050	0.000000000	30.654413	40.4430620241	10	0|1|4|8|9|10|11|12|13|14	598.9604495079	42262.2713005690	11435.4712020124	71783.9520641065	82309.7827926201	102533.3972933016	0.0153691962	8847.1601094524
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	1	ORACLE	Optimal	true	36695.0080200104	0.000000000	15.274469	100.0000000000	6	1|8|10|11|13|14	598.9604495079	38099.4356630771	19470.5658383937	88905.8282826038	104648.7370033427	128841.2240577494	0.0605260928	1720.5620071988
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	2	D	Optimal	true	51514.6842389000	0.000000000	0.054734	1.0000000000	9	0|3|4|8|10|11|12|13|14	1202.2317001666	84034.7446681153	51919.3844054857	225411.1022954829	262416.3539490608	310803.3139114421	0.1267276061	411.2067608798
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	2	SAA	Optimal	true	65666.2130996358	0.000000000	4.050191	60.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1202.2317001666	80792.5602584616	45610.5984678675	200823.6764584220	240381.1425494717	285285.6734328553	0.0770860479	2760.0371736983
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	2	CSAA	Optimal	true	71860.4139260958	0.000000000	4.112827	36.6161248370	11	0|3|4|7|8|9|10|11|12|13|14	1202.2317001666	80827.6438053412	45284.0719284710	200630.2836880723	239376.6810870753	283707.8697718063	0.0778184477	3613.0461432996
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	2	C-CHI2	PrimalFeasible	true	73451.9264421349	0.000000000	14.553182	36.6161248370	11	0|3|4|7|8|9|10|11|12|13|14	1202.2317001666	80827.6438053412	45284.0719284710	200630.2836880723	239376.6810870753	283707.8697718063	0.0778184477	3613.0461432996
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_3_HETEROGENEOUS_SURGE	1	2	ORACLE	Optimal	true	87785.7470745538	0.000000000	14.642063	100.0000000000	11	0|1|4|7|8|9|10|11|12|13|14	1202.2317001666	80792.5602584616	45610.5984678675	200823.6764584220	240381.1425494717	285285.6734328553	0.0770860479	2760.0371736983
