market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	D	Optimal	true	52654.4022096042	0.000000000	0.030569	1.0000000000	8	2|3|4|5|7|8|12|14	799.7446981465	49642.2363621607	15631.3468350571	76851.4433639058	96147.3758203225	209437.8884074128	0.0621466084	6594.8493547438
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	SAA	Optimal	true	71364.5029544990	0.000000000	4.293318	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	799.7446981465	51941.5539703657	12830.4289609843	73844.0683226746	89233.5223711089	191480.7324117631	0.0350457052	10160.7692814209
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	CSAA	Optimal	true	63125.2164439118	0.000000000	6.115570	34.1377934519	10	1|2|4|5|6|7|8|9|12|14	799.7446981465	51941.5539703657	12830.4289609843	73844.0683226746	89233.5223711089	191480.7324117631	0.0350457052	10160.7692814209
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	C-CHI2	PrimalFeasible	true	64534.5556246957	0.000000000	20.747085	34.1377934519	10	1|2|4|5|6|7|8|9|12|14	799.7446981465	51941.5539703657	12830.4289609843	73844.0683226746	89233.5223711089	191480.7324117631	0.0350457052	10160.7692814209
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	0	ORACLE	Optimal	true	48725.2806025895	0.000000000	12.773800	100.0000000000	7	3|4|7|8|9|12|14	799.7446981465	48634.5500363624	18120.4760172698	82254.5989044679	101986.9364607820	216241.1305721930	0.0905233863	3119.9361854998
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	D	Optimal	true	52654.4022096042	0.000000000	0.030569	1.0000000000	8	2|3|4|5|7|8|12|14	644.4937555283	42176.4915020535	9898.3440792601	60396.4572740559	72113.1158874194	108647.5595289535	0.0363546253	8688.8689977318
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	SAA	Optimal	true	71364.5029544990	0.000000000	4.293318	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	644.4937555283	45810.7071184189	8227.1490207362	60056.1397151303	70454.9601914144	103320.4159011651	0.0212619002	12853.5459072329
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	CSAA	Optimal	true	59932.9727688475	0.000000000	5.245598	40.4430620241	9	1|2|4|5|7|8|9|12|14	644.4937555283	43648.5358510200	8927.7883591985	59826.4130334883	70430.0378862047	105524.0357412192	0.0330814239	10232.4736430373
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	C-CHI2	PrimalFeasible	true	61366.9837551733	0.000000000	19.482049	40.4430620241	9	1|2|4|5|7|8|9|12|14	644.4937555283	43648.5358510200	8927.7883591985	59826.4130334883	70430.0378862047	105524.0357412192	0.0330814239	10232.4736430373
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	1	ORACLE	Optimal	true	40866.4811571568	0.000000000	16.878705	100.0000000000	7	3|4|7|8|9|12|14	644.4937555283	40351.8372784681	12135.7476486859	61635.3000516289	75985.7718013873	114667.7777284240	0.0639411888	4960.6674743730
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	D	Optimal	true	52654.4022096042	0.000000000	0.030569	1.0000000000	8	2|3|4|5|7|8|12|14	1130.9112934879	85988.7927031682	38566.6849549593	165151.2227279301	196570.6877841017	269352.4670604299	0.1503170761	2244.2561480985
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	SAA	Optimal	true	71364.5029544990	0.000000000	4.293318	60.0000000000	10	1|2|4|5|6|7|8|9|12|14	1130.9112934879	78582.0778213296	30910.7351741993	142426.5529109093	172924.8543612617	237497.1841012471	0.0766077206	3857.6751021038
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	CSAA	Optimal	true	82719.5297032702	0.000000000	4.485135	36.6161248370	11	1|2|4|5|6|7|8|9|10|12|14	1130.9112934879	78755.8225154431	27463.7471508656	134675.3159307574	164253.9756256589	227468.8474566955	0.0597034273	6166.7633715951
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	C-CHI2	PrimalFeasible	true	84451.2116465322	0.000000000	10.426650	36.6161248370	11	1|2|4|5|6|7|8|9|10|12|14	1130.9112934879	78755.8225154431	27463.7471508656	134675.3159307574	164253.9756256589	227468.8474566955	0.0597034273	6166.7633715951
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2	1	2	ORACLE	Optimal	true	79221.0136603145	0.000000000	8.902578	100.0000000000	10	0|2|4|5|6|7|8|9|12|14	1130.9112934879	78296.8218609335	29584.7984721370	137944.6133034512	168966.5048639455	234619.5113017397	0.0721124187	4733.6588017140
