market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	0	D	Optimal	true	47836.5594088845	0.000000000	0.015792	1.0000000000	8	0|3|4|7|8|11|12|14	799.7446981465	44729.9513199507	13737.8659381829	68897.9730132070	86951.8542104299	171005.4291159573	0.0572706216	3353.8885521285
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	0	SAA	Optimal	true	65235.0711795798	0.000000000	2.858248	60.0000000000	9	0|1|3|4|7|8|11|12|14	799.7446981465	45825.6114329832	11200.3907556417	63433.9651224681	80486.1421780671	160433.4483555844	0.0361592551	6108.9047909189
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	0	CSAA	Optimal	true	57514.2419147499	0.000000000	2.233360	34.1377934519	9	0|1|3|4|7|8|11|12|14	799.7446981465	45825.6114329832	11200.3907556417	63433.9651224681	80486.1421780671	160433.4483555844	0.0361592551	6108.9047909189
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	0	C-CHI2	PrimalFeasible	true	60495.7178435491	0.000000000	12.219314	34.1377934519	9	0|1|3|4|7|8|11|12|14	799.7446981465	45825.6114329832	11200.3907556417	63433.9651224681	80486.1421780671	160433.4483555844	0.0361592551	6108.9047909189
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	0	ORACLE	Optimal	true	44018.2775383558	0.000000000	12.374561	100.0000000000	7	0|3|4|8|11|12|14	799.7446981465	44979.3507433580	15168.4796054171	72339.4619761789	90848.2203604608	178173.8563969797	0.0760932720	1981.1188341464
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	1	D	Optimal	true	47836.5594088845	0.000000000	0.015792	1.0000000000	8	0|3|4|7|8|11|12|14	644.4937555283	38861.0447561616	9641.5103093099	57179.9575569680	71052.3520157990	100851.2629293312	0.0348528910	5437.4669011124
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	1	SAA	Optimal	true	65235.0711795798	0.000000000	2.858248	60.0000000000	9	0|1|3|4|7|8|11|12|14	644.4937555283	41114.5430813908	7917.7281225489	55129.8384116634	67756.2014713818	92230.1171534175	0.0207362661	8620.2097441793
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	1	CSAA	Optimal	true	55271.0281836412	0.000000000	2.796236	40.4430620241	8	0|1|3|4|7|8|11|12	644.4937555283	39515.2075710036	8488.0288816046	55662.7145565665	67673.0504435512	94930.4477540891	0.0286151718	6470.7155307526
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	1	C-CHI2	PrimalFeasible	true	58021.2859851005	0.000000000	15.516259	40.4430620241	9	0|1|3|4|7|8|11|12|14	644.4937555283	41114.5430813908	7917.7281225489	55129.8384116634	67756.2014713818	92230.1171534175	0.0207362661	8620.2097441793
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME0.80	1	1	ORACLE	Optimal	true	38257.8246498222	0.000000000	9.665520	100.0000000000	6	4|7|8|11|12|14	644.4937555283	37465.2636639424	11527.7385434363	58223.3930633797	74848.9759013887	111215.7452349444	0.0606352201	2164.9212984219
