market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	0	D	Optimal	true	50544.5787418688	0.000000000	0.014854	1.0000000000	7	0|3|4|7|8|9|12	799.7446981465	48385.6806463078	15605.9156537824	75406.8140915451	93889.9460192713	189680.4223487240	0.0736592960	3329.8493987381
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	0	SAA	Optimal	true	67404.7697436210	0.000000000	2.507663	60.0000000000	9	0|3|4|7|8|9|11|12|14	799.7446981465	48914.0705182119	11793.9346350929	67547.1507777911	84747.6213074912	171093.7882779749	0.0397696465	7020.9364724703
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	0	CSAA	Optimal	true	59834.9944461497	0.000000000	1.839326	34.1377934519	9	0|3|4|7|8|9|11|12|14	799.7446981465	48914.0705182119	11793.9346350929	67547.1507777911	84747.6213074912	171093.7882779749	0.0397696465	7020.9364724703
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	0	ORACLE	Optimal	true	46860.1584788648	0.000000000	10.336907	100.0000000000	8	0|3|4|7|8|9|11|12	799.7446981465	48355.2206270682	14533.8226878818	72994.7245775659	91262.5070353419	186621.3514171259	0.0569951414	4537.8597951412
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	1	D	Optimal	true	50544.5787418688	0.000000000	0.014854	1.0000000000	7	0|3|4|7|8|9|12	644.4937555283	40345.0632804694	10401.0729320200	62103.3568397731	74275.3834808315	98956.8007706899	0.0397281622	5067.1270480631
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	1	SAA	Optimal	true	67404.7697436210	0.000000000	2.507663	60.0000000000	9	0|3|4|7|8|9|11|12|14	644.4937555283	43457.9628047294	7852.5818974238	58433.2463096429	70071.7025546103	90448.1012725432	0.0211678925	9547.0369008825
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	1	CSAA	Optimal	true	57305.6053173373	0.000000000	2.090556	40.4430620241	9	0|3|4|7|8|9|11|12|14	644.4937555283	43457.9628047294	7852.5818974238	58433.2463096429	70071.7025546103	90448.1012725432	0.0211678925	9547.0369008825
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	1	C-CHI2	PrimalFeasible	true	59859.2262192867	0.000000000	5.926760	40.4430620241	9	0|3|4|7|8|9|11|12|14	644.4937555283	43457.9628047294	7852.5818974238	58433.2463096429	70071.7025546103	90448.1012725432	0.0211678925	9547.0369008825
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	1	ORACLE	Optimal	true	40799.2829425349	0.000000000	8.468207	100.0000000000	7	0|3|4|7|8|9|12	644.4937555283	40345.0632804694	10401.0729320200	62103.3568397731	74275.3834808315	98956.8007706899	0.0397281622	5067.1270480631
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	2	D	Optimal	true	50544.5787418688	0.000000000	0.014854	1.0000000000	7	0|3|4|7|8|9|12	1130.9112934879	77837.9976600241	28270.3509013445	131939.6000771678	152508.6190706032	194860.7360490907	0.1592919819	832.7383545875
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	2	SAA	Optimal	true	67404.7697436210	0.000000000	2.507663	60.0000000000	9	0|3|4|7|8|9|11|12|14	1130.9112934879	70584.3730095967	22804.5839017032	113652.9889568835	134853.8667019967	166022.3997413110	0.0962315598	2279.2868487927
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	2	CSAA	Optimal	true	73112.4298542066	0.000000000	2.343828	36.6161248370	9	0|3|4|7|8|9|11|12|14	1130.9112934879	70584.3730095967	22804.5839017032	113652.9889568835	134853.8667019967	166022.3997413110	0.0962315598	2279.2868487927
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	2	C-CHI2	PrimalFeasible	true	76333.3529935572	0.000000000	10.948988	36.6161248370	10	0|3|4|5|7|8|9|11|12|14	1130.9112934879	70434.2111665812	20791.3560300045	110140.9273096909	129740.1146341527	161849.0011157818	0.0830016633	3664.2846864551
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_2_REGIONAL_K5_TAU0.50_HOME1.00	1	2	ORACLE	Optimal	true	69953.3117982823	0.000000000	9.793879	100.0000000000	10	0|3|4|7|8|9|10|11|12|14	1130.9112934879	70258.0303540492	21928.5982456181	113157.9494275585	132903.5793723633	164280.5988642483	0.0761555310	3711.3309442017
